"STATEFP10","COUNTYFP10","VTDST10","GEOID10","VTDI10","NAME10","NAMELSAD10","LSAD10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","OID_","AK_GEO_ID","VOTE_ID","VTDST10_1","NAME10_1","VAP","TOTPOP","STATEFP1_1","COUNTYFP_1","VTDST10_12","GEOID10_1","VTDI10_1","NAME100","NAMELSAD_1","LSAD10_1","MTFCC10_1","FUNCSTAT_1","ALAND10_1","AWATER10_1","INTPTLAT_1","INTPTLON_1","NAME","RVS_08","VOTES_08","USP_R_08","USP_D_08","USP_08","NDV","NRV"
"02","013","37-732","0201337-732","A","Port Heiden Precinct (Part; Also See Part In Lake And Peninsula Borough)","Port Heiden Precinct (Part; Also See Part In Lake And Peninsula Borough)","00","G5240","N","491539049","539984615","+56.6589175","-159.3569834","0","1","358a","37-732","Port Heiden Precinct (Part; Also See Part In Lake And Peninsula Borough)","0","0","2","13","37-732","0201337-732","A","Port Heiden Precinct (Part; Also See Part In Lake And Peninsula Borough)","Port Heiden Precinct (Part; Also See Part In Lake And Peninsula Borough)","0","G5240","N","491539049","539984615","56.6589","-159.357","Port Heiden (part)","0","0","0","0","0","0","0"
"02","013","37-734","0201337-734","A","Sand Point Precinct","Sand Point Precinct","00","G5240","N","1341790281","-1057668281","+55.6529758","-160.2602845","1","2","359","37-734","Sand Point Precinct","861","1033","2","13","37-734","0201337-734","A","Sand Point Precinct","Sand Point Precinct","0","G5240","N","1341790281","-1057668281","55.653","-160.26","Sand Point","482","188","134","48","0.263736","49.5824","138.418"
"02","013","37-720","0201337-720","A","King Cove Precinct","King Cove Precinct","00","G5240","N","1551739742","1027811154","+55.3995560","-161.7472139","2","3","352","37-720","King Cove Precinct","787","938","2","13","37-720","0201337-720","A","King Cove Precinct","King Cove Precinct","0","G5240","N","1551739742","1027811154","55.3996","-161.747","King Cove","331","149","108","35","0.244755","36.4685","112.531"
"02","013","37-712","0201337-712","A","Cold Bay Precinct","Cold Bay Precinct","00","G5240","N","1139793663","955306586","+54.7685409","-163.4808458","3","4","348","37-712","Cold Bay Precinct","112","143","2","13","37-712","0201337-712","A","Cold Bay Precinct","Cold Bay Precinct","0","G5240","N","1139793663","955306586","54.7685","-163.481","Cold Bay","137","33","22","9","0.290323","9.58065","23.4194"
"02","013","37-700","0201337-700","A","Akutan Precinct","Akutan Precinct","00","G5240","N","673384177","2146905775","+54.2065390","-165.5568067","4","5","342","37-700","Akutan Precinct","1010","1027","2","13","37-700","0201337-700","A","Akutan Precinct","Akutan Precinct","0","G5240","N","673384177","2146905775","54.2065","-165.557","Akutan","344","132","70","56","0.444444","58.6667","73.3333"
"02","016","37-740","0201637-740","A","St. Paul Island Precinct","St. Paul Island Precinct","00","G5240","N","104411968","660837292","+57.1790411","-170.3250684","5","6","362","37-740","St. Paul Island Precinct","347","479","2","16","37-740","0201637-740","A","St. Paul Island Precinct","St. Paul Island Precinct","0","G5240","N","104411968","660837292","57.179","-170.325","St. Paul Island","324","133","85","43","0.335938","44.6797","88.3203"
"02","016","37-704","0201637-704","A","Aleutians No. 1 Precinct","Aleutians No. 1 Precinct","00","G5240","N","-2022955624","1401046380","+51.5823305","+178.8575955","6","7","344","37-704","Aleutians No. 1 Precinct","536","586","2","16","37-704","0201637-704","A","Aleutians No. 1 Precinct","Aleutians No. 1 Precinct","0","G5240","N","-2022955624","1401046380","51.5823","178.858","Aleutians #1","255","29","7","21","0.75","21.75","7.25"
"02","016","37-706","0201637-706","A","Aleutians No. 2 Precinct","Aleutians No. 2 Precinct","00","G5240","N","314401736","1271758531","+53.5710268","-167.1184270","7","8","345","37-706","Aleutians No. 2 Precinct","3782","4394","2","16","37-706","0201637-706","A","Aleutians No. 2 Precinct","Aleutians No. 2 Precinct","0","G5240","N","314401736","1271758531","53.571","-167.118","Aleutians #2","1724","825","403","391","0.492443","406.266","418.734"
"02","016","37-738","0201637-738","A","St. George Precinct","St. George Precinct","00","G5240","N","90002657","382164841","+56.5705187","-169.5986811","8","9","361","37-738","St. George Precinct","81","102","2","16","37-738","0201637-738","A","St. George Precinct","St. George Precinct","0","G5240","N","90002657","382164841","56.5705","-169.599","St. George Island","81","37","19","18","0.486486","18","19"
"02","020","25-610","0202025-610","A","Northwood Precinct","Northwood Precinct","00","G5240","N","1362755","0","+61.1802801","-149.9196762","9","10","242","25-610","Northwood Precinct","1709","2172","2","20","25-610","0202025-610","A","Northwood Precinct","Northwood Precinct","0","G5240","N","1362755","0","61.1803","-149.92","Northwood","1539","619","362","236","0.394649","244.288","374.712"
"02","020","26-645","0202026-645","A","Inlet View No. 1 Precinct","Inlet View No. 1 Precinct","00","G5240","N","1687710","0","+61.2002138","-149.9279916","10","11","249","26-645","Inlet View No. 1 Precinct","1462","1864","2","20","26-645","0202026-645","A","Inlet View No. 1 Precinct","Inlet View No. 1 Precinct","0","G5240","N","1687710","0","61.2002","-149.928","Inlet View No. 1","1686","798","370","413","0.527458","420.912","377.088"
"02","020","31-900","0202031-900","A","Huffman No. 1 Precinct","Huffman No. 1 Precinct","00","G5240","N","2189774","0","+61.1152054","-149.8672071","11","12","284","31-900","Huffman No. 1 Precinct","1646","2221","2","20","31-900","0202031-900","A","Huffman No. 1 Precinct","Huffman No. 1 Precinct","0","G5240","N","2189774","0","61.1152","-149.867","Huffman No. 1","1469","604","377","209","0.356655","215.42","388.58"
"02","020","24-570","0202024-570","A","Taku Precinct","Taku Precinct","00","G5240","N","2312971","0","+61.1598781","-149.8695070","12","13","238","24-570","Taku Precinct","2051","2743","2","20","24-570","0202024-570","A","Taku Precinct","Taku Precinct","0","G5240","N","2312971","0","61.1599","-149.87","Taku","1774","732","456","257","0.360449","263.849","468.151"
"02","020","24-555","0202024-555","A","Midtown No. 1 Precinct","Midtown No. 1 Precinct","00","G5240","N","4335424","0","+61.1795322","-149.8737078","13","14","235","24-555","Midtown No. 1 Precinct","1855","2352","2","20","24-555","0202024-555","A","Midtown No. 1 Precinct","Midtown No. 1 Precinct","0","G5240","N","4335424","0","61.1795","-149.874","Midtown No. 1","1415","472","301","160","0.347072","163.818","308.182"
"02","020","29-815","0202029-815","A","Dimond No. 2 Precinct","Dimond No. 2 Precinct","00","G5240","N","4411726","0","+61.1335712","-149.8887584","14","15","273","29-815","Dimond No. 2 Precinct","1678","2463","2","20","29-815","0202029-815","A","Dimond No. 2 Precinct","Dimond No. 2 Precinct","0","G5240","N","4411726","0","61.1336","-149.889","Dimond No. 2","1304","558","367","177","0.325368","181.555","376.445"
"02","020","21-405","0202021-405","A","Chester Valley Precinct","Chester Valley Precinct","00","G5240","N","1304612","0","+61.1985500","-149.7613048","15","16","211","21-405","Chester Valley Precinct","2459","3281","2","20","21-405","0202021-405","A","Chester Valley Precinct","Chester Valley Precinct","0","G5240","N","1304612","0","61.1986","-149.761","Chester Valley","2541","1113","722","376","0.342441","381.137","731.863"
"02","020","29-820","0202029-820","A","Dimond No. 3 Precinct","Dimond No. 3 Precinct","00","G5240","N","1942551","0","+61.1343265","-149.8639320","16","17","274","29-820","Dimond No. 3 Precinct","1684","2283","2","20","29-820","0202029-820","A","Dimond No. 3 Precinct","Dimond No. 3 Precinct","0","G5240","N","1942551","0","61.1343","-149.864","Dimond No. 3","1315","450","268","165","0.381062","171.478","278.522"
"02","020","16-165","0202016-165","A","Peters Creek No. 2 Precinct","Peters Creek No. 2 Precinct","00","G5240","N","94537451","22340117","+61.3488226","-149.3997910","17","18","183","16-165","Peters Creek No. 2 Precinct","2544","3383","2","20","16-165","0202016-165","A","Peters Creek No. 2 Precinct","Peters Creek No. 2 Precinct","0","G5240","N","94537451","22340117","61.3488","-149.4","Peters Creek No. 2","2485","1133","818","285","0.258386","292.752","840.248"
"02","020","31-930","0202031-930","A","Huffman No. 7 Precinct","Huffman No. 7 Precinct","00","G5240","N","5585150","0","+61.1116465","-149.7898963","18","19","290","31-930","Huffman No. 7 Precinct","2077","2723","2","20","31-930","0202031-930","A","Huffman No. 7 Precinct","Huffman No. 7 Precinct","0","G5240","N","5585150","0","61.1116","-149.79","Huffman No. 7","2252","1226","768","439","0.363712","445.911","780.089"
"02","020","17-200","0202017-200","A","Chugach Park No. 3 Precinct","Chugach Park No. 3 Precinct","00","G5240","N","6251881","0","+61.3333229","-149.5295920","19","20","186","17-200","Chugach Park No. 3 Precinct","1186","1611","2","20","17-200","0202017-200","A","Chugach Park No. 3 Precinct","Chugach Park No. 3 Precinct","0","G5240","N","6251881","0","61.3333","-149.53","Chugach Park No. 3","1454","720","501","203","0.288352","207.614","512.386"
"02","020","17-210","0202017-210","A","Downtown Eagle River No. 2 Precinct","Downtown Eagle River No. 2 Precinct","00","G5240","N","1638722","0","+61.3220197","-149.5574781","20","21","188","17-210","Downtown Eagle River No. 2 Precinct","1961","2670","2","20","17-210","0202017-210","A","Downtown Eagle River No. 2 Precinct","Downtown Eagle River No. 2 Precinct","0","G5240","N","1638722","0","61.322","-149.557","Dntn Eagle River No. 2","2044","880","653","198","0.232667","204.747","675.253"
