GEONAME,LNTITLE,GEOID,LNNUMBER,TOT_EST,TOT_MOE,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE
United States,Total,01000US,1,314107085,,240329425,6836,291850245,114683,220055360,111452
United States,Not Hispanic or Latino,01000US,2,261036990,1540,204820990,5547,251719160,47737,196438040,46142
United States,American Indian or Alaska Native Alone,01000US,3,2097465,7462,1521230,5840,2084915,7442,1509905,5825
United States,Asian Alone,01000US,4,15722300,19787,12401430,11165,11284370,16691,8411595,16511
United States,Black or African American Alone,01000US,5,38668560,26426,28459860,10902,37137615,26394,27115005,14338
United States,Native Hawaiian or Other Pacific Islander Alone,01000US,6,502520,4083,367335,2456,430175,3943,304420,3041
United States,White Alone,01000US,7,197630385,2253,158678615,2111,194540775,23471,155852410,19775
United States,American Indian or Alaska Native and White,01000US,8,1485160,7192,1078240,5507,1481485,7186,1075060,5532
United States,Asian and White,01000US,9,1631525,20013,800965,11279,1535545,19654,722310,10516
United States,Black or African American and White,01000US,10,1906520,21090,642630,8524,1885325,20924,624230,8319
United States,American Indian or Alaska Native and Black or African American,01000US,11,285060,6137,208660,4223,283270,6100,207140,4171
United States,Remainder of Two or More Race Responses,01000US,12,1107495,12305,662025,7558,1055685,11803,615965,7251
United States,Hispanic or Latino,01000US,13,53070095,1536,35508435,2554,40131085,75226,23617320,71946
