fips,county,candidate,votes
02090,Fairbanks North Star Borough,Johnson,32
02090,Fairbanks North Star Borough,Obama,192
02090,Fairbanks North Star Borough,Romney,854
02090,Fairbanks North Star Borough,Stein,6
02090,Fairbanks North Star Borough,Write-In,9
02090,Fairbanks North Star Borough,Johnson,5
02090,Fairbanks North Star Borough,Obama,109
02090,Fairbanks North Star Borough,Romney,369
02090,Fairbanks North Star Borough,Stein,1
02090,Fairbanks North Star Borough,Write-In,9
02090,Fairbanks North Star Borough,Johnson,13
02090,Fairbanks North Star Borough,Obama,43
02090,Fairbanks North Star Borough,Romney,162
02090,Fairbanks North Star Borough,Stein,1
02090,Fairbanks North Star Borough,Write-In,4
02090,Fairbanks North Star Borough,Johnson,39
02090,Fairbanks North Star Borough,Obama,213
02090,Fairbanks North Star Borough,Romney,1009
02090,Fairbanks North Star Borough,Stein,6
02090,Fairbanks North Star Borough,Write-In,10
02090,Fairbanks North Star Borough,Johnson,13
02090,Fairbanks North Star Borough,Obama,156
02090,Fairbanks North Star Borough,Romney,494
02090,Fairbanks North Star Borough,Stein,1
02090,Fairbanks North Star Borough,Write-In,3
02090,Fairbanks North Star Borough,Johnson,27
02090,Fairbanks North Star Borough,Obama,166
02090,Fairbanks North Star Borough,Romney,842
02090,Fairbanks North Star Borough,Stein,3
02090,Fairbanks North Star Borough,Write-In,11
02090,Fairbanks North Star Borough,Johnson,5
02090,Fairbanks North Star Borough,Obama,45
02090,Fairbanks North Star Borough,Romney,215
02090,Fairbanks North Star Borough,Stein,3
02090,Fairbanks North Star Borough,Write-In,6
,Absentee/Early/Question,Johnson,39
,Absentee/Early/Question,Obama,340
,Absentee/Early/Question,Romney,1267
,Absentee/Early/Question,Stein,12
,Absentee/Early/Question,Write-In,12
,Absentee/Early/Question,Johnson,11
,Absentee/Early/Question,Obama,128
,Absentee/Early/Question,Romney,372
,Absentee/Early/Question,Stein,1
,Absentee/Early/Question,Write-In,2
,Absentee/Early/Question,Johnson,12
,Absentee/Early/Question,Obama,126
,Absentee/Early/Question,Romney,315
,Absentee/Early/Question,Stein,4
,Absentee/Early/Question,Write-In,5
02090,Fairbanks North Star Borough,Johnson,25
02090,Fairbanks North Star Borough,Obama,202
02090,Fairbanks North Star Borough,Romney,695
02090,Fairbanks North Star Borough,Stein,7
02090,Fairbanks North Star Borough,Write-In,12
02090,Fairbanks North Star Borough,Johnson,13
02090,Fairbanks North Star Borough,Obama,146
02090,Fairbanks North Star Borough,Romney,357
02090,Fairbanks North Star Borough,Stein,3
02090,Fairbanks North Star Borough,Write-In,15
02090,Fairbanks North Star Borough,Johnson,38
02090,Fairbanks North Star Borough,Obama,360
02090,Fairbanks North Star Borough,Romney,653
02090,Fairbanks North Star Borough,Stein,15
02090,Fairbanks North Star Borough,Write-In,14
02090,Fairbanks North Star Borough,Johnson,32
02090,Fairbanks North Star Borough,Obama,275
02090,Fairbanks North Star Borough,Romney,662
02090,Fairbanks North Star Borough,Stein,7
02090,Fairbanks North Star Borough,Write-In,9
02090,Fairbanks North Star Borough,Johnson,42
02090,Fairbanks North Star Borough,Obama,734
02090,Fairbanks North Star Borough,Romney,1081
02090,Fairbanks North Star Borough,Stein,24
02090,Fairbanks North Star Borough,Write-In,17
02090,Fairbanks North Star Borough,Johnson,23
02090,Fairbanks North Star Borough,Obama,131
02090,Fairbanks North Star Borough,Romney,353
02090,Fairbanks North Star Borough,Stein,6
02090,Fairbanks North Star Borough,Write-In,13
,Absentee/Early/Question,Johnson,37
,Absentee/Early/Question,Obama,447
,Absentee/Early/Question,Romney,795
,Absentee/Early/Question,Stein,13
,Absentee/Early/Question,Write-In,14
,Absentee/Early/Question,Johnson,22
,Absentee/Early/Question,Obama,657
,Absentee/Early/Question,Romney,667
,Absentee/Early/Question,Stein,9
,Absentee/Early/Question,Write-In,15
,Absentee/Early/Question,Johnson,12
,Absentee/Early/Question,Obama,144
,Absentee/Early/Question,Romney,246
,Absentee/Early/Question,Stein,5
,Absentee/Early/Question,Write-In,11
02090,Fairbanks North Star Borough,Johnson,33
02090,Fairbanks North Star Borough,Obama,214
02090,Fairbanks North Star Borough,Romney,546
02090,Fairbanks North Star Borough,Stein,11
02090,Fairbanks North Star Borough,Write-In,13
02290,Yukon-Koyukuk Census Area,Johnson,15
02290,Yukon-Koyukuk Census Area,Obama,244
02290,Yukon-Koyukuk Census Area,Romney,345
02290,Yukon-Koyukuk Census Area,Stein,5
02290,Yukon-Koyukuk Census Area,Write-In,10
02290,Yukon-Koyukuk Census Area,Johnson,26
02290,Yukon-Koyukuk Census Area,Obama,366
02290,Yukon-Koyukuk Census Area,Romney,622
02290,Yukon-Koyukuk Census Area,Stein,8
02290,Yukon-Koyukuk Census Area,Write-In,12
02090,Fairbanks North Star Borough,Johnson,19
02090,Fairbanks North Star Borough,Obama,177
02090,Fairbanks North Star Borough,Romney,386
02090,Fairbanks North Star Borough,Stein,2
02090,Fairbanks North Star Borough,Write-In,2
02090,Fairbanks North Star Borough,Johnson,9
02090,Fairbanks North Star Borough,Obama,108
02090,Fairbanks North Star Borough,Romney,397
02090,Fairbanks North Star Borough,Stein,5
02090,Fairbanks North Star Borough,Write-In,12
,Absentee/Early/Question,Johnson,22
,Absentee/Early/Question,Obama,416
,Absentee/Early/Question,Romney,782
,Absentee/Early/Question,Stein,3
,Absentee/Early/Question,Write-In,13
,Absentee/Early/Question,Johnson,6
,Absentee/Early/Question,Obama,237
,Absentee/Early/Question,Romney,267
,Absentee/Early/Question,Stein,0
,Absentee/Early/Question,Write-In,1
,Absentee/Early/Question,Johnson,25
,Absentee/Early/Question,Obama,272
,Absentee/Early/Question,Romney,424
,Absentee/Early/Question,Stein,3
,Absentee/Early/Question,Write-In,11
02090,Fairbanks North Star Borough,Johnson,23
02090,Fairbanks North Star Borough,Obama,377
02090,Fairbanks North Star Borough,Romney,543
02090,Fairbanks North Star Borough,Stein,4
02090,Fairbanks North Star Borough,Write-In,19
02290,Yukon-Koyukuk Census Area,Johnson,12
02290,Yukon-Koyukuk Census Area,Obama,81
02290,Yukon-Koyukuk Census Area,Romney,110
02290,Yukon-Koyukuk Census Area,Stein,3
02290,Yukon-Koyukuk Census Area,Write-In,2
02290,Yukon-Koyukuk Census Area,Johnson,11
02290,Yukon-Koyukuk Census Area,Obama,150
02290,Yukon-Koyukuk Census Area,Romney,161
02290,Yukon-Koyukuk Census Area,Stein,5
02290,Yukon-Koyukuk Census Area,Write-In,5
02290,Yukon-Koyukuk Census Area,Johnson,15
02290,Yukon-Koyukuk Census Area,Obama,228
02290,Yukon-Koyukuk Census Area,Romney,254
02290,Yukon-Koyukuk Census Area,Stein,5
02290,Yukon-Koyukuk Census Area,Write-In,2
02290,Yukon-Koyukuk Census Area,Johnson,14
02290,Yukon-Koyukuk Census Area,Obama,126
02290,Yukon-Koyukuk Census Area,Romney,162
02290,Yukon-Koyukuk Census Area,Stein,2
02290,Yukon-Koyukuk Census Area,Write-In,0
02290,Yukon-Koyukuk Census Area,Johnson,24
02290,Yukon-Koyukuk Census Area,Obama,290
02290,Yukon-Koyukuk Census Area,Romney,496
02290,Yukon-Koyukuk Census Area,Stein,7
02290,Yukon-Koyukuk Census Area,Write-In,8
02290,Yukon-Koyukuk Census Area,Johnson,11
02290,Yukon-Koyukuk Census Area,Obama,162
02290,Yukon-Koyukuk Census Area,Romney,183
02290,Yukon-Koyukuk Census Area,Stein,3
02290,Yukon-Koyukuk Census Area,Write-In,6
02290,Yukon-Koyukuk Census Area,Johnson,19
02290,Yukon-Koyukuk Census Area,Obama,272
02290,Yukon-Koyukuk Census Area,Romney,244
02290,Yukon-Koyukuk Census Area,Stein,7
02290,Yukon-Koyukuk Census Area,Write-In,4
02290,Yukon-Koyukuk Census Area,Johnson,5
02290,Yukon-Koyukuk Census Area,Obama,78
02290,Yukon-Koyukuk Census Area,Romney,129
02290,Yukon-Koyukuk Census Area,Stein,5
02290,Yukon-Koyukuk Census Area,Write-In,3
02090,Fairbanks North Star Borough,Johnson,9
02090,Fairbanks North Star Borough,Obama,45
02090,Fairbanks North Star Borough,Romney,127
02090,Fairbanks North Star Borough,Stein,0
02090,Fairbanks North Star Borough,Write-In,3
,Absentee/Early/Question,Johnson,26
,Absentee/Early/Question,Obama,392
,Absentee/Early/Question,Romney,590
,Absentee/Early/Question,Stein,5
,Absentee/Early/Question,Write-In,9
,Absentee/Early/Question,Johnson,16
,Absentee/Early/Question,Obama,426
,Absentee/Early/Question,Romney,322
,Absentee/Early/Question,Stein,7
,Absentee/Early/Question,Write-In,3
,Absentee/Early/Question,Johnson,20
,Absentee/Early/Question,Obama,237
,Absentee/Early/Question,Romney,265
,Absentee/Early/Question,Stein,7
,Absentee/Early/Question,Write-In,8
02090,Fairbanks North Star Borough,Johnson,5
02090,Fairbanks North Star Borough,Obama,44
02090,Fairbanks North Star Borough,Romney,116
02090,Fairbanks North Star Borough,Stein,3
02090,Fairbanks North Star Borough,Write-In,0
02090,Fairbanks North Star Borough,Johnson,58
02090,Fairbanks North Star Borough,Obama,828
02090,Fairbanks North Star Borough,Romney,917
02090,Fairbanks North Star Borough,Stein,27
02090,Fairbanks North Star Borough,Write-In,22
02090,Fairbanks North Star Borough,Johnson,19
02090,Fairbanks North Star Borough,Obama,325
02090,Fairbanks North Star Borough,Romney,228
02090,Fairbanks North Star Borough,Stein,10
02090,Fairbanks North Star Borough,Write-In,7
02090,Fairbanks North Star Borough,Johnson,16
02090,Fairbanks North Star Borough,Obama,328
02090,Fairbanks North Star Borough,Romney,371
02090,Fairbanks North Star Borough,Stein,8
02090,Fairbanks North Star Borough,Write-In,11
02090,Fairbanks North Star Borough,Johnson,6
02090,Fairbanks North Star Borough,Obama,89
02090,Fairbanks North Star Borough,Romney,140
02090,Fairbanks North Star Borough,Stein,1
02090,Fairbanks North Star Borough,Write-In,3
02090,Fairbanks North Star Borough,Johnson,7
02090,Fairbanks North Star Borough,Obama,14
02090,Fairbanks North Star Borough,Romney,137
02090,Fairbanks North Star Borough,Stein,0
02090,Fairbanks North Star Borough,Write-In,1
02090,Fairbanks North Star Borough,Johnson,19
02090,Fairbanks North Star Borough,Obama,195
02090,Fairbanks North Star Borough,Romney,197
02090,Fairbanks North Star Borough,Stein,7
02090,Fairbanks North Star Borough,Write-In,9
02090,Fairbanks North Star Borough,Johnson,10
02090,Fairbanks North Star Borough,Obama,128
02090,Fairbanks North Star Borough,Romney,47
02090,Fairbanks North Star Borough,Stein,10
02090,Fairbanks North Star Borough,Write-In,5
02090,Fairbanks North Star Borough,Johnson,27
02090,Fairbanks North Star Borough,Obama,433
02090,Fairbanks North Star Borough,Romney,644
02090,Fairbanks North Star Borough,Stein,11
02090,Fairbanks North Star Borough,Write-In,11
,Absentee/Early/Question,Johnson,55
,Absentee/Early/Question,Obama,614
,Absentee/Early/Question,Romney,656
,Absentee/Early/Question,Stein,27
,Absentee/Early/Question,Write-In,17
,Absentee/Early/Question,Johnson,14
,Absentee/Early/Question,Obama,478
,Absentee/Early/Question,Romney,395
,Absentee/Early/Question,Stein,11
,Absentee/Early/Question,Write-In,5
,Absentee/Early/Question,Johnson,16
,Absentee/Early/Question,Obama,168
,Absentee/Early/Question,Romney,179
,Absentee/Early/Question,Stein,8
,Absentee/Early/Question,Write-In,6
02240,Southeast Fairbanks Census Area,Johnson,25
02240,Southeast Fairbanks Census Area,Obama,166
02240,Southeast Fairbanks Census Area,Romney,873
02240,Southeast Fairbanks Census Area,Stein,8
02240,Southeast Fairbanks Census Area,Write-In,23
02240,Southeast Fairbanks Census Area,Johnson,9
02240,Southeast Fairbanks Census Area,Obama,57
02240,Southeast Fairbanks Census Area,Romney,261
02240,Southeast Fairbanks Census Area,Stein,2
02240,Southeast Fairbanks Census Area,Write-In,2
02170,Matanuska-Susitna Borough,Johnson,16
02170,Matanuska-Susitna Borough,Obama,123
02170,Matanuska-Susitna Borough,Romney,258
02170,Matanuska-Susitna Borough,Stein,4
02170,Matanuska-Susitna Borough,Write-In,11
02170,Matanuska-Susitna Borough,Johnson,38
02170,Matanuska-Susitna Borough,Obama,317
02170,Matanuska-Susitna Borough,Romney,911
02170,Matanuska-Susitna Borough,Stein,4
