state	year	county	precinct	g2012_REG_tv	g2012_BALL_tv	cd	g2012_USP_tv	g2012_USP_dv	g2012_USP_rv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	cd2	g2012_USH_dv2	g2012_USH_rv2	g2012_USH_tv2	cd3	g2012_USH_dv3	g2012_USH_rv3	g2012_USH_tv3
"AL"	2012	"Autaugua"	"160 SAFE HARBOR MINISTRIES"	0	825	2	825	231	590	233	574	807								
"AL"	2012	"Autaugua"	"ABSENTEE"	0	1185	2	1138	212	919	204	898	1102								
"AL"	2012	"Autaugua"	"AUTAUGAVILLE VOLUNTEER FIRE DEPT"	0	812	2	811	489	320	475	314	789								
"AL"	2012	"Autaugua"	"BILLINGSLEY GOVT CTR"	0	377	2	374	46	327	46	325	371								
"AL"	2012	"Autaugua"	"BOOTH VOLUNTEER FIRE DEPT"	0	688	2	685	207	477	206	472	678								
"AL"	2012	"Autaugua"	"CAMELLIA BAPTIST CHURCH"	0	1469	2	1461	429	1021	423	1016	1439								
"AL"	2012	"Autaugua"	"CENTRAL ALABAMA ELECTRIC COOP"	0	344	2	338	222	116	206	117	323								
"AL"	2012	"Autaugua"	"EAST MEMORIAL CHRISTIAN ACADEMY"	0	2517	2	2511	681	1818	654	1818	2472								
"AL"	2012	"Autaugua"	"INDEPENDENCE VOLUNTEER FIRE DEPT"	0	458	2	456	256	199	248	191	439								
"AL"	2012	"Autaugua"	"JONES COMMUNTY CTR"	0	349	2	349	148	200	137	198	335								
"AL"	2012	"Autaugua"	"JOURNEY CHURCH"	0	2129	2	2121	320	1778	339	1747	2086								
"AL"	2012	"Autaugua"	"MARBURY MIDDLE SCHOOL BAND ROOM"	0	600	2	594	88	497	97	485	582								
"AL"	2012	"Autaugua"	"OLD KINGSTON VOLUNTEER FIRE DEPT"	0	763	2	762	388	363	354	361	715								
"AL"	2012	"Autaugua"	"PINE LEVEL CULTURAL CTR"	0	2674	2	2666	371	2279	366	2268	2634								
"AL"	2012	"Autaugua"	"PRATTMONT BAPTIST CHURCH"	0	1098	2	1091	280	793	278	792	1070								
"AL"	2012	"Autaugua"	"PRATTVILLE CHAMBER OF COMMERCE"	0	1662	2	1658	792	853	755	865	1620								
"AL"	2012	"Autaugua"	"PROVISIONAL"	0	0	2	0	0	0	0	0	0								
"AL"	2012	"Autaugua"	"SAFE HARBOR MINISTRIES"	0	2187	2	2173	470	1680	470	1674	2144								
"AL"	2012	"Autaugua"	"TRINITY UNITED METHODIST CHURCH"	0	2237	2	2229	327	1884	322	1883	2205								
"AL"	2012	"Autaugua"	"UPPER KINGSTON COMMUNITY CTR"	0	1185	2	1181	249	915	245	918	1163								
"AL"	2012	"Autaugua"	"WHITE CITY VOLUNTEER FIRE DEPT"	0	487	2	486	148	337	141	327	468								
"AL"	2012	"Baldwin"	"ABSENTEE"	0	3933	1	3845	690	3130		3159	3159								
"AL"	2012	"Baldwin"	"BARNWELL COMMUNITY CENTER"	0	1650	1	1646	216	1414		1425	1425								
"AL"	2012	"Baldwin"	"BAY MINETTE CIVIC CENTER"	0	3565	1	3544	834	2666		2791	2791								
"AL"	2012	"Baldwin"	"BELFOREST COMMUNITY CENTER"	0	1139	1	1133	145	979		1007	1007								
"AL"	2012	"Baldwin"	"BON SECOUR MORGANS CHAPEL"	0	1056	1	1047	191	841		869	869								
"AL"	2012	"Baldwin"	"BROMLEY VFD SUBST"	0	698	1	697	199	491		507	507								
"AL"	2012	"Baldwin"	"CLEAR SPRINGS FELLOWSHIP HALL"	0	146	1	146	13	133		132	132								
"AL"	2012	"Baldwin"	"CROSSROADS DURANT"	0	505	1	501	132	365		383	383								
"AL"	2012	"Baldwin"	"DAPHNE CIVIC CENTER"	0	8892	1	8837	2692	6040		6549	6549								
"AL"	2012	"Baldwin"	"DAPHNE HIGH SCHOOL"	0	2326	1	2321	527	1753		1871	1871								
"AL"	2012	"Baldwin"	"DOUGLASVILLE COMMUNITY CENTER"	0	522	1	520	488	30		150	150								
"AL"	2012	"Baldwin"	"ELBERTA CIVIC CENTER"	0	1416	1	1403	236	1145		1223	1223								
"AL"	2012	"Baldwin"	"ELLISVILLE COMMUNITY CENTER"	0	455	1	454	196	251		282	282								
"AL"	2012	"Baldwin"	"ELSANOR COMMUNITY CENTER"	0	876	1	867	120	739		767	767								
"AL"	2012	"Baldwin"	"FAIRHOPE CIVIC CENTER"	0	7130	1	7093	1907	5105		5465	5465								
"AL"	2012	"Baldwin"	"FOLEY CIVIC CENTER"	0	4753	1	4734	1324	3372		3625	3625								
"AL"	2012	"Baldwin"	"FT. MORGAN VFD"	0	368	1	368	73	293		312	312								
"AL"	2012	"Baldwin"	"GATESWOOD VFD"	0	192	1	191	22	169		173	173								
"AL"	2012	"Baldwin"	"GULF SHORES ACTIVITY"	0	4839	1	4809	917	3853		4076	4076								
"AL"	2012	"Baldwin"	"JOSEPHINE VFD"	0	439	1	437	72	360		371	371								
"AL"	2012	"Baldwin"	"LIFE TABERNACLE CHURCH"	0	4671	1	4635	781	3823		3949	3949								
"AL"	2012	"Baldwin"	"LILLIAN COMMUNITY"	0	2875	1	2860	624	2201		2289	2289								
"AL"	2012	"Baldwin"	"LITTLE RIVER FERGUSON STORE"	0	152	1	152	46	106		106	106								
"AL"	2012	"Baldwin"	"LOTTIE VFD"	0	141	1	140	19	120		117	117								
"AL"	2012	"Baldwin"	"LOXLEY TOWN HALL"	0	975	1	970	157	799		825	825								
"AL"	2012	"Baldwin"	"MAGNOLIA SPRGS WESLEYAN CH."	0	2666	1	2649	659	1961		2104	2104								
"AL"	2012	"Baldwin"	"MARLOW VFD"	0	1812	1	1799	364	1403		1469	1469								
"AL"	2012	"Baldwin"	"MIFLIN COMMUNITY CENTER"	0	1896	1	1889	339	1538		1599	1599								
"AL"	2012	"Baldwin"	"NEW LIFE ASSEMBLY OF GOD"	0	3092	1	3067	666	2364		2496	2496								
"AL"	2012	"Baldwin"	"ORANGE BEACH COMMUNITY CNTR"	0	3754	1	3730	510	3193		3284	3284								
"AL"	2012	"Baldwin"	"PERDIDO BEACH VFD"	0	547	1	545	99	440		441	441								
