state	year	town	cd	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	cd2	g2012_USH_dv2	g2012_USH_rv2	g2012_USH_tv2	g2012_USS_dv	g2012_USS_rv	g2012_USS_tv	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv
"CT"	2012	"Andover"	2	1029	505	1677.0					816	740	1706.0	976	774	1772.0
"CT"	2012	"Ansonia"	3	4336	1585	6362.0					3469	2532	6536.0	4273	2596	6967.0
"CT"	2012	"Ashford"	2	1397	507	2058.0					1146	781	2105.0	1331	803	2173.0
"CT"	2012	"Avon"	5	4306	5307	10028.0					4769	5361	10588.0	4830	5542	10477.0
"CT"	2012	"Barkhamsted"	1	1028	846	2005.0					897	1021	2057.0	1033	1033	2105.0
"CT"	2012	"Beacon Falls"	3	1519	1100	2802.0					1040	1603	2885.0	1300	1598	2959.0
"CT"	2012	"Berlin"	1	5586	3680	9984.0					4736	5094	10707.0	5499	5361	10984.0
"CT"	2012	"Bethany"	3	1805	1168	3108.0					1447	1514	3138.0	1615	1536	3190.0
"CT"	2012	"Bethel"	5	4048	4061	8678.0					4193	4191	9017.0	4777	4445	9333.0
"CT"	2012	"Bethlehem"	5	731	1075	1910.0					792	1224	2130.0	894	1272	2182.0
"CT"	2012	"Bloomfield"	1	9089	1459	10991.0					8880	1884	11360.0	9921	1925	11895.0
"CT"	2012	"Bolton"	2	1608	979	2757.0					1297	1307	2815.0	1433	1434	2911.0
"CT"	2012	"Bozrah"	2	756	356	1226.0					549	565	1243.0	648	606	1288.0
"CT"	2012	"Branford"	3	9102	3945	13702.0					7535	5340	13794.0	8301	5817	14262.0
"CT"	2012	"Bridgeport"	4	29805	4014	34877.0					28259	6022	41233.0	32135	5168	37476.0
"CT"	2012	"Bridgewater"	5	408	543	1003.0					430	554	1048.0	472	580	1064.0
"CT"	2012	"Bristol"	1	13865	7056	22551.0					12138	9885	23753.0	14146	10004	24429.0
"CT"	2012	"Brookfield"	5	3213	4734	8396.0					3611	4618	8708.0	3916	4941	8965.0
"CT"	2012	"Brooklyn"	2	2032	881	3205.0					1472	1479	3242.0	1743	1570	3381.0
"CT"	2012	"Burlington"	5	1963	2503	4769.0					2111	2538	4957.0	2357	2683	5098.0
"CT"	2012	"Canaan"	5	257	262	569.0					352	193	589.0	384	210	606.0
"CT"	2012	"Canterbury"	2	1415	823	2447.0					1007	1239	2476.0	1197	1294	2543.0
"CT"	2012	"Canton"	5	2537	2617	5444.0					2701	2595	5614.0	2967	2742	5791.0
"CT"	2012	"Chaplin"	2	638	288	973.0					492	429	1030.0	584	466	1074.0
"CT"	2012	"Cheshire"	5	7167	6385	14283.0					6836	6954	14595.0	7397	7311	14894.0
"CT"	2012	"Chester"	2	1383	481	2025.0					1220	652	2034.0	1380	707	2109.0
"CT"	2012	"Clinton"	2	3758	1983	6225.0					3070	2715	6358.0	3607	2926	6592.0
"CT"	2012	"Colchester"	2	4667	2262	7526.0					3495	3430	7608.0	4125	3579	7848.0
"CT"	2012	"Colebrook"	1	344	382	774.0					334	458	845.0	380	462	856.0
"CT"	2012	"Columbia"	2	1892	886	2966.0					1448	1308	3002.0	1715	1319	3077.0
"CT"	2012	"Cornwall"	5	434	361	865.0					561	249	866.0	629	250	883.0
"CT"	2012	"Coventry"	2	3760	1715	6005.0					3002	2526	6087.0	3538	2621	6285.0
"CT"	2012	"Cromwell"	1	3989	2365	6817.0					3504	3113	7129.0	4063	3193	7348.0
"CT"	2012	"Danbury"	5	12908	9708	24164.0					13446	10157	25353.0	15290	10590	26161.0
"CT"	2012	"Darien"	4	4097	6285	10528.0					3641	6632	10603.0	3777	7175	10973.0
"CT"	2012	"Deep River"	2	1505	658	2355.0					1288	906	2398.0	1479	932	2433.0
"CT"	2012	"Derby"	3	2912	1224	4367.0					2138	1908	4478.0	2509	1993	4555.0
"CT"	2012	"Durham"	3	2250	1508	3972.0					1799	1934	4014.0	2013	2043	4113.0
"CT"	2012	"East Granby"	1	1445	1074	2687.0					1183	1408	2790.0	1389	1448	2878.0
"CT"	2012	"East Haddam"	2	2633	1524	4488.0					2151	2005	4545.0	2471	2109	4662.0
"CT"	2012	"East Hampton"	2	3696	2171	6393.0					2985	3011	6567.0	3509	3138	6738.0
"CT"	2012	"East Hartford"	1	12794	2955	16918.0					11590	4655	17578.0	14149	4556	18855.0
"CT"	2012	"East Haven"	3	6975	2694	10731.0					5336	4261	10688.0	6533	4650	11302.0
"CT"	2012	"East Lyme"	2	4653	4256	9163.0					4980	3513	9091.0	5426	3886	9413.0
"CT"	2012	"East Windsor"	1	2987	1501	4640.0					2508	2180	4798.0	2857	2112	5026.0
"CT"	2012	"Eastford"	2	557	333	923.0					422	491	930.0	464	465	947.0
"CT"	2012	"Easton"	4	1911	2057	4056.0					1759	2214	4138.0	1841	2380	4266.0
"CT"	2012	"Ellington"	2	4157	2452	7186.0					3209	3498	7218.0	3598	3894	7606.0
"CT"	2012	"Enfield"	2	11273	4356	17044.0					8788	7098	17454.0	10152	7709	18156.0
"CT"	2012	"Essex"	2	2318	1293	3793.0					1989	1560	3804.0	2230	1701	3975.0
"CT"	2012	"Fairfield"	4	15192	12778	28684.0					14096	13474	28995.0	15283	14357	29940.0
"CT"	2012	"Farmington"	5	6108	6161	13009.0					6449	6224	13444.0	7013	6611	13782.0
"CT"	2012	"Franklin"	2	672	264	1012.0					458	451	1008.0	519	516	1055.0
"CT"	2012	"Glastonbury"	1	10142	6119	17127.0	2	557	387	1009	9049	8536	18621.0	10135	8809	19166.0
