state	year	county	precinct	cd	g2012_USP_rv	g2012_USP_dv	g2012_USP_tv	g2012_USH_rv	g2012_USH_dv	g2012_USH_tv
"IA"	2012	"Adair"	"1NW"	3	473	330	826	546	221	806
"IA"	2012	"Adair"	"2NE"	3	384	384	790	454	268	765
"IA"	2012	"Adair"	"3SW"	3	455	314	783	492	232	766
"IA"	2012	"Adair"	"4SE"	3	390	356	761	446	258	736
"IA"	2012	"Adair"	"5GF"	3	412	406	836	474	291	812
"IA"	2012	"Adams"	"ADAMS 1"	3	198	199	406	216	171	403
"IA"	2012	"Adams"	"ADAMS 2"	3	242	194	443	249	153	432
"IA"	2012	"Adams"	"ADAMS 3"	3	183	245	444	238	175	434
"IA"	2012	"Adams"	"ADAMS 4"	3	264	197	466	287	155	459
"IA"	2012	"Adams"	"ADAMS 5"	3	221	193	426	247	151	417
"IA"	2012	"Allamakee"	"PCT 1 - WL/HV"	1	95	156	258	101	144	253
"IA"	2012	"Allamakee"	"PCT 10 - WK 2"	1	241	402	650	268	351	629
"IA"	2012	"Allamakee"	"PCT 11 - WK 3"	1	257	337	607	278	293	578
"IA"	2012	"Allamakee"	"PCT 2 - FC/JF/LL/MK/UP"	1	672	551	1251	668	510	1195
"IA"	2012	"Allamakee"	"PCT 3 - PO/FK"	1	206	122	331	198	117	321
"IA"	2012	"Allamakee"	"PCT 4 - PV CITY"	1	263	261	530	241	249	498
"IA"	2012	"Allamakee"	"PCT 5 - LT/PC/WV CITY"	1	220	167	398	221	164	393
"IA"	2012	"Allamakee"	"PCT 6 - FV/TL/HF CITY"	1	173	278	456	157	269	431
"IA"	2012	"Allamakee"	"PCT 7 - CN/LF/LS/LS CITY"	1	487	680	1182	446	646	1113
"IA"	2012	"Allamakee"	"PCT 8 - IA/UC/NA/NA CITY"	1	279	212	504	286	175	474
"IA"	2012	"Allamakee"	"PCT 9 - WK 1"	1	371	387	767	362	353	728
"IA"	2012	"Appanoose"	"Centerville Ward 1"	2	394	443	848	352	449	823
"IA"	2012	"Appanoose"	"Centerville Ward 2"	2	346	456	825	320	454	787
"IA"	2012	"Appanoose"	"Centerville Ward 3"	2	347	418	790	313	418	751
"IA"	2012	"Appanoose"	"Cincinnati"	2	219	201	429	174	217	399
"IA"	2012	"Appanoose"	"Exline"	2	118	101	228	105	110	219
"IA"	2012	"Appanoose"	"Moravia"	2	305	246	567	272	263	549
"IA"	2012	"Appanoose"	"Moulton"	2	274	186	473	262	186	458
"IA"	2012	"Appanoose"	"Mystic"	2	198	229	433	178	228	416
"IA"	2012	"Appanoose"	"Numa"	2	211	170	386	182	183	372
"IA"	2012	"Appanoose"	"Plano"	2	162	135	299	143	135	286
"IA"	2012	"Appanoose"	"Union Township"	2	74	29	103	65	29	96
"IA"	2012	"Appanoose"	"Unionville"	2	112	82	196	102	85	190
"IA"	2012	"Appanoose"	"Vermillion/Douglas/Sharon"	2	401	255	668	354	260	631
