state	year	county	precinct	cd	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	g2012_REG_cv	g2012_REG_ev	g2012_REG_tv	g2012_BALL_tv
"ID"	2012	"Ada"	"1401"	1	210	698	924	179	697	914	1059	138	1197	935
"ID"	2012	"Ada"	"1402"	1	284	804	1122	255	788	1089	1276	146	1422	1137
"ID"	2012	"Ada"	"1403"	1	109	339	455	108	326	440	506	51	557	457
"ID"	2012	"Ada"	"1404"	1	283	965	1285	262	911	1249	1375	336	1711	1301
"ID"	2012	"Ada"	"1405"	1	342	800	1185	307	756	1149	1375	272	1647	1206
"ID"	2012	"Ada"	"1406"	1	364	1132	1518	327	1081	1461	1685	247	1932	1530
"ID"	2012	"Ada"	"1407"	1	342	715	1087	311	678	1051	1352	189	1541	1107
"ID"	2012	"Ada"	"1408"	1	474	875	1380	426	815	1300	1659	201	1860	1402
"ID"	2012	"Ada"	"1409"	1	382	878	1290	340	846	1238	1506	140	1646	1303
"ID"	2012	"Ada"	"1410"	1	460	629	1118	411	606	1079	1356	251	1607	1147
"ID"	2012	"Ada"	"1411"	1	482	838	1347	443	812	1306	1606	213	1819	1362
"ID"	2012	"Ada"	"1412"	1	123	322	459	101	325	448	523	89	612	467
"ID"	2012	"Ada"	"1413"	1	381	976	1381	365	929	1339	1441	315	1756	1394
"ID"	2012	"Ada"	"1414"	1	539	1386	1970	478	1325	1898	2158	530	2688	1990
"ID"	2012	"Ada"	"1415"	1	259	981	1253	237	950	1215	1402	183	1585	1262
"ID"	2012	"Ada"	"1416"	1	346	915	1279	308	873	1224	1441	184	1625	1291
"ID"	2012	"Ada"	"1417"	1	313	868	1209	305	798	1165	1378	222	1600	1222
"ID"	2012	"Ada"	"1418"	1	591	1310	1944	581	1260	1921	2263	239	2502	1985
"ID"	2012	"Ada"	"1419"	1	353	778	1161	321	734	1129	1403	217	1620	1176
"ID"	2012	"Ada"	"1501"	1	612	1166	1815	525	1155	1751	2137	346	2483	1830
"ID"	2012	"Ada"	"1502"	2	616	985	1647	559	1062	1623	1958	253	2211	1676
"ID"	2012	"Ada"	"1503"	2	497	767	1302	485	791	1281	1482	187	1669	1319
"ID"	2012	"Ada"	"1504"	1	734	1112	1905	670	1050	1855	2246	388	2634	1938
"ID"	2012	"Ada"	"1505"	2	459	686	1187	442	713	1160	1414	190	1604	1209
"ID"	2012	"Ada"	"1506"	2	565	743	1353	538	806	1344	1562	247	1809	1387
"ID"	2012	"Ada"	"1507"	2	514	823	1390	516	844	1363	1674	251	1925	1414
"ID"	2012	"Ada"	"1508"	2	564	715	1333	541	764	1312	1551	264	1815	1372
"ID"	2012	"Ada"	"1509"	2	792	926	1782	751	988	1743	2136	445	2581	1821
"ID"	2012	"Ada"	"1510"	2	500	505	1045	484	544	1032	1273	258	1531	1072
"ID"	2012	"Ada"	"1511"	2	397	445	874	374	470	846	1080	250	1330	899
"ID"	2012	"Ada"	"1512"	2	414	422	867	390	443	834	1052	339	1391	892
"ID"	2012	"Ada"	"1513"	2	430	486	961	418	518	940	1106	293	1399	982
"ID"	2012	"Ada"	"1514"	2	358	562	953	351	597	948	1102	190	1292	973
"ID"	2012	"Ada"	"1515"	2	232	413	665	230	426	657	807	117	924	680
"ID"	2012	"Ada"	"1601"	2	806	975	1817	725	1054	1784	2020	248	2268	1842
"ID"	2012	"Ada"	"1602"	2	716	607	1376	702	666	1369	1806	334	2140	1412
"ID"	2012	"Ada"	"1603"	2	1064	729	1865	1057	783	1841	2245	411	2656	1899
"ID"	2012	"Ada"	"1604"	2	705	466	1223	686	513	1205	1475	196	1671	1250
"ID"	2012	"Ada"	"1605"	2	751	392	1203	766	429	1199	1457	256	1713	1239
"ID"	2012	"Ada"	"1606"	2	701	295	1044	712	325	1040	1322	352	1674	1081
"ID"	2012	"Ada"	"1607"	1	704	805	1561	627	762	1517	1783	344	2127	1597
"ID"	2012	"Ada"	"1608"	2	510	363	915	511	400	912	1131	306	1437	947
"ID"	2012	"Ada"	"1609"	2	559	688	1287	517	761	1281	1517	220	1737	1320
"ID"	2012	"Ada"	"1610"	2	755	829	1645	750	889	1647	1998	276	2274	1701
"ID"	2012	"Ada"	"1611"	2	618	738	1398	563	823	1389	1664	198	1862	1433
"ID"	2012	"Ada"	"1612"	2	415	359	801	395	394	791	986	249	1235	822
"ID"	2012	"Ada"	"1613"	2	677	602	1321	665	643	1310	1459	230	1689	1354
"ID"	2012	"Ada"	"1614"	2	519	545	1096	489	575	1067	1320	297	1617	1117
"ID"	2012	"Ada"	"1615"	2	707	555	1320	685	617	1303	1656	395	2051	1366
"ID"	2012	"Ada"	"1701"	2	457	496	989	425	514	942	1227	305	1532	1009
"ID"	2012	"Ada"	"1702"	2	613	646	1313	580	693	1274	1539	285	1824	1338
"ID"	2012	"Ada"	"1703"	2	557	491	1084	533	531	1069	1414	363	1777	1118
"ID"	2012	"Ada"	"1704"	2	607	318	992	621	378	1000	1246	207	1453	1029
"ID"	2012	"Ada"	"1705"	2	548	408	995	526	456	984	1289	344	1633	1043
"ID"	2012	"Ada"	"1706"	2	758	510	1349	768	564	1336	1701	364	2065	1395
"ID"	2012	"Ada"	"1707"	2	572	313	931	580	353	934	1155	211	1366	964
"ID"	2012	"Ada"	"1708"	2	712	435	1201	683	484	1168	1559	327	1886	1225
"ID"	2012	"Ada"	"1709"	2	725	349	1145	733	425	1159	1368	258	1626	1187
"ID"	2012	"Ada"	"1710"	2	447	284	779	404	306	711	1317	353	1670	793
"ID"	2012	"Ada"	"1711"	2	526	283	883	518	322	843	1211	337	1548	903
"ID"	2012	"Ada"	"1712"	2	545	495	1073	503	566	1070	1276	214	1490	1103
"ID"	2012	"Ada"	"1713"	2	656	648	1359	620	710	1333	1664	293	1957	1390
"ID"	2012	"Ada"	"1714"	2	683	535	1280	664	624	1296	1650	314	1964	1341
"ID"	2012	"Ada"	"1715"	2	791	536	1389	758	619	1380	1696	308	2004	1433
"ID"	2012	"Ada"	"1801"	1	445	627	1109	393	610	1076	1292	220	1512	1123
"ID"	2012	"Ada"	"1802"	1	581	946	1569	537	904	1537	1884	250	2134	1602
"ID"	2012	"Ada"	"1803"	1	353	623	1000	351	577	975	1233	128	1361	1010
"ID"	2012	"Ada"	"1804"	1	47	72	123	40	72	124	188	29	217	127
"ID"	2012	"Ada"	"1805"	2	848	537	1450	782	614	1397	1950	495	2445	1478
"ID"	2012	"Ada"	"1806"	2	663	526	1228	576	628	1205	1506	177	1683	1243
"ID"	2012	"Ada"	"1807"	2	853	568	1506	845	632	1480	1822	414	2236	1553
"ID"	2012	"Ada"	"1808"	2	762	435	1261	756	494	1252	1487	332	1819	1298
"ID"	2012	"Ada"	"1809"	2	815	576	1447	750	676	1430	1766	344	2110	1481
"ID"	2012	"Ada"	"1810"	2	650	448	1124	599	514	1114	1315	201	1516	1146
"ID"	2012	"Ada"	"1811"	2	749	540	1324	671	627	1302	1551	133	1684	1342
"ID"	2012	"Ada"	"1812"	2	631	492	1174	586	559	1149	1409	281	1690	1201
"ID"	2012	"Ada"	"1813"	2	719	509	1273	657	593	1252	1491	229	1720	1288
"ID"	2012	"Ada"	"1814"	2	689	646	1370	626	717	1346	1578	325	1903	1400
"ID"	2012	"Ada"	"1815"	2	710	755	1515	694	778	1479	1768	329	2097	1543
"ID"	2012	"Ada"	"1816"	2	394	450	868	340	512	852	1029	94	1123	884
"ID"	2012	"Ada"	"1817"	2	654	622	1312	601	690	1294	1450	226	1676	1334
"ID"	2012	"Ada"	"1818"	2	575	669	1299	539	738	1278	1601	260	1861	1324
"ID"	2012	"Ada"	"1901"	2	620	722	1379	581	744	1329	1527	218	1745	1393
"ID"	2012	"Ada"	"1902"	2	721	620	1370	671	690	1362	1551	131	1682	1392
"ID"	2012	"Ada"	"1903"	1	191	317	529	179	309	518	667	125	792	546
"ID"	2012	"Ada"	"1904"	2	492	597	1117	489	597	1089	1281	210	1491	1142
"ID"	2012	"Ada"	"1905"	2	607	396	1039	594	423	1018	1229	229	1458	1062
"ID"	2012	"Ada"	"1906"	2	756	531	1352	731	609	1341	1558	305	1863	1386
"ID"	2012	"Ada"	"1907"	2	755	709	1509	722	783	1505	1713	207	1920	1540
"ID"	2012	"Ada"	"1908"	2	603	232	874	578	278	857	1006	132	1138	885
"ID"	2012	"Ada"	"1909"	2	898	397	1344	842	479	1323	1586	241	1827	1359
"ID"	2012	"Ada"	"1910"	2	1198	537	1814	1167	633	1802	2198	357	2555	1849
"ID"	2012	"Ada"	"1911"	2	907	244	1199	912	285	1198	1430	248	1678	1220
"ID"	2012	"Ada"	"1912"	2	760	210	1015	759	229	989	1253	193	1446	1030
"ID"	2012	"Ada"	"1913"	2	898	261	1202	870	326	1196	1464	225	1689	1225
"ID"	2012	"Ada"	"1914"	2	799	174	1031	794	222	1019	1276	380	1656	1054
"ID"	2012	"Ada"	"1915"	2	771	283	1105	779	302	1083	1509	386	1895	1129
"ID"	2012	"Ada"	"1916"	2	515	292	854	512	312	828	1123	346	1469	870
"ID"	2012	"Ada"	"1917"	2	563	246	849	558	262	825	1084	279	1363	863
"ID"	2012	"Ada"	"1918"	2	1157	576	1791	1086	671	1761	2103	263	2366	1820
"ID"	2012	"Ada"	"1919"	2	968	371	1394	947	442	1389	1601	230	1831	1424
"ID"	2012	"Ada"	"1920"	2	420	274	715	395	311	708	811	77	888	723
"ID"	2012	"Ada"	"2001"	1	288	740	1046	279	697	1015	1007	253	1260	1061
"ID"	2012	"Ada"	"2002"	1	681	1322	2041	594	1298	1985	2323	393	2716	2067
"ID"	2012	"Ada"	"2003"	1	356	1023	1400	318	966	1348	1485	299	1784	1417
"ID"	2012	"Ada"	"2004"	1	372	940	1349	311	916	1309	1540	324	1864	1376
"ID"	2012	"Ada"	"2005"	1	529	1267	1834	501	1161	1758	2029	415	2444	1860
"ID"	2012	"Ada"	"2006"	1	446	1023	1494	399	995	1467	1717	240	1957	1521
"ID"	2012	"Ada"	"2007"	1	415	941	1403	363	939	1381	1680	132	1812	1425
"ID"	2012	"Ada"	"2008"	1	596	1065	1714	592	974	1662	2013	404	2417	1740
"ID"	2012	"Ada"	"2009"	1	717	1268	2036	673	1199	1978	2475	525	3000	2077
"ID"	2012	"Ada"	"2010"	1	430	827	1286	387	801	1248	1491	285	1776	1305
"ID"	2012	"Ada"	"2011"	1	450	747	1233	406	732	1197	1388	260	1648	1249
"ID"	2012	"Ada"	"2012"	1	402	560	999	335	544	971	1186	540	1726	1025
"ID"	2012	"Ada"	"2013"	1	391	752	1164	365	710	1127	1342	134	1476	1178
"ID"	2012	"Ada"	"2101"	1	492	1391	1934	463	1315	1872	2182	273	2455	1965
"ID"	2012	"Ada"	"2102"	1	466	1060	1563	445	986	1498	1746	313	2059	1577
"ID"	2012	"Ada"	"2103"	1	340	662	1025	314	617	987	1170	178	1348	1040
"ID"	2012	"Ada"	"2104"	1	457	851	1330	403	793	1283	1536	229	1765	1357
"ID"	2012	"Ada"	"2105"	1	298	600	922	277	586	902	1066	106	1172	943
"ID"	2012	"Ada"	"2106"	1	531	1203	1766	469	1133	1694	1859	470	2329	1785
"ID"	2012	"Ada"	"2107"	1	361	784	1180	328	785	1177	1363	204	1567	1207
"ID"	2012	"Ada"	"2108"	1	427	701	1172	401	655	1127	1302	187	1489	1198
"ID"	2012	"Ada"	"2109"	1	489	714	1242	489	658	1205	1508	238	1746	1263
"ID"	2012	"Ada"	"2110"	1	140	406	554	141	373	536	618	116	734	562
"ID"	2012	"Ada"	"2111"	1	488	902	1429	479	831	1376	1643	478	2121	1441
"ID"	2012	"Ada"	"2112"	1	573	987	1601	555	932	1558	1760	282	2042	1636
"ID"	2012	"Ada"	"2113"	1	400	709	1141	370	652	1095	1193	289	1482	1151
"ID"	2012	"Ada"	"2114"	1	613	926	1599	523	890	1541	1858	357	2215	1624
"ID"	2012	"Ada"	"2115"	1	579	908	1541	506	858	1501	1785	525	2310	1572
"ID"	2012	"Ada"	"2116"	1	399	586	1016	362	549	984	1152	280	1432	1032
"ID"	2012	"Ada"	"2201"	1	389	891	1306	361	828	1257	1410	292	1702	1325
"ID"	2012	"Ada"	"2202"	1	377	824	1227	297	800	1194	1391	293	1684	1245
"ID"	2012	"Ada"	"2203"	1	460	834	1344	401	782	1308	1590	401	1991	1378
"ID"	2012	"Ada"	"2204"	1	465	862	1374	426	794	1338	1690	341	2031	1413
"ID"	2012	"Ada"	"2205"	1	179	531	726	178	501	712	867	80	947	741
"ID"	2012	"Ada"	"2206"	1	357	866	1249	305	835	1208	1448	264	1712	1268
"ID"	2012	"Ada"	"2207"	1	271	1130	1428	261	1052	1376	1588	253	1841	1443
"ID"	2012	"Ada"	"2208"	1	456	1126	1633	403	1062	1559	1829	416	2245	1655
"ID"	2012	"Ada"	"2209"	1	348	702	1099	297	667	1053	1331	270	1601	1117
"ID"	2012	"Ada"	"2210"	1	467	871	1378	385	831	1320	1794	323	2117	1401
"ID"	2012	"Ada"	"2211"	1	277	886	1197	253	837	1174	1407	268	1675	1224
"ID"	2012	"Ada"	"2212"	1	279	739	1060	267	689	1024	1201	187	1388	1075
"ID"	2012	"Ada"	"2213"	1	6	91	100	8	84	96	120	13	133	101
"ID"	2012	"Ada"	"2214"	1	218	646	898	205	607	873	1082	162	1244	922
"ID"	2012	"Adams"	"001 Indian Valley"	1	33	103	144	32	94	135	206	19	225	150
"ID"	2012	"Adams"	"002 Council"	1	80	239	329	74	206	297	608	43	651	340
"ID"	2012	"Adams"	"003 No. Council"	1	93	297	410	84	234	346	775	48	823	420
"ID"	2012	"Adams"	"004 Bear"	1	2	30	33	2	23	27	37	3	40	36
"ID"	2012	"Adams"	"005 New Meadows"	1	184	334	534	139	313	482	929	70	999	555
"ID"	2012	"Adams"	"006 Little Salmon River"	1	13	29	42	14	26	42	61	1	62	45
"ID"	2012	"Adams"	"Absentee"	1	172	381	568	149	359	535				585
"ID"	2012	"Bannock"	"Pocatello 1"	2	152	224	381	166	209	375	787	64	851	385
"ID"	2012	"Bannock"	"Pocatello 2"	2	147	324	481	174	306	480	828	86	914	491
"ID"	2012	"Bannock"	"Pocatello 3"	2	185	266	462	201	259	460	773	62	835	468
"ID"	2012	"Bannock"	"Pocatello 4"	2	327	257	610	348	256	604	915	245	1160	625
"ID"	2012	"Bannock"	"Pocatello 5"	2	210	238	473	233	245	478	758	131	889	485
"ID"	2012	"Bannock"	"Pocatello 6"	2	254	177	455	262	186	448	725	218	943	472
"ID"	2012	"Bannock"	"Pocatello 7"	2	186	234	437	203	226	429	680	132	812	443
"ID"	2012	"Bannock"	"Pocatello 8"	2	201	128	356	202	144	346	568	122	690	360
"ID"	2012	"Bannock"	"Pocatello 9"	2	213	235	464	205	240	445	645	149	794	470
"ID"	2012	"Bannock"	"Pocatello 10"	2	233	390	651	256	396	652	884	247	1131	672
"ID"	2012	"Bannock"	"Pocatello 11"	2	138	250	396	163	232	395	731	123	854	402
"ID"	2012	"Bannock"	"Pocatello 12"	2	168	275	463	199	266	465	775	122	897	476
"ID"	2012	"Bannock"	"Pocatello 13"	2	182	253	454	201	244	445	690	184	874	472
"ID"	2012	"Bannock"	"Pocatello 14"	2	194	307	515	214	294	508	773	166	939	526
"ID"	2012	"Bannock"	"Pocatello 15"	2	152	228	391	171	221	392	637	137	774	411
"ID"	2012	"Bannock"	"Pocatello 17"	2	192	290	490	220	261	481	716	159	875	499
"ID"	2012	"Bannock"	"Pocatello 18"	2	182	341	540	206	328	534	751	140	891	548
"ID"	2012	"Bannock"	"Pocatello 19"	2	144	207	363	157	202	359	470	138	608	377
"ID"	2012	"Bannock"	"Pocatello 20"	2	186	212	416	197	205	402	618	142	760	419
"ID"	2012	"Bannock"	"Pocatello 21"	2	141	277	436	167	275	442	685	170	855	453
"ID"	2012	"Bannock"	"Pocatello 22"	2	177	311	514	218	288	506	813	187	1000	526
"ID"	2012	"Bannock"	"Pocatello 23"	2	172	242	435	207	228	435	723	139	862	447
"ID"	2012	"Bannock"	"Pocatello 24"	2	190	181	401	223	171	394	595	169	764	409
"ID"	2012	"Bannock"	"Pocatello 25"	2	181	152	352	201	152	353	568	171	739	365
"ID"	2012	"Bannock"	"Pocatello 26"	2	223	196	447	223	212	435	703	258	961	452
"ID"	2012	"Bannock"	"Pocatello 27"	2	201	201	419	188	214	402	705	265	970	429
"ID"	2012	"Bannock"	"Pocatello 28"	2	204	336	554	226	311	537	913	324	1237	562
"ID"	2012	"Bannock"	"Pocatello 31"	2	223	142	392	226	160	386	730	136	866	406
