state	year	county	precinct	g2012_BALL_tv	g2012_REG_tv	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	cd	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	cd2	g2012_USH_dv2	g2012_USH_rv2	g2012_USH_tv2	cd3	g2012_USH_dv3	g2012_USH_rv3	g2012_USH_tv3
"IL"	2012	"Adams"	"Beverly"	168	233	40	120	166	18	26	134	160								
"IL"	2012	"Adams"	"Burton"	500	693	100	388	495	18	73	407	480								
"IL"	2012	"Adams"	"Camp Point PCT 1"	393	552	87	286	383	18	75	304	379								
"IL"	2012	"Adams"	"Camp Point PCT 2"	420	593	78	332	420	18	44	370	414								
"IL"	2012	"Adams"	"Clayton"	415	635	111	290	411	18	70	332	402								
"IL"	2012	"Adams"	"Columbus"	315	439	56	252	312	18	44	265	309								
"IL"	2012	"Adams"	"Concord"	110	149	19	88	110	18	17	93	110								
"IL"	2012	"Adams"	"Ellington PCT 1"	538	723	128	405	537	18	88	435	523								
"IL"	2012	"Adams"	"Ellington PCT 2"	535	793	168	357	269	18	119	399	518								
"IL"	2012	"Adams"	"Ellington PCT 3"	463	641	137	316	460	18	91	359	450								
"IL"	2012	"Adams"	"Fall Creek"	306	433	73	227	304	18	55	240	295								
"IL"	2012	"Adams"	"Gilmer"	577	845	150	417	575	18	99	464	563								
"IL"	2012	"Adams"	"Honey Creek"	374	497	84	279	371	18	42	324	366								
"IL"	2012	"Adams"	"Houston"	113	149	19	92	111	18	13	99	112								
"IL"	2012	"Adams"	"Keene"	292	438	93	184	289	18	71	213	284								
"IL"	2012	"Adams"	"Liberty"	676	953	174	480	669	18	116	546	662								
"IL"	2012	"Adams"	"Lima"	252	360	61	181	248	18	71	204	275								
"IL"	2012	"Adams"	"McKee"	113	145	21	89	111	18	9	97	106								
"IL"	2012	"Adams"	"Melrose PCT 1"	472	662	111	351	467	18	88	370	458								
"IL"	2012	"Adams"	"Melrose PCT 2"	688	922	149	529	686	18	108	568	676								
"IL"	2012	"Adams"	"Melrose PCT 3"	528	828	160	358	527	18	106	413	519								
"IL"	2012	"Adams"	"Melrose PCT 4"	384	508	85	295	384	18	63	312	375								
"IL"	2012	"Adams"	"Melrose PCT 5"	416	574	70	335	413	18	64	339	403								
"IL"	2012	"Adams"	"Melrose PCT 6"	484	731	131	340	477	18	114	354	468								
"IL"	2012	"Adams"	"Mendon PCT 1"	323	409	46	264	321	18	43	276	319								
"IL"	2012	"Adams"	"Mendon PCT 2"	368	568	127	232	365	18	90	274	364								
"IL"	2012	"Adams"	"Northeast"	435	592	95	320	427	18	60	360	420								
"IL"	2012	"Adams"	"Payson PCT 1"	519	813	157	342	514	18	112	399	511								
"IL"	2012	"Adams"	"Payson PCT 2"	274	381	65	202	269	18	52	221	273								
"IL"	2012	"Adams"	"Quincy 1"	462	706	175	274	458	18	137	304	441								
"IL"	2012	"Adams"	"Quincy 10"	266	399	115	142	262	18	92	164	256								
"IL"	2012	"Adams"	"Quincy 11"	405	568	138	255	402	18	103	281	384								
"IL"	2012	"Adams"	"Quincy 12"	411	653	156	239	406	18	130	269	399								
"IL"	2012	"Adams"	"Quincy 13"	356	573	127	213	350	18	107	229	336								
"IL"	2012	"Adams"	"Quincy 14"	364	589	181	174	362	18	149	201	350								
"IL"	2012	"Adams"	"Quincy 15"	577	784	162	397	571	18	137	417	554								
"IL"	2012	"Adams"	"Quincy 16"	549	775	184	339	542	18	144	384	528								
"IL"	2012	"Adams"	"Quincy 17"	510	692	186	304	500	18	133	351	484								
"IL"	2012	"Adams"	"Quincy 18"	573	731	168	393	566	18	113	439	552								
"IL"	2012	"Adams"	"Quincy 19"	170	271	65	99	170	18	54	111	165								
"IL"	2012	"Adams"	"Quincy 2"	417	787	197	199	410	18	159	224	383								
"IL"	2012	"Adams"	"Quincy 20"	546	749	191	336	540	18	140	386	526								
"IL"	2012	"Adams"	"Quincy 21"	583	776	203	365	579	18	139	419	558								
"IL"	2012	"Adams"	"Quincy 22"	513	662	170	328	503	18	129	364	493								
"IL"	2012	"Adams"	"Quincy 23"	347	454	104	235	341	18	59	278	337								
"IL"	2012	"Adams"	"Quincy 24"	594	721	123	461	587	18	75	502	577								
"IL"	2012	"Adams"	"Quincy 25"	618	771	189	414	611	18	127	471	598								
"IL"	2012	"Adams"	"Quincy 26"	506	715	139	349	497	18	108	374	482								
"IL"	2012	"Adams"	"Quincy 27"	645	819	157	473	641	18	87	541	628								
"IL"	2012	"Adams"	"Quincy 28"	545	716	163	371	540	18	115	412	527								
"IL"	2012	"Adams"	"Quincy 29"	547	746	174	357	544	18	124	403	527								
