state	year	county	precinct	vtd	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	cd	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv
"KS"	2012	"ALLEN"	"Carlyle Township"	"000010"	32	108	141	2	19	113	140
"KS"	2012	"ALLEN"	"Cottage Grove Township"	"000020"	37	90	127	2	21	100	126
"KS"	2012	"ALLEN"	"Deer Creek Township"	"000030"	13	37	55	2	13	40	55
"KS"	2012	"ALLEN"	"East Elm"	"000040"	107	130	245	2	70	157	243
"KS"	2012	"ALLEN"	"Geneva Township"	"000050"	19	47	66	2	13	47	63
"KS"	2012	"ALLEN"	"Humboldt Township"	"00006A"	42	88	135	2	37	92	135
"KS"	2012	"ALLEN"	"Humboldt Township Rural Enclave"	"00006B"	0	0	0	2	0	0	0
"KS"	2012	"ALLEN"	"Humboldt Township Split"	"00006C"	0	0	0	2	0	0	0
"KS"	2012	"ALLEN"	"Humboldt Ward 1"	"000070"	149	229	385	2	108	250	383
"KS"	2012	"ALLEN"	"Humboldt Ward 2"	"000080"	162	255	427	2	116	279	420
"KS"	2012	"ALLEN"	"Iola Ward 1"	"000090"	231	459	713	2	181	490	699
"KS"	2012	"ALLEN"	"Iola Ward 2"	"00010A"	177	229	412	2	122	260	400
"KS"	2012	"ALLEN"	"Iola Ward 2 Exclave"	"00010B"	0	0	0	2	0	0	0
"KS"	2012	"ALLEN"	"Iola Ward 3"	"000110"	186	239	437	2	126	279	426
"KS"	2012	"ALLEN"	"Iola Ward 4"	"000120"	164	254	423	2	115	283	418
"KS"	2012	"ALLEN"	"Logan Township S12"	"120020"	33	68	104	2	24	72	100
"KS"	2012	"ALLEN"	"Logan Township S15"	"120030"	0	0	0	2	0	0	0
"KS"	2012	"ALLEN"	"Marmaton Township"	"000140"	105	233	348	2	96	234	347
"KS"	2012	"ALLEN"	"North Elmsmore"	"000150"	24	60	84	2	19	65	85
"KS"	2012	"ALLEN"	"North Iola Part A"	"00016A"	34	83	119	2	30	80	118
"KS"	2012	"ALLEN"	"North Iola Part A Rural Enclave"	"00016B"	0	0	0	2	0	0	0
"KS"	2012	"ALLEN"	"North Iola Part B"	"00016C"	0	0	0	2	0	0	0
"KS"	2012	"ALLEN"	"Osage Township"	"000170"	45	83	132	2	39	84	128
"KS"	2012	"ALLEN"	"Salem Township"	"000180"	45	85	131	2	35	92	131
"KS"	2012	"ALLEN"	"South Elmsmore"	"000190"	26	58	86	2	27	56	87
"KS"	2012	"ALLEN"	"South Iola"	"00020A"	78	192	273	2	64	199	271
"KS"	2012	"ALLEN"	"South Iola Enclave"	"00020B"	0	0	0	2	0	0	0
"KS"	2012	"ALLEN"	"West Elm"	"000210"	160	289	460	2	108	326	457
"KS"	2012	"ANDERSON"	"Colony"	"000010"	53	127	184	2	35	130	177
"KS"	2012	"ANDERSON"	"Garnett Precinct 1"	"00002A"	144	327	481	2	101	349	477
"KS"	2012	"ANDERSON"	"Garnett Precinct 1 Exclave"	"00002B"	0	0	0	2	0	0	0
"KS"	2012	"ANDERSON"	"Garnett Precinct 2"	"000030"	129	303	447	2	98	324	441
"KS"	2012	"ANDERSON"	"Garnett Precinct 3"	"000040"	119	218	345	2	89	235	335
"KS"	2012	"ANDERSON"	"Garnett Precinct 4"	"000050"	25	53	82	2	18	58	78
"KS"	2012	"ANDERSON"	"Greeley"	"000060"	43	61	110	2	43	61	111
"KS"	2012	"ANDERSON"	"Indian Creek Township"	"000080"	11	56	67	2	9	59	69
"KS"	2012	"ANDERSON"	"Jackson Township H5"	"200010"	43	149	198	2	45	147	198
"KS"	2012	"ANDERSON"	"Jackson Township H9"	"200020"	0	0	0	2	0	0	0
"KS"	2012	"ANDERSON"	"Kincaid"	"000100"	20	16	37	2	10	21	34
"KS"	2012	"ANDERSON"	"Lincoln Township"	"000110"	24	70	97	2	15	73	94
"KS"	2012	"ANDERSON"	"Lone Elm City"	"000120"	3	4	7	2	2	3	7
"KS"	2012	"ANDERSON"	"Lone Elm Township"	"000130"	18	53	76	2	13	53	73
"KS"	2012	"ANDERSON"	"Monroe Township"	"00014A"	36	125	165	2	31	124	159
"KS"	2012	"ANDERSON"	"North Rich Township"	"000150"	7	20	27	2	6	20	27
"KS"	2012	"ANDERSON"	"Ozark Township"	"000160"	12	64	78	2	10	64	75
"KS"	2012	"ANDERSON"	"Putnam Township"	"000170"	53	103	160	2	50	102	159
"KS"	2012	"ANDERSON"	"Reeder Township"	"000180"	24	73	101	2	23	73	101
"KS"	2012	"ANDERSON"	"Rich Township"	"000190"	12	50	64	2	6	54	64
"KS"	2012	"ANDERSON"	"Walker Township"	"000200"	51	124	181	2	36	126	175
"KS"	2012	"ANDERSON"	"Washington Township"	"000210"	47	83	133	2	34	92	131
