state	year	county	precinct	cd	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	cd2	g2012_USH_dv2	g2012_USH_rv2	g2012_USH_tv2	g2012_USP_rv	g2012_USP_dv	g2012_USP_tv
"KY"	2012	"Adair"	"A102"	1	33	199	232					213	45	260
"KY"	2012	"Adair"	"A104"	1	50	284	334					293	48	350
"KY"	2012	"Adair"	"A105"	1	28	258	286					276	32	309
"KY"	2012	"Adair"	"AB"	1	104	335	439					348	116	469
"KY"	2012	"Adair"	"B102"	1	190	510	700					509	209	736
"KY"	2012	"Adair"	"B104"	1	64	319	383					337	62	404
"KY"	2012	"Adair"	"C102"	1	83	324	407					320	103	429
"KY"	2012	"Adair"	"C104"	1	111	333	444					355	119	477
"KY"	2012	"Adair"	"D101"	1	39	261	300					270	38	313
"KY"	2012	"Adair"	"D103"	1	67	324	391					334	75	415
"KY"	2012	"Adair"	"D104"	1	89	206	295					202	118	321
"KY"	2012	"Adair"	"E101"	1	58	312	370					323	62	395
"KY"	2012	"Adair"	"E104"	1	112	392	504					375	159	536
"KY"	2012	"Adair"	"F101"	1	176	529	705					545	197	747
"KY"	2012	"Adair"	"F103"	1	73	265	338					295	64	364
"KY"	2012	"Adair"	"G101"	1	56	256	312					257	67	326
"KY"	2012	"Adair"	"G102"	1	120	596	716					589	146	749
"KY"	2012	"Allen"	"A101"	1	133	387	520					338	182	530
"KY"	2012	"Allen"	"A102"	1	83	287	370					279	94	382
"KY"	2012	"Allen"	"AB"	1	95	271	366					277	109	388
"KY"	2012	"Allen"	"B101"	1	141	549	690					527	167	702
"KY"	2012	"Allen"	"B102"	1	59	332	391					313	83	401
"KY"	2012	"Allen"	"B103"	1	60	183	243					193	59	256
"KY"	2012	"Allen"	"C101"	1	150	569	719					515	224	749
"KY"	2012	"Allen"	"C102"	1	144	593	737					565	178	751
"KY"	2012	"Allen"	"D101"	1	163	603	766					592	178	780
"KY"	2012	"Allen"	"D102"	1	72	272	344					257	95	355
"KY"	2012	"Allen"	"D103"	1	142	411	553					395	153	560
"KY"	2012	"Allen"	"E101"	1	69	265	334					246	90	342
"KY"	2012	"Allen"	"E102"	1	125	414	539					416	132	557
"KY"	2012	"Allen"	"E103"	1	65	270	335					271	64	346
"KY"	2012	"Anderson"	"A101"	6	308	286	611					345	252	612
"KY"	2012	"Anderson"	"A102"	6	326	420	767					507	252	775
"KY"	2012	"Anderson"	"AB"	6	172	288	469					322	139	470
"KY"	2012	"Anderson"	"B101"	6	404	476	910					575	323	909
"KY"	2012	"Anderson"	"B102"	6	506	707	1254					835	389	1250
"KY"	2012	"Anderson"	"C101"	6	341	381	738					438	284	739
"KY"	2012	"Anderson"	"C102"	6	265	333	615					387	217	616
"KY"	2012	"Anderson"	"D101"	6	290	436	744					525	206	744
"KY"	2012	"Anderson"	"D102"	6	334	446	798					546	251	808
"KY"	2012	"Anderson"	"E101"	6	359	537	922					640	281	928
"KY"	2012	"Anderson"	"E103"	6	304	474	806					560	244	814
"KY"	2012	"Anderson"	"F101"	6	211	368	592					412	171	594
"KY"	2012	"Anderson"	"F102"	6	125	225	363					257	100	366
"KY"	2012	"Anderson"	"F103"	6	108	125	243					153	87	247
"KY"	2012	"Anderson"	"F104"	6	150	285	446					320	119	446
"KY"	2012	"Ballard"	"A101"	1	65	200	265					204	65	270
"KY"	2012	"Ballard"	"A102"	1	207	388	595					391	203	605
"KY"	2012	"Ballard"	"A103"	1	30	77	107					81	26	109
"KY"	2012	"Ballard"	"AB"	1	33	111	144					117	33	150
"KY"	2012	"Ballard"	"B101"	1	155	318	473					297	177	483
"KY"	2012	"Ballard"	"B102"	1	36	101	137					105	31	136
"KY"	2012	"Ballard"	"C101"	1	55	137	192					131	62	194
"KY"	2012	"Ballard"	"C102"	1	63	183	246					182	60	247
"KY"	2012	"Ballard"	"C103"	1	49	101	150					108	45	154
"KY"	2012	"Ballard"	"C104"	1	78	159	237					147	89	239
"KY"	2012	"Ballard"	"D101"	1	157	328	485					301	174	492
"KY"	2012	"Ballard"	"D102"	1	65	152	217					166	53	223
"KY"	2012	"Ballard"	"E101"	1	107	244	351					248	111	363
"KY"	2012	"Ballard"	"E102"	1	60	163	223					169	60	230
"KY"	2012	"Barren"	"A101"	2	129	447	591					406	228	643
"KY"	2012	"Barren"	"A102"	2	196	198	415					166	259	436
"KY"	2012	"Barren"	"A103"	2	164	361	550					366	213	585
"KY"	2012	"Barren"	"AB"	2	252	715	986					675	365	1051
"KY"	2012	"Barren"	"B101"	2	171	625	821					628	221	860
"KY"	2012	"Barren"	"B102"	2	163	454	638					447	208	668
"KY"	2012	"Barren"	"B103"	2	81	296	388					323	92	420
