state	year	parish	ward	precinct	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	cd	g2012_USH_d2v	g2012_USH_dv	g2012_USH_r2v	g2012_USH_r3v	g2012_USH_rv	g2012_USH_tv
"LA"	2012	"Acadia"	"01"	"01"	82	693	790.0	3		34	280	12	391	726
"LA"	2012	"Acadia"	"01"	"02A"	109	175	286.0	3		44	66	3	157	272
"LA"	2012	"Acadia"	"01"	"02B"	47	279	327.0	3		21	112	5	183	324
"LA"	2012	"Acadia"	"01"	"03A"	31	403	439.0	3		21	140	8	265	435
"LA"	2012	"Acadia"	"01"	"03B"	109	192	306.0	3		45	83	4	155	289
"LA"	2012	"Acadia"	"01"	"04A"	50	288	343.0	3		26	88	7	211	339
"LA"	2012	"Acadia"	"01"	"04B"	77	246	328.0	3		27	92	11	189	321
"LA"	2012	"Acadia"	"01"	"05A"	51	197	255.0	3		20	59	10	160	251
"LA"	2012	"Acadia"	"01"	"05B"	150	89	243.0	3		71	32	3	113	220
"LA"	2012	"Acadia"	"01"	"06"	314	4	318.0	3		148	20	2	110	281
"LA"	2012	"Acadia"	"01"	"07"	289	57	348.0	3		140	43	2	126	312
"LA"	2012	"Acadia"	"01"	"08"	122	341	472.0	3		57	148	4	227	442
"LA"	2012	"Acadia"	"01"	"09"	39	453	497.0	3		18	136	9	315	480
"LA"	2012	"Acadia"	"02"	"01"	82	584	675.0	3		29	253	6	335	630
"LA"	2012	"Acadia"	"02"	"02"	28	412	444.0	3		15	149	9	236	412
"LA"	2012	"Acadia"	"02"	"03"	92	263	359.0	3		33	84	4	209	331
"LA"	2012	"Acadia"	"02"	"04"	14	364	384.0	3		6	132	8	214	360
"LA"	2012	"Acadia"	"02"	"04A"	1	53	54.0	3		1	18	0	32	51
"LA"	2012	"Acadia"	"02"	"05"	18	242	262.0	3		10	87	2	140	242
"LA"	2012	"Acadia"	"03"	"01"	170	423	601.0	3		61	145	8	347	562
"LA"	2012	"Acadia"	"03"	"02"	45	476	533.0	3		19	136	4	331	494
"LA"	2012	"Acadia"	"03"	"03A"	160	513	684.0	3		55	155	9	407	630
"LA"	2012	"Acadia"	"03"	"03B"	130	221	352.0	3		48	58	8	214	329
"LA"	2012	"Acadia"	"03"	"04"	399	54	457.0	3		142	31	13	198	385
"LA"	2012	"Acadia"	"03"	"05"	36	179	216.0	3		11	63	2	126	204
"LA"	2012	"Acadia"	"03"	"06"	64	181	247.0	3		38	59	1	138	236
"LA"	2012	"Acadia"	"03"	"07"	86	490	583.0	3		35	145	7	350	539
"LA"	2012	"Acadia"	"04"	"01"	39	379	423.0	3		26	109	6	228	370
"LA"	2012	"Acadia"	"04"	"02"	75	478	557.0	3		27	164	8	308	507
"LA"	2012	"Acadia"	"04"	"03"	6	87	93.0	3		1	27	1	59	88
"LA"	2012	"Acadia"	"04"	"04"	52	571	635.0	3		23	170	12	381	596
"LA"	2012	"Acadia"	"04"	"05"	42	505	554.0	3		36	139	11	324	514
"LA"	2012	"Acadia"	"04"	"05A"	11	92	103.0	3		7	18	2	72	99
"LA"	2012	"Acadia"	"04"	"06"	30	384	417.0	3		18	117	4	249	391
"LA"	2012	"Acadia"	"05"	"01A"	45	183	233.0	3		24	29	5	150	209
"LA"	2012	"Acadia"	"05"	"01B"	29	116	147.0	3		17	47	2	72	139
"LA"	2012	"Acadia"	"05"	"02A"	56	221	282.0	3		22	79	2	160	264
"LA"	2012	"Acadia"	"05"	"02B"	2	30	32.0	3		1	15	0	14	31
"LA"	2012	"Acadia"	"05"	"03"	20	247	268.0	3		9	61	6	171	249
"LA"	2012	"Acadia"	"05"	"04"	51	222	289.0	3		19	61	7	182	269
"LA"	2012	"Acadia"	"05"	"05"	24	107	133.0	3		17	32	1	68	118
"LA"	2012	"Acadia"	"06"	"01"	370	137	509.0	3		175	52	4	204	440
"LA"	2012	"Acadia"	"06"	"02"	47	288	341.0	3		24	77	2	214	323
"LA"	2012	"Acadia"	"06"	"03A"	204	213	418.0	3		98	39	7	232	379
"LA"	2012	"Acadia"	"06"	"03B"	12	175	188.0	3		3	40	2	131	176
"LA"	2012	"Acadia"	"06"	"04"	67	288	361.0	3		26	77	9	213	327
"LA"	2012	"Acadia"	"06"	"05"	135	12	148.0	3		71	5	4	49	130
"LA"	2012	"Acadia"	"06"	"06"	225	3	231.0	3		140	6	4	49	200
"LA"	2012	"Acadia"	"06"	"07"	51	267	330.0	3		18	85	8	198	313
"LA"	2012	"Acadia"	"06"	"08"	107	312	427.0	3		50	80	5	245	381
"LA"	2012	"Acadia"	"06"	"09"	51	199	252.0	3		25	58	6	141	231
"LA"	2012	"Acadia"	"06"	"10"	22	170	194.0	3		8	39	1	125	175
"LA"	2012	"Acadia"	"06"	"11"	422	1	424.0	3		176	13	7	127	325
"LA"	2012	"Acadia"	"06"	"12"	57	335	400.0	3		31	85	4	249	372
"LA"	2012	"Acadia"	"06"	"12A"	44	19	63.0	3		20	4	2	29	55
"LA"	2012	"Acadia"	"06"	"13"	16	194	211.0	3		12	47	4	132	195
"LA"	2012	"Acadia"	"06"	"13A"	24	93	117.0	3		8	26	1	72	108
"LA"	2012	"Acadia"	"06"	"14"	43	457	503.0	3		30	110	9	309	460
"LA"	2012	"Acadia"	"06"	"15"	17	163	183.0	3		6	50	3	115	174
"LA"	2012	"Acadia"	"06"	"16"	36	210	251.0	3		16	69	2	143	231
"LA"	2012	"Acadia"	"07"	"02"	62	320	387.0	3		36	99	7	210	354
"LA"	2012	"Acadia"	"07"	"03"	52	655	719.0	3		32	217	9	396	657
"LA"	2012	"Acadia"	"07"	"04"	28	515	546.0	3		14	123	16	332	490
"LA"	2012	"Acadia"	"Early Voting"		1191	3411	4663.0		0	547	1303	59	2660	4594
"LA"	2012	"Acadia"	"Provisional Votes"		0	0	0.0		0	0	0	0	0	0
"LA"	2012	"Allen"	"01"	"01"	66	114	185.0	4					122	156
"LA"	2012	"Allen"	"01"	"02"	44	82	128.0	4					77	93
"LA"	2012	"Allen"	"01"	"03"	52	97	155.0	4					98	128
"LA"	2012	"Allen"	"01"	"04"	209	8	220.0	4					61	128
"LA"	2012	"Allen"	"01"	"05"	50	47	100.0	4					63	77
"LA"	2012	"Allen"	"01"	"06"	72	161	242.0	4					142	185
"LA"	2012	"Allen"	"02"	"01"	93	187	287.0	4					137	191
"LA"	2012	"Allen"	"02"	"02"	49	365	420.0	4					292	320
"LA"	2012	"Allen"	"02"	"02A"	67	116	185.0	4					90	127
"LA"	2012	"Allen"	"02"	"03"	19	235	258.0	4					177	196
"LA"	2012	"Allen"	"02"	"04-C"	87	307	405.0	4					228	297
"LA"	2012	"Allen"	"02"	"04-O"	160	260	425.0	4					228	292
"LA"	2012	"Allen"	"02"	"05"	101	0	101.0	4					15	45
"LA"	2012	"Allen"	"02"	"06"	49	203	254.0	4					175	206
"LA"	2012	"Allen"	"03"	"01"	17	224	243.0	4					150	178
"LA"	2012	"Allen"	"03"	"02"	65	450	533.0	4					327	391
"LA"	2012	"Allen"	"04"	"02"	10	278	293.0	4					199	214
"LA"	2012	"Allen"	"04"	"03"	37	247	300.0	4					185	223
"LA"	2012	"Allen"	"05"	"01"	55	86	145.0	4					94	127
"LA"	2012	"Allen"	"05"	"01A"	38	123	167.0	4					111	138
"LA"	2012	"Allen"	"05"	"02"	29	403	440.0	4					284	309
"LA"	2012	"Allen"	"05"	"03"	49	250	306.0	4					230	275
"LA"	2012	"Allen"	"05"	"04-C"	55	264	323.0	4					248	287
"LA"	2012	"Allen"	"05"	"04-O"	44	271	325.0	4					234	268
"LA"	2012	"Allen"	"05"	"05"	14	155	175.0	4					108	124
"LA"	2012	"Allen"	"05"	"07"	281	1	282.0	4					53	156
"LA"	2012	"Allen"	"05"	"08"	152	38	191.0	4					57	117
"LA"	2012	"Allen"	"05"	"08A"	19	25	44.0	4					26	37
"LA"	2012	"Allen"	"05"	"09"	175	177	359.0	4					214	307
"LA"	2012	"Allen"	"05"	"10"	45	398	449.0	4					359	394
"LA"	2012	"Allen"	"05"	"12"	58	20	80.0	4					31	54
"LA"	2012	"Allen"	"05"	"13"	0	0	0.0	4					0	0
"LA"	2012	"Allen"	"Early Voting"		356	903	1287.0		0	0	0	0	937	1171
"LA"	2012	"Allen"	"Provisional Votes"		0	0	0.0		0	0	0	0	0	0
"LA"	2012	"Ascension"	"00"	"01 A"	134	570	721.0	6					594	691
"LA"	2012	"Ascension"	"00"	"01 B"	90	356	457.0	6					361	426
"LA"	2012	"Ascension"	"00"	"02 A"	82	508	602.0	6					510	575
"LA"	2012	"Ascension"	"00"	"02 B"	55	466	527.0	6					455	506
"LA"	2012	"Ascension"	"00"	"03"	158	836	1009.0	6					837	956
"LA"	2012	"Ascension"	"00"	"04"	151	498	656.0	6					496	588
"LA"	2012	"Ascension"	"00"	"05 A"	202	724	945.0	6					754	881
"LA"	2012	"Ascension"	"00"	"05 B"	127	590	726.0	6					599	691
"LA"	2012	"Ascension"	"00"	"06 A"	188	654	863.0	6					669	792
"LA"	2012	"Ascension"	"00"	"06 B"	162	398	569.0	6					422	527
"LA"	2012	"Ascension"	"00"	"06 C"	126	266	393.0	6					289	357
"LA"	2012	"Ascension"	"00"	"07 A"	157	576	748.0	6					588	696
"LA"	2012	"Ascension"	"00"	"07 B"	124	464	597.0	6					476	555
"LA"	2012	"Ascension"	"00"	"08 A"	117	587	715.0	6					594	668
"LA"	2012	"Ascension"	"00"	"08 B"	112	391	509.0	6					405	474
"LA"	2012	"Ascension"	"00"	"09"	278	846	1135.0	6					874	1031
"LA"	2012	"Ascension"	"00"	"10"	108	716	847.0	6					692	790
"LA"	2012	"Ascension"	"00"	"11 A"	170	535	713.0	6					544	646
"LA"	2012	"Ascension"	"00"	"11 B"	149	377	537.0	6					395	480
"LA"	2012	"Ascension"	"00"	"12"	166	873	1059.0	6					872	1003
"LA"	2012	"Ascension"	"00"	"13"	104	692	820.0	6					695	794
"LA"	2012	"Ascension"	"00"	"14"	91	521	628.0	6					505	585
"LA"	2012	"Ascension"	"00"	"15"	147	613	779.0	6					610	728
"LA"	2012	"Ascension"	"00"	"16 A"	162	699	871.0	6					704	817
"LA"	2012	"Ascension"	"00"	"16 B"	139	557	713.0	6					572	661
"LA"	2012	"Ascension"	"00"	"17"	364	579	967.0	6					632	857
"LA"	2012	"Ascension"	"00"	"18"	164	801	989.0	6					791	921
"LA"	2012	"Ascension"	"00"	"20"	106	465	577.0	6					476	543
"LA"	2012	"Ascension"	"00"	"21"	80	302	390.0	6					310	362
"LA"	2012	"Ascension"	"00"	"22"	80	387	472.0	6					392	451
"LA"	2012	"Ascension"	"00"	"23"	63	221	290.0	6					226	263
"LA"	2012	"Ascension"	"00"	"24"	61	213	279.0	6					209	247
"LA"	2012	"Ascension"	"00"	"25"	112	546	669.0	6					560	626
"LA"	2012	"Ascension"	"00"	"26 A"	142	617	772.0	6					613	738
"LA"	2012	"Ascension"	"00"	"26 B"	73	428	511.0	6					402	471
"LA"	2012	"Ascension"	"00"	"27"	119	717	856.0	6					687	800
"LA"	2012	"Ascension"	"00"	"28"	229	186	424.0	6					237	347
"LA"	2012	"Ascension"	"00"	"30"	206	108	317.0	2	103	85	17		70	279
