state	year	town	ward	precinct	cd	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	g2012_USS_dv	g2012_USS_rv	g2012_USS_tv
"MA"	2012	"Abington"		"1"	8	1046	427	1571	844	705	1566	659	901	1561
"MA"	2012	"Abington"		"2"	8	1006	433	1520	742	741	1513	609	898	1509
"MA"	2012	"Abington"		"3"	8	1067	466	1648	815	801	1642	645	993	1639
"MA"	2012	"Abington"		"4"	8	1211	526	1830	899	904	1825	715	1100	1817
"MA"	2012	"Abington"		"5"	8	1145	526	1774	844	910	1769	684	1077	1762
"MA"	2012	"Acton"		"1"	3	1281	503	1845	1228	583	1837	1102	732	1838
"MA"	2012	"Acton"		"2"	3	1302	627	1978	1216	722	1974	1048	920	1969
"MA"	2012	"Acton"		"3"	3	1485	592	2143	1378	699	2135	1255	876	2133
"MA"	2012	"Acton"		"4"	3	1528	560	2149	1462	636	2143	1303	832	2136
"MA"	2012	"Acton"		"5"	3	1513	488	2071	1454	565	2063	1273	781	2058
"MA"	2012	"Acton"		"6"	3	1228	559	1836	1134	670	1831	996	824	1823
"MA"	2012	"Acushnet"		"1"	9	924	361	1669	1034	574	1646	952	686	1638
"MA"	2012	"Acushnet"		"2"	9	902	487	1821	959	803	1802	884	907	1792
"MA"	2012	"Acushnet"		"3"	9	967	506	1908	1053	819	1897	929	954	1883
"MA"	2012	"Adams"		"1"	1	591		708	525	164	707	458	242	700
"MA"	2012	"Adams"		"2"	1	663		801	607	172	796	536	257	793
"MA"	2012	"Adams"		"3"	1	614		768	582	169	766	516	241	759
"MA"	2012	"Adams"		"4"	1	622		740	590	129	737	553	182	735
"MA"	2012	"Adams"		"5"	1	768		914	709	185	913	629	277	906
"MA"	2012	"Agawam"		"1"	1	1200		1546	850	665	1541	725	805	1533
"MA"	2012	"Agawam"		"2"	1	1433		2034	952	1042	2028	804	1215	2020
"MA"	2012	"Agawam"		"3"	1	1336		1746	890	821	1739	759	974	1734
"MA"	2012	"Agawam"		"4"	1	1246		1640	856	751	1635	718	901	1620
"MA"	2012	"Agawam"		"5"	1	1513		2008	1027	941	2003	866	1118	1986
"MA"	2012	"Agawam"		"6"	1	1270		1730	820	868	1717	670	1051	1721
"MA"	2012	"Agawam"		"7"	1	1328		1802	900	869	1791	737	1053	1791
"MA"	2012	"Agawam"		"8"	1	1452		1937	993	913	1933	830	1090	1922
"MA"	2012	"Alford"		"1"	1	243		306	233	64	304	216	87	303
"MA"	2012	"Amesbury"		"1"	6	733	747	1608	863	718	1601	724	875	1599
"MA"	2012	"Amesbury"		"2"	6	730	542	1438	889	519	1433	744	684	1428
"MA"	2012	"Amesbury"		"3"	6	762	650	1554	890	609	1549	755	788	1547
"MA"	2012	"Amesbury"		"4"	6	618	504	1263	734	455	1209	611	641	1253
"MA"	2012	"Amesbury"		"5"	6	588	700	1408	711	677	1406	595	804	1399
"MA"	2012	"Amesbury"		"6"	6	644	483	1252	776	449	1248	647	594	1241
"MA"	2012	"Amherst"		"1"	2	1003		1199	958	149	1197	925	260	1188
"MA"	2012	"Amherst"		"10"	2	1017		1208	934	199	1205	857	333	1192
"MA"	2012	"Amherst"		"2"	2	1527		1817	1512	212	1814	1464	339	1804
"MA"	2012	"Amherst"		"3"	2	1142		1310	1054	177	1309	969	315	1291
"MA"	2012	"Amherst"		"4"	2	1142		1367	1043	275	1364	922	417	1343
"MA"	2012	"Amherst"		"5"	2	1184		1419	1240	131	1415	1194	204	1399
"MA"	2012	"Amherst"		"6"	2	1485		1765	1475	211	1761	1462	292	1755
"MA"	2012	"Amherst"		"7"	2	1339		1600	1376	159	1598	1355	231	1587
"MA"	2012	"Amherst"		"8"	2	1793		2129	1797	231	2122	1811	300	2115
"MA"	2012	"Amherst"		"9"	2	1455		1706	1409	167	1699	1371	311	1689
"MA"	2012	"Andover"		"1"	6	768	760	1678	945	704	1673	848	820	1668
"MA"	2012	"Andover"		"2"	3	1280	837	2212	1087	1090	2208	949	1246	2195
"MA"	2012	"Andover"		"3"	3	1338	746	2171	1172	957	2165	1030	1121	2151
"MA"	2012	"Andover"		"4"	3	1177	813	2064	1020	1010	2059	873	1181	2058
"MA"	2012	"Andover"		"5"	3	1207	853	2138	1045	1048	2125	896	1225	2122
"MA"	2012	"Andover"		"6"	3	1169	901	2141	988	1126	2136	829	1298	2127
