state	year	county	county_code	ed	precinct	cd	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	g2012_USS_dv	g2012_USS_rv	g2012_USS_tv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv
"MD"	2012	"Allegany"	1	1	0	6	66	351	423	63	258	399	114	260	399
"MD"	2012	"Allegany"	1	2	0	6	117	318	439	108	242	419	152	251	427
"MD"	2012	"Allegany"	1	3	0	6	86	314	406	78	242	378	114	248	380
"MD"	2012	"Allegany"	1	4	2	6	171	161	349	154	117	326	193	125	332
"MD"	2012	"Allegany"	1	4	3	6	247	279	560	231	205	531	267	248	545
"MD"	2012	"Allegany"	1	4	4	6	260	428	710	270	305	668	344	328	694
"MD"	2012	"Allegany"	1	4	5	6	166	220	397	148	161	379	179	180	379
"MD"	2012	"Allegany"	1	4	8	6	267	371	668	263	276	633	313	296	640
"MD"	2012	"Allegany"	1	5	4	6	236	303	565	224	208	539	270	252	549
"MD"	2012	"Allegany"	1	5	6	6	101	202	310	99	150	288	126	159	295
"MD"	2012	"Allegany"	1	6	1	6	284	329	633	279	253	618	318	293	625
"MD"	2012	"Allegany"	1	6	3	6	164	157	334	151	117	325	171	135	322
"MD"	2012	"Allegany"	1	6	5	6	248	307	572	223	252	549	266	269	551
"MD"	2012	"Allegany"	1	6	6	6	247	492	757	245	380	734	327	392	742
"MD"	2012	"Allegany"	1	7	1	6	269	599	892	284	443	852	357	480	862
"MD"	2012	"Allegany"	1	7	2	6	245	722	1005	255	573	959	364	573	974
"MD"	2012	"Allegany"	1	8	0	6	294	956	1279	284	692	1207	392	791	1228
"MD"	2012	"Allegany"	1	9	0	6	90	428	527	106	314	496	154	337	511
"MD"	2012	"Allegany"	1	10	0	6	150	621	797	132	508	754	207	523	763
"MD"	2012	"Allegany"	1	11	0	6	247	285	543	217	234	517	264	250	533
"MD"	2012	"Allegany"	1	12	0	6	464	700	1206	412	562	1152	554	584	1176
"MD"	2012	"Allegany"	1	13	0	6	239	613	875	250	457	836	374	450	857
"MD"	2012	"Allegany"	1	14	0	6	144	123	277	127	85	257	146	107	263
"MD"	2012	"Allegany"	1	16	0	6	212	629	866	200	473	825	308	497	837
"MD"	2012	"Allegany"	1	18	0	6	152	679	844	135	515	798	235	553	814
"MD"	2012	"Allegany"	1	20	0	6	151	623	788	167	450	751	269	461	758
"MD"	2012	"Allegany"	1	21	0	6	125	346	488	120	291	470	156	298	475
"MD"	2012	"Allegany"	1	22	0	6	333	500	861	314	360	815	402	387	825
"MD"	2012	"Allegany"	1	23	0	6	364	551	946	332	429	913	417	469	926
"MD"	2012	"Allegany"	1	24	0	6	215	524	757	186	415	716	287	418	730
"MD"	2012	"Allegany"	1	26	0	6	394	556	986	370	466	950	462	460	959
"MD"	2012	"Allegany"	1	29	1	6	291	764	1072	302	565	1020	404	596	1030
"MD"	2012	"Allegany"	1	29	2	6	320	649	991	289	493	935	360	552	941
"MD"	2012	"Allegany"	1	29	3	6	215	463	693	236	333	668	285	372	682
"MD"	2012	"Allegany"	1	31	0	6	135	473	613	151	337	587	210	364	590
"MD"	2012	"Allegany"	1	34	0	6	236	565	816	230	434	777	304	459	792
"MD"	2012	"Anne_Arundel"	2	1	1	3	367	642	1048	318	428	1023	457	480	994
"MD"	2012	"Anne_Arundel"	2	1	2	3	340	598	963	298	372	931	402	458	902
"MD"	2012	"Anne_Arundel"	2	1	3	3	489	639	1159	421	401	1132	570	469	1091
