state	year	county	county_code	town	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	cd	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	g2012_USS_dv	g2012_USS_rv	g2012_USS_tv	ld	g2012_STH_tv	g2012_STH_dv	g2012_STH_rv	ld2	g2012_STH_tv2	g2012_STH_dv2	g2012_STH_rv2	ld3	g2012_STH_tv3	g2012_STH_dv3	g2012_STH_rv3	ld4	g2012_STH_tv4	g2012_STH_dv4	g2012_STH_rv4	ld5	g2012_STH_tv5	g2012_STH_dv5	g2012_STH_rv5	ld6	g2012_STH_tv6	g2012_STH_dv6	g2012_STH_rv6	ld7	g2012_STH_tv7	g2012_STH_dv7	g2012_STH_rv7	ld8	g2012_STH_tv8	g2012_STH_dv8	g2012_STH_rv8
"ME"	2012	"Androscoggin"	"AND"	"AUBURN"	7004	4049	11053	2	6503	4462	11332.0	1407	3177	11207.0	68	4681	2013	2668	70	3356	1671	1685	69	2869	1805	1064																				
"ME"	2012	"Androscoggin"	"AND"	"DURHAM"	1265	1000	2265	2	1137	1080	2308.0	149	766	2283.0	105	2217	862	1355																												
"ME"	2012	"Androscoggin"	"AND"	"GREENE"	1284	1017	2301	2	1113	1143	2324.0	252	768	2319.0	75	2240	827	1413																												
"ME"	2012	"Androscoggin"	"AND"	"LEEDS"	643	486	1129	2	609	522	1170.0	135	380	1153.0	81	1146	494	652																												
"ME"	2012	"Androscoggin"	"AND"	"LEWISTON"	10562	4877	15439	2	9624	5796	15880.0	2676	4017	15499.0	71	4449	790	0	74	4023	2582	1441	73	3447	2225	1222	72	2442	1524	918	70	1158	586	572												
"ME"	2012	"Androscoggin"	"AND"	"LISBON"	2674	1965	4639	2	2381	2228	4783.0	494	1545	4719.0	104	4644	893	3751	105	168	90	78																								
"ME"	2012	"Androscoggin"	"AND"	"LIVERMORE"	728	468	1196	2	661	518	1213.0	163	368	1198.0	81	1203	571	632																												
"ME"	2012	"Androscoggin"	"AND"	"LIVERMORE FALLS"	894	431	1325	2	845	467	1357.0	240	329	1332.0	81	1344	606	738																												
"ME"	2012	"Androscoggin"	"AND"	"MECHANIC FALLS"	833	610	1443	2	753	678	1482.0	180	484	1463.0	100	1408	691	717																												
"ME"	2012	"Androscoggin"	"AND"	"MINOT"	787	684	1471	2	704	771	1514.0	123	528	1502.0	96	1483	745	738																												
"ME"	2012	"Androscoggin"	"AND"	"POLAND"	1706	1248	2954	2	1585	1369	3041.0	326	1002	3009.0	103	1919	917	1002	101	924	468	456																								
"ME"	2012	"Androscoggin"	"AND"	"SABATTUS"	1421	1013	2434	2	1294	1160	2521.0	326	800	2490.0	75	2423	1005	1418																												
"ME"	2012	"Androscoggin"	"AND"	"TURNER"	1589	1405	2994	2	1429	1585	3100.0	287	1179	3047.0	96	3075	1453	1622																												
"ME"	2012	"Androscoggin"	"AND"	"WALES"	416	389	805	2	351	453	837.0	66	298	810.0	80	798	354	444																												
"ME"	2012	"Aroostook"	"ARO"	"ALLAGASH"	86	39	125	2	79	59	140.0	27	43	124.0	1	132	65	67																												
"ME"	2012	"Aroostook"	"ARO"	"AMITY"	49	46	95	2	35	56	97.0	10	53	96.0	8	94	31	63																												
"ME"	2012	"Aroostook"	"ARO"	"ASHLAND"	363	175	538	2	327	232	565.0	80	173	538.0	1	544	312	232																												
"ME"	2012	"Aroostook"	"ARO"	"BANCROFT"	11	19	30	2	11	20	31.0	2	14	30.0	9	30	13	17																												
"ME"	2012	"Aroostook"	"ARO"	"BLAINE"	142	205	347	2	99	258	365.0	35	183	340.0	6	349	122	227																												
"ME"	2012	"Aroostook"	"ARO"	"BRIDGEWATER"	146	132	278	2	111	175	290.0	32	116	280.0	6	278	111	167																												
