state	year	county	electiondistrictbeat	precinct	precinct_code	cd	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	cd2	g2012_USH_dv2	g2012_USH_rv2	g2012_USH_tv2	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	g2012_USS_dv	g2012_USS_rv	g2012_USS_tv
"MS"	2012	"Adams"	5	"Airport"		3		266	427					521	195	717	495	191	686
"MS"	2012	"Adams"	1	"By-Pass Fire"		3		293	450					658	249	910	603	234	837
"MS"	2012	"Adams"	1	"Bellemont"		3		1303	1497					507	1201	1728	459	1169	1628
"MS"	2012	"Adams"	2	"Beau Pre"		3		490	599					318	428	750	310	408	718
"MS"	2012	"Adams"	3	"Concord"		3		122	318					640	23	666	548	30	578
"MS"	2012	"Adams"	1	"Courthouse"		3		519	596					182	490	678	165	473	638
"MS"	2012	"Adams"	4	"Carpenter"		3		183	319					354	128	486	324	129	453
"MS"	2012	"Adams"	2	"Duncan Park"		3		601	753					366	544	920	333	513	846
"MS"	2012	"Adams"	5	"Foster Mound"		3		185	522					975	58	1035	882	67	949
"MS"	2012	"Adams"	2	"Kingston"		3		521	571					122	520	645	141	471	612
"MS"	2012	"Adams"	2	"Liberty Park"		3		662	711					133	661	799	137	618	755
"MS"	2012	"Adams"	4	"Morgantown"		3		193	326					341	133	476	318	133	451
"MS"	2012	"Adams"	3	"Maryland Heights"		3		122	334					644	26	672	530	34	564
"MS"	2012	"Adams"	3	"Nps Multi Purpose Buliding"		3		204	308					285	173	464	252	161	413
"MS"	2012	"Adams"	4	"Northside"		3		127	362					789	2	794	690	22	712
"MS"	2012	"Adams"	5	"Oakland"		3		646	843					493	605	1107	457	570	1027
"MS"	2012	"Adams"	3	"Palestine"		3		424	620					550	363	918	497	342	839
"MS"	2012	"Adams"	4	"Pine Ridge"		3		141	264					425	86	513	385	92	477
"MS"	2012	"Adams"	4	"Thompson"		3		120	273					574	37	611	498	47	545
"MS"	2012	"Adams"	5	"Washington"		3		381	453					184	371	558	183	348	531
"MS"	2012	"Alcorn"		"Bethel"		1	21	52	73					3	73	77	14	62	76
"MS"	2012	"Alcorn"		"Biggersville"		1	179	422	601					159	483	654	170	452	622
"MS"	2012	"Alcorn"	2	"Central"		1	247	983	1230					200	1139	1361	241	1040	1281
"MS"	2012	"Alcorn"		"College Hill"		1	476	971	1447					458	1109	1587	489	1037	1526
"MS"	2012	"Alcorn"		"East Third Street"		1	127	280	407					113	318	435	115	303	418
"MS"	2012	"Alcorn"		"East Corinth"		1	348	840	1188					366	888	1266	340	877	1217
"MS"	2012	"Alcorn"	1	"Five Points"		1	279	1015	1294					241	1175	1429	255	1100	1355
"MS"	2012	"Alcorn"		"Glen"		1	232	606	838					163	739	927	184	685	869
"MS"	2012	"Alcorn"		"Jacinto"		1	64	209	273					45	251	299	60	220	280
"MS"	2012	"Alcorn"		"Kossuth"		1	214	1063	1277					141	1215	1372	184	1146	1330
"MS"	2012	"Alcorn"		"North Corinth"		1	192	788	980					187	856	1060	205	815	1020
"MS"	2012	"Alcorn"		"Rienzi"		1	230	555	785					206	638	858	206	638	844
"MS"	2012	"Alcorn"		"South Corinth"		1	715	382	1097					795	414	1224	795	414	1209
"MS"	2012	"Alcorn"		"Union Center"		1	196	648	844					134	774	919	134	774	908
"MS"	2012	"Alcorn"		"West Corinth"		1	129	382	511					115	434	559	115	434	549
"MS"	2012	"Alcorn"		"Wenasoga"		1	207	517	724					185	605	803	185	605	790
"MS"	2012	"Amite"		"East Gloster"		3		224	270					88	209	302	86	199	285
"MS"	2012	"Amite"		"Liberty"		3		415	472					135	400	539	137	388	525
"MS"	2012	"Amite"		"New Zion"		3		295	360					100	287	395	102	279	381
"MS"	2012	"Amite"		"Zion Hill"		3		282	295					31	275	308	35	257	292
"MS"	2012	"Amite"		"Amite River"		3		128	259					266	67	334	231	78	309
"MS"	2012	"Amite"		"Ariel"		3		88	139					129	60	189	117	60	177
"MS"	2012	"Amite"		"Berwick"		3		103	268					280	50	332	268	48	316
"MS"	2012	"Amite"		"East Centervill"		3		248	323					153	222	375	142	207	349
"MS"	2012	"Amite"		"Street"		3		181	220					87	176	264	84	166	250
"MS"	2012	"Amite"		"Crosby"		3		110	168					130	88	221	123	92	215
"MS"	2012	"Amite"		"Gloster"		3		338	615					720	195	921	637	198	835
"MS"	2012	"Amite"		"Homochitto"		3		73	78					7	72	80	10	68	78
"MS"	2012	"Amite"		"Oneil"		3		204	212					9	211	221	17	197	214
"MS"	2012	"Amite"		"East Fork"		3		402	476					144	376	524	133	367	500
"MS"	2012	"Amite"		"East Liberty"		3		200	243					105	175	283	97	172	269
"MS"	2012	"Amite"		"Smithdale"		3		301	368					158	282	441	129	279	408
"MS"	2012	"Amite"		"Tangipahoa"		3		394	431					68	378	447	55	375	430
"MS"	2012	"Amite"		"Riceville"		3		206	285					173	171	347	143	187	330
"MS"	2012	"Amite"		"South Liberty"		3		316	389					140	296	440	130	283	413
"MS"	2012	"Amite"		"Tickfaw"		3		89	120					96	76	172	86	75	161
"MS"	2012	"Amite"		"Walls"		3		371	449					223	348	571	197	340	537
"MS"	2012	"Attala"		"South Central"		2	399	396	795					382	452	840	356	445	801
"MS"	2012	"Attala"		"Williamsville"		2	399	622	1021					375	720	1099	331	693	1024
"MS"	2012	"Attala"		"North East"		2	877	256	1133					898	272	1174	776	293	1069
"MS"	2012	"Attala"		"Mccool"		2	137	138	275					130	171	303	122	160	282
"MS"	2012	"Attala"		"Liberty Chapel"		2	88	164	252					68	196	264	68	181	249
"MS"	2012	"Attala"		"Berea"		2	22	87	109					8	105	116	14	101	115
"MS"	2012	"Attala"		"North West"		2	331	267	598					329	315	647	265	330	595
"MS"	2012	"Attala"		"North Central"		2	44	221	265					29	247	278	32	241	273
"MS"	2012	"Attala"		"Aponaug"		2	95	121	216					81	150	231	71	145	216
"MS"	2012	"Attala"		"Carmack"		2	37	153	190					13	192	208	19	179	198
"MS"	2012	"Attala"		"Possumneck"		2	100	111	211					93	137	230	87	133	220
"MS"	2012	"Attala"		"Hesterville"		2	37	151	188					30	174	204	33	165	198
"MS"	2012	"Attala"		"South West"		2	186	51	237					193	62	256	162	71	233
"MS"	2012	"Attala"		"Newport"		2	143	121	264					138	137	275	118	134	252
"MS"	2012	"Attala"		"Sallis"		2	642	208	850					641	236	877	574	248	822
"MS"	2012	"Attala"		"Mcadams"		2	153	121	274					142	140	288	121	150	271
"MS"	2012	"Attala"		"East"		2	158	574	732					146	636	784	124	632	756
"MS"	2012	"Attala"		"Providence"		2	50	204	254					26	253	279	31	238	269
"MS"	2012	"Attala"		"Zama"		2	142	86	228					78	161	242	67	160	227
"MS"	2012	"Attala"		"Thompson"		2	23	94	117					9	123	132	14	113	127
"MS"	2012	"Attala"		"Ethel"		2	162	162	324					118	237	355	107	225	332
"MS"	2012	"Benton"		"Ashland"	"3"	1	330	405	735					384	441	829	342	427	769
"MS"	2012	"Benton"		"Canaan"	"1"	1	479	281	760					581	280	863	503	283	786
"MS"	2012	"Benton"		"Floyd"	"4"	1	218	467	685					227	525	759	231	488	719
"MS"	2012	"Benton"		"Hickorty Flat"	"5"	1	190	558	748					179	613	802	149	631	780
"MS"	2012	"Benton"		"Lamar"	"2"	1	613	180	793					680	182	863	641	181	822
"MS"	2012	"Bolivar"		"Beulah"		2	190	13	203					192	14	208	140	22	162
