state	year	county	precinct	cd	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	g2012_USS_rv	g2012_USS_dv	g2012_USS_tv	g2012_USP_tv	g2012_USP_dv	g2012_USP_rv
"NE"	2012	"Adams"	"1-A"	3	215	304	519	311	218	529	530	209	303
"NE"	2012	"Adams"	"1-B"	3	150	232	382	217	166	383	384	163	213
"NE"	2012	"Adams"	"1-C"	3	107	192	299	190	114	304	298	111	181
"NE"	2012	"Adams"	"2-A"	3	41	162	203	152	53	205	206	41	162
"NE"	2012	"Adams"	"2-B"	3	161	318	479	324	169	493	491	142	342
"NE"	2012	"Adams"	"2-C"	3	163	262	425	261	166	427	427	145	269
"NE"	2012	"Adams"	"2-D"	3	201	482	683	489	204	693	692	198	483
"NE"	2012	"Adams"	"2-E"	3	127	331	458	306	159	465	468	142	325
"NE"	2012	"Adams"	"3-A"	3	168	283	451	270	189	459	453	176	268
"NE"	2012	"Adams"	"3-B"	3	174	235	409	234	183	417	415	162	244
"NE"	2012	"Adams"	"3-C"	3	203	283	486	274	211	485	484	192	279
"NE"	2012	"Adams"	"3-D"	3	36	52	88	50	39	89	88	36	51
"NE"	2012	"Adams"	"3-E"	3	161	500	661	492	186	678	676	150	520
"NE"	2012	"Adams"	"4-A"	3	154	197	351	196	163	359	357	148	206
"NE"	2012	"Adams"	"4-B"	3	156	256	412	243	178	421	415	164	241
"NE"	2012	"Adams"	"4-C"	3	98	155	253	138	120	258	260	110	142
"NE"	2012	"Adams"	"4-D"	3	217	405	622	394	240	634	626	212	400
"NE"	2012	"Adams"	"4-E"	3	24	98	122	95	30	125	124	29	94
"NE"	2012	"Adams"	"Ayr"	3	50	194	244	203	48	251	253	55	196
"NE"	2012	"Adams"	"Blaine"	3	18	57	75	62	11	73	75	7	64
"NE"	2012	"Adams"	"Denver"	3	106	345	451	363	98	461	459	82	368
"NE"	2012	"Adams"	"EV/AB"	3	991	1679	2670	1535	1187	2722	2709	1070	1602
"NE"	2012	"Adams"	"Holstein"	3	24	112	136	116	22	138	140	25	112
"NE"	2012	"Adams"	"Juniata"	3	95	282	377	292	90	382	387	99	283
"NE"	2012	"Adams"	"Kenesaw"	3	85	380	465	372	93	465	468	81	381
"NE"	2012	"Adams"	"New/Former Resident"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Adams"	"Pauline"	3	31	102	133	107	25	132	131	20	103
"NE"	2012	"Adams"	"Provisional"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Adams"	"Roseland"	3	42	184	226	185	40	225	228	28	194
"NE"	2012	"Adams"	"Verona"	3	23	82	105	97	12	109	106	14	90
"NE"	2012	"Adams"	"WestBlue/Highland"	3	69	176	245	202	54	256	254	51	200
"NE"	2012	"Antelope"	"Brunswick Precinct"	3	29	221	250	220	36	256	260	28	227
"NE"	2012	"Antelope"	"Clearwater Precinct"	3	29	278	307	283	47	330	331	43	285
"NE"	2012	"Antelope"	"EV/AB"	3	118	412	530	415	141	556	554	137	406
"NE"	2012	"Antelope"	"Elgin 1st Ward"	3	15	119	134	117	22	139	139	21	117
"NE"	2012	"Antelope"	"Elgin 2nd Ward"	3	21	122	143	133	23	156	151	22	129
"NE"	2012	"Antelope"	"Elgin Precinct"	3	20	157	177	157	24	181	184	24	158
"NE"	2012	"Antelope"	"Neligh 1st Ward"	3	52	283	335	263	84	347	352	80	266
"NE"	2012	"Antelope"	"Neligh 2nd Ward"	3	42	185	227	183	52	235	235	53	174
"NE"	2012	"Antelope"	"Neligh Precinct"	3	32	187	219	184	42	226	222	30	190
"NE"	2012	"Antelope"	"New/Former Resident"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Antelope"	"Oakdale Precinct"	3	36	157	193	169	35	204	198	34	158
"NE"	2012	"Antelope"	"Orchard Precinct"	3	33	215	248	223	29	252	254	38	210
"NE"	2012	"Antelope"	"Provisional"	3	2	10	12	14	2	16	16	0	15
"NE"	2012	"Antelope"	"Royal Precinct"	3	20	85	105	91	19	110	108	16	92
"NE"	2012	"Antelope"	"Tilden 1st Ward"	3	23	72	95	75	28	103	103	23	79
"NE"	2012	"Antelope"	"Tilden Precinct"	3	20	89	109	98	19	117	114	22	90
"NE"	2012	"Arthur"	"Arthur"	3	20	196	216	197	28	225	222	26	194
"NE"	2012	"Arthur"	"EV/AB"	3	4	34	38	32	7	39	39	4	33
"NE"	2012	"Arthur"	"New/Former Resident"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Arthur"	"Provisional"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Banner"	"EV/AB"	3	14	98	112	98	17	115	114	17	95
"NE"	2012	"Banner"	"Long Springs"	3	41	243	284	245	45	290	288	38	244
"NE"	2012	"Banner"	"New/Former Resident"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Banner"	"Provisional"	3	0	7	7	6	0	6	7	0	7
"NE"	2012	"Blaine"	"Blaine"	3	11	156	167	149	16	165	167	14	151
"NE"	2012	"Blaine"	"EV/AB"	3	16	116	132	116	16	132	134	15	117
"NE"	2012	"Blaine"	"New/Former Resident"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Blaine"	"Provisional"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Boone"	"Beaver"	3	69	252	321	259	70	329	331	56	268
"NE"	2012	"Boone"	"Boone"	3	25	117	142	123	20	143	147	26	121
"NE"	2012	"Boone"	"Cedar"	3	94	176	270	173	94	267	271	79	185
"NE"	2012	"Boone"	"Dublin-Bonanza"	3	30	109	139	92	46	138	134	46	84
"NE"	2012	"Boone"	"EV/AB"	3	114	309	423	324	122	446	447	109	329
"NE"	2012	"Boone"	"New/Former Resident"	3	0	0	0	0	0	0	1	1	0
"NE"	2012	"Boone"	"North Branch-Shell Creek"	3	19	83	102	83	22	105	105	19	82
"NE"	2012	"Boone"	"North Manchester"	3	65	255	320	266	65	331	330	73	249
"NE"	2012	"Boone"	"Oakland"	3	58	192	250	211	60	271	267	53	210
"NE"	2012	"Boone"	"Provisional"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Boone"	"Southeast Manchester"	3	71	338	409	337	90	427	426	88	336
"NE"	2012	"Boone"	"Southwest Manchester"	3	68	266	334	271	75	346	342	65	274
"NE"	2012	"Box Butte"	"EV/AB"	3	520	841	1361	736	645	1381	1374	608	742
"NE"	2012	"Box Butte"	"New/Former Resident"	3	0	0	0	0	0	0	3	0	3
"NE"	2012	"Box Butte"	"Precinct 1"	3	96	230	326	198	136	334	328	128	192
"NE"	2012	"Box Butte"	"Precinct 11.1"	3	34	184	218	155	60	215	216	45	160
"NE"	2012	"Box Butte"	"Precinct 12.2"	3	19	180	199	170	32	202	203	31	170
"NE"	2012	"Box Butte"	"Precinct 15.1"	3	106	415	521	387	139	526	521	127	376
"NE"	2012	"Box Butte"	"Precinct 2"	3	96	277	373	223	148	371	371	140	217
"NE"	2012	"Box Butte"	"Precinct 3"	3	125	211	336	161	177	338	334	147	177
"NE"	2012	"Box Butte"	"Precinct 4"	3	112	290	402	233	174	407	410	152	248
"NE"	2012	"Box Butte"	"Precinct 5"	3	113	374	487	318	173	491	490	157	319
"NE"	2012	"Box Butte"	"Precinct 6"	3	118	311	429	257	176	433	431	157	265
"NE"	2012	"Box Butte"	"Provisional"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Boyd"	"Butte Sch 50 Naper Vil"	3	52	324	376	314	83	397	403	68	331
"NE"	2012	"Boyd"	"EV/AB"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Boyd"	"Lynch Sch 50 Sup 2"	3	46	198	244	198	54	252	254	55	197
"NE"	2012	"Boyd"	"New/Former Resident"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Boyd"	"Provisional"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Boyd"	"Spencer Sch 50 Sup 6"	3	52	341	393	339	71	410	414	65	345
"NE"	2012	"Brown"	"Ainsworth Precinct"	3	32	333	365	347	32	379	383	36	343
"NE"	2012	"Brown"	"City of Ainsworth"	3	74	516	590	519	85	604	604	92	504
"NE"	2012	"Brown"	"EV/AB"	3	59	272	331	284	65	349	349	71	270
"NE"	2012	"Brown"	"New/Former Resident"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Brown"	"Provisional"	3	2	3	5	3	2	5	5	1	4
"NE"	2012	"Brown"	"The Pines Precinct"	3	20	183	203	189	20	209	209	24	181
"NE"	2012	"Buffalo"	"1.01"	3	151	407	558	349	212	561	571	208	347
"NE"	2012	"Buffalo"	"10.01"	3	201	934	1135	852	305	1157	1170	278	880
"NE"	2012	"Buffalo"	"11.01"	3	212	736	948	684	293	977	975	283	680
"NE"	2012	"Buffalo"	"12.01"	3	117	395	512	350	166	516	519	146	356
"NE"	2012	"Buffalo"	"13.01"	3	154	355	509	331	189	520	514	165	339
"NE"	2012	"Buffalo"	"14.01"	3	339	1158	1497	1031	492	1523	1519	445	1061
"NE"	2012	"Buffalo"	"15.01"	3	135	417	552	392	165	557	570	167	392
"NE"	2012	"Buffalo"	"16.01"	3	108	282	390	255	147	402	404	139	253
"NE"	2012	"Buffalo"	"17.01"	3	107	406	513	391	139	530	535	125	405
"NE"	2012	"Buffalo"	"18.01"	3	57	356	413	339	80	419	421	64	347
"NE"	2012	"Buffalo"	"19.01"	3	167	629	796	577	231	808	809	202	591
"NE"	2012	"Buffalo"	"2.01"	3	119	311	430	275	151	426	429	138	278
"NE"	2012	"Buffalo"	"20.01"	3	116	409	525	383	147	530	537	150	375
"NE"	2012	"Buffalo"	"21.01"	3	55	233	288	223	68	291	290	62	224
"NE"	2012	"Buffalo"	"22.01"	3	64	255	319	237	95	332	327	74	241
"NE"	2012	"Buffalo"	"23.01"	3	44	210	254	194	59	253	257	49	199
"NE"	2012	"Buffalo"	"24.01"	3	27	196	223	187	39	226	222	32	182
"NE"	2012	"Buffalo"	"25.01"	3	100	480	580	466	119	585	586	123	449
"NE"	2012	"Buffalo"	"26.01"	3	80	214	294	227	65	292	294	84	207
"NE"	2012	"Buffalo"	"27.01"	3	55	262	317	260	63	323	323	56	261
"NE"	2012	"Buffalo"	"28.01"	3	39	267	306	259	52	311	312	51	258
"NE"	2012	"Buffalo"	"3.01"	3	308	910	1218	846	392	1238	1245	357	865
"NE"	2012	"Buffalo"	"30.01"	3	77	349	426	336	95	431	432	83	343
"NE"	2012	"Buffalo"	"31.01"	3	163	374	537	345	194	539	548	186	346
"NE"	2012	"Buffalo"	"33.01"	3	206	1010	1216	959	266	1225	1224	241	961
"NE"	2012	"Buffalo"	"34.01"	3	172	422	594	405	193	598	597	183	399
"NE"	2012	"Buffalo"	"35.01"	3	176	503	679	474	212	686	690	205	472
"NE"	2012	"Buffalo"	"4.01"	3	124	293	417	259	167	426	431	160	257
"NE"	2012	"Buffalo"	"5.01"	3	103	207	310	177	136	313	318	123	185
"NE"	2012	"Buffalo"	"6.01"	3	111	232	343	198	148	346	349	131	198
"NE"	2012	"Buffalo"	"7.01"	3	211	578	789	520	284	804	804	273	508
"NE"	2012	"Buffalo"	"8.01"	3	146	425	571	391	188	579	577	169	395
"NE"	2012	"Buffalo"	"9.01"	3	177	367	544	319	227	546	553	212	314
"NE"	2012	"Buffalo"	"EV/AB"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Buffalo"	"New/Former Resident"	3	0	0	0	0	0	0	3	1	2
"NE"	2012	"Buffalo"	"Provisional"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Burt"	"ARIZONA-RIVERSIDE"	1	46	92	138	82	65	147	147	62	83
"NE"	2012	"Burt"	"BELL-OAK-PERSH"	1	39	183	222	164	66	230	232	51	179
"NE"	2012	"Burt"	"CRAIG"	1	40	140	180	123	62	185	188	59	120
"NE"	2012	"Burt"	"DECATUR-QUINN"	1	134	165	299	134	180	314	323	175	142
"NE"	2012	"Burt"	"EV/AB"	1	195	327	522	293	251	544	557	239	312
"NE"	2012	"Burt"	"EVERETT-LOGAN"	1	40	115	155	110	51	161	164	54	109
"NE"	2012	"Burt"	"LYONS CITY"	1	96	256	352	233	121	354	362	126	230
"NE"	2012	"Burt"	"New/Former Resident"	1	0	0	0	0	0	0	0	0	0
"NE"	2012	"Burt"	"OAKLAND I"	1	55	190	245	181	76	257	259	78	180
"NE"	2012	"Burt"	"OAKLAND II"	1	58	196	254	162	100	262	263	83	175
"NE"	2012	"Burt"	"Provisional"	1	7	10	17	7	11	18	18	9	9
"NE"	2012	"Burt"	"SILVERCREEK-SUMMIT"	1	48	148	196	133	67	200	203	65	137
"NE"	2012	"Burt"	"TEKAMAH I"	1	100	231	331	188	156	344	343	156	183
"NE"	2012	"Burt"	"TEKAMAH II"	1	84	211	295	167	137	304	308	134	170
"NE"	2012	"Butler"	"Alexis"	1	35	177	212	161	56	217	218	47	169
"NE"	2012	"Butler"	"Bone Creek"	1	19	108	127	99	34	133	131	30	100
"NE"	2012	"Butler"	"Center"	1	24	64	88	61	27	88	88	25	63
"NE"	2012	"Butler"	"EV/AB"	1	138	437	575	363	237	600	603	215	377
"NE"	2012	"Butler"	"First Ward"	1	45	223	268	185	90	275	278	87	184
"NE"	2012	"Butler"	"Franklin"	1	10	70	80	71	19	90	91	20	70
"NE"	2012	"Butler"	"Linwood"	1	19	73	92	65	32	97	96	26	66
"NE"	2012	"Butler"	"New/Former Resident"	1	0	0	0	0	0	0	0	0	0
"NE"	2012	"Butler"	"Oak Creek"	1	45	206	251	168	94	262	261	78	178
"NE"	2012	"Butler"	"Olive"	1	8	95	103	94	13	107	107	12	95
"NE"	2012	"Butler"	"Platte"	1	9	54	63	45	19	64	60	16	42
"NE"	2012	"Butler"	"Plum Creek"	1	10	56	66	50	21	71	67	15	51
"NE"	2012	"Butler"	"Provisional"	1	0	0	0	0	0	0	0	0	0
"NE"	2012	"Butler"	"Read"	1	7	78	85	74	13	87	89	9	78
"NE"	2012	"Butler"	"Reading"	1	40	177	217	161	56	217	222	49	167
"NE"	2012	"Butler"	"Richardson"	1	52	148	200	127	76	203	200	72	126
"NE"	2012	"Butler"	"Savannah"	1	26	195	221	178	53	231	229	45	180
"NE"	2012	"Butler"	"Second Ward"	1	61	256	317	214	111	325	334	86	243
"NE"	2012	"Butler"	"Skull Creek"	1	36	85	121	73	52	125	123	49	73
"NE"	2012	"Butler"	"Summit"	1	5	52	57	51	13	64	63	13	50
"NE"	2012	"Butler"	"Third Ward"	1	50	292	342	259	93	352	349	76	270
"NE"	2012	"Butler"	"Ulysses"	1	33	96	129	71	57	128	134	49	80
"NE"	2012	"Butler"	"Union"	1	12	84	96	72	29	101	102	26	76
"NE"	2012	"Cass"	"1st Ward - 1st Precinct"	1	112	230	342	194	161	355	355	144	202
"NE"	2012	"Cass"	"1st Ward - 2nd Precinct"	1	96	225	321	184	149	333	333	133	187
"NE"	2012	"Cass"	"2nd Ward - 1st Precinct"	1	106	245	351	213	153	366	366	134	221
"NE"	2012	"Cass"	"2nd Ward - 2nd Precinct"	1	84	202	286	169	127	296	293	121	168
"NE"	2012	"Cass"	"3rd Ward - 1st Precinct"	1	90	231	321	184	145	329	326	120	195
"NE"	2012	"Cass"	"3rd Ward - 2nd Precinct"	1	83	168	251	134	134	268	271	123	144
"NE"	2012	"Cass"	"4th Ward - 1st Precinct"	1	79	165	244	135	120	255	254	116	133
"NE"	2012	"Cass"	"4th Ward - 2nd Precinct"	1	121	206	327	158	178	336	342	153	185
"NE"	2012	"Cass"	"Avoca"	1	76	195	271	170	115	285	285	112	170
"NE"	2012	"Cass"	"Center"	1	93	165	258	171	107	278	281	106	170
"NE"	2012	"Cass"	"EV/AB"	1	0	0	0	0	0	0	0	0	0
"NE"	2012	"Cass"	"East Louisville"	1	97	272	369	228	165	393	399	144	244
"NE"	2012	"Cass"	"Eight Mile Grove"	1	141	350	491	294	218	512	519	196	320
"NE"	2012	"Cass"	"Liberty"	1	87	230	317	206	121	327	321	106	212
"NE"	2012	"Cass"	"McKelverly"	1	72	149	221	132	98	230	230	96	130
"NE"	2012	"Cass"	"Mount Pleasant"	1	26	97	123	78	52	130	128	41	82
"NE"	2012	"Cass"	"Murdock"	1	79	224	303	191	130	321	319	116	199
"NE"	2012	"Cass"	"Nehawka"	1	48	115	163	103	71	174	173	57	111
"NE"	2012	"Cass"	"New/Former Resident"	1	0	0	0	0	0	0	0	0	0
"NE"	2012	"Cass"	"North Plattsmouth"	1	254	778	1032	675	390	1065	1068	347	710
"NE"	2012	"Cass"	"North Rock Bluff"	1	127	390	517	342	185	527	527	157	366
"NE"	2012	"Cass"	"Provisional"	1	0	0	0	0	0	0	0	0	0
"NE"	2012	"Cass"	"Salt Creek"	1	141	270	411	224	191	415	425	162	252
"NE"	2012	"Cass"	"South Bend"	1	114	348	462	306	172	478	485	152	322
"NE"	2012	"Cass"	"South Plattsmouth"	1	150	525	675	455	241	696	698	189	498
"NE"	2012	"Cass"	"South Rock Bluff"	1	216	609	825	540	317	857	861	260	589
"NE"	2012	"Cass"	"Stove Creek"	1	124	322	446	263	199	462	466	183	280
"NE"	2012	"Cass"	"Tipton"	1	249	680	929	574	388	962	969	336	614
"NE"	2012	"Cass"	"Weeping Water 1st Ward"	1	90	179	269	143	146	289	296	135	155
"NE"	2012	"Cass"	"Weeping Water 2nd Ward"	1	99	167	266	138	143	281	282	131	148
"NE"	2012	"Cass"	"West Louisville"	1	110	352	462	316	162	478	483	157	320
