state	year	county	precinct	cd	g2012_GOV_rv	g2012_GOV_dv	g2012_GOV_tv	g2012_USP_rv	g2012_USP_dv	g2012_USP_tv	g2012_USH_rv	g2012_USH_dv	g2012_USH_tv
"NH"	2012	"Belknap"	"Alton"	1	1966	1320	3342	2147	1207	3382	1995	1208	3296
"NH"	2012	"Belknap"	"Barnstead*"	1	1120	1198	2391	1254	1125	2419	1153	1054	2342
"NH"	2012	"Belknap"	"Belmont"	1	1606	1888	3601	1816	1782	3655	1740	1622	3524
"NH"	2012	"Belknap"	"Center Harbor"	2	342	350	705	406	308	718	389	287	692
"NH"	2012	"Belknap"	"Gilford"	1	2162	2257	4522	2448	2133	4636	2227	2033	4436
"NH"	2012	"Belknap"	"Gilmanton"	1	1037	1076	2166	1151	1013	2194	1091	970	2145
"NH"	2012	"Belknap"	"Laconia Ward 1"	1	738	645	1409	811	605	1423	746	599	1387
"NH"	2012	"Belknap"	"Laconia Ward 2"	1	463	605	1106	494	615	1124	482	553	1083
"NH"	2012	"Belknap"	"Laconia Ward 3"	1	590	738	1357	669	706	1387	626	655	1336
"NH"	2012	"Belknap"	"Laconia Ward 4"	1	496	637	1148	525	647	1179	498	582	1156
"NH"	2012	"Belknap"	"Laconia Ward 5"	1	414	587	1043	447	602	1072	420	539	1016
"NH"	2012	"Belknap"	"Laconia Ward 6"	1	782	831	1653	913	763	1699	868	702	1635
"NH"	2012	"Belknap"	"Meredith"	1	1860	1973	3939	2088	1853	3976	1922	1799	3856
"NH"	2012	"Belknap"	"New Hampton"	1	563	691	1283	636	646	1304	603	611	1263
"NH"	2012	"Belknap"	"Sanbornton"	1	828	923	1791	913	888	1830	860	837	1754
"NH"	2012	"Belknap"	"Tilton"	1	735	1037	1848	853	997	1889	764	910	1804
"NH"	2012	"Carroll"	"Albany"	1	145	235	399	157	235	405	148	231	398
"NH"	2012	"Carroll"	"Bartlett"	1	721	1034	1795	774	1039	1829	715	1018	1786
"NH"	2012	"Carroll"	"Brookfield"	1	232	184	431	251	171	441	234	176	434
"NH"	2012	"Carroll"	"Chatham"	1	102	97	207	110	105	219	91	108	211
"NH"	2012	"Carroll"	"Conway"	1	1893	2914	4926	2046	2954	5079	1893	2855	4909
"NH"	2012	"Carroll"	"Eaton"	1	122	159	287	119	163	290	111	163	283
"NH"	2012	"Carroll"	"Effingham"	1	340	396	779	393	380	797	343	377	769
"NH"	2012	"Carroll"	"Freedom"	1	429	466	907	478	438	927	455	417	896
"NH"	2012	"Carroll"	"Hale's Location"	1	95	25	121	98	28	126	93	28	124
"NH"	2012	"Carroll"	"Hart's Location"	1	9	22	33	9	23	33	9	23	33
"NH"	2012	"Carroll"	"Jackson"	1	252	414	674	259	423	691	240	409	668
"NH"	2012	"Carroll"	"Madison"	1	547	804	1390	596	793	1412	563	774	1386
"NH"	2012	"Carroll"	"Moultonborough"	1	1676	1272	3001	1822	1204	3049	1716	1135	2951
"NH"	2012	"Carroll"	"Ossipee"	1	1009	962	2048	1142	961	2131	1012	917	2024
"NH"	2012	"Carroll"	"Sandwich"	1	367	614	996	403	609	1019	368	593	986
"NH"	2012	"Carroll"	"Tamworth"	1	654	861	1555	718	843	1583	646	829	1547
"NH"	2012	"Carroll"	"Tuftonboro"	1	870	724	1621	984	671	1679	894	657	1607
"NH"	2012	"Carroll"	"Wakefield"	1	1278	1203	2548	1448	1083	2581	1341	1089	2531
"NH"	2012	"Carroll"	"Wolfeboro"	1	2152	1953	4193	2400	1854	4311	2211	1824	4165
"NH"	2012	"Cheshire"	"Alstead"	2	310	674	1018	383	634	1031	356	607	1001
"NH"	2012	"Cheshire"	"Chesterfield"	2	793	1284	2115	911	1251	2186	893	1118	2086
"NH"	2012	"Cheshire"	"Dublin"	2	352	653	1034	375	671	1066	401	592	1026
"NH"	2012	"Cheshire"	"Fitzwilliam"	2	496	748	1250	550	753	1320	538	675	1219
"NH"	2012	"Cheshire"	"Gilsum"	2	166	245	426	192	231	434	181	221	424
"NH"	2012	"Cheshire"	"Harrisville"	2	183	486	680	208	478	694	193	448	668
"NH"	2012	"Cheshire"	"Hinsdale"	2	432	1201	1680	504	1227	1771	506	1095	1664
"NH"	2012	"Cheshire"	"Jaffrey"	2	1122	1536	2748	1235	1538	2834	1223	1397	2734
"NH"	2012	"Cheshire"	"Keene Ward 1"	2	402	1362	1907	488	1698	2241	499	1212	1837
"NH"	2012	"Cheshire"	"Keene Ward 2"	2	559	1844	2489	611	1913	2572	655	1690	2453
"NH"	2012	"Cheshire"	"Keene Ward 3"	2	649	1655	2393	746	1652	2451	752	1501	2362
"NH"	2012	"Cheshire"	"Keene Ward 4"	2	706	1750	2520	813	1714	2578	828	1593	2499
"NH"	2012	"Cheshire"	"Keene Ward 5*"	2	814	1706	2593	955	1741	2737	950	1529	2558
"NH"	2012	"Cheshire"	"Marlborough"	2	297	782	1115	348	801	1165	350	706	1106
"NH"	2012	"Cheshire"	"Marlow"	2	136	273	424	154	262	428	166	230	415
"NH"	2012	"Cheshire"	"Nelson"	2	138	287	443	150	295	461	160	275	450
"NH"	2012	"Cheshire"	"Richmond"	2	313	338	676	325	330	693	307	312	658
"NH"	2012	"Cheshire"	"Rindge"	2	1591	1402	3121	1716	1410	3216	1716	1239	3085
"NH"	2012	"Cheshire"	"Roxbury"	2	41	98	144	41	110	152	40	96	141
"NH"	2012	"Cheshire"	"Stoddard"	2	305	425	754	337	403	755	315	390	740
"NH"	2012	"Cheshire"	"Sullivan"	2	134	228	371	148	221	377	148	197	359
"NH"	2012	"Cheshire"	"Surry"	2	179	287	480	219	270	498	199	262	480
"NH"	2012	"Cheshire"	"Swanzey"	2	1354	2155	3599	1497	2133	3674	1480	1899	3539
"NH"	2012	"Cheshire"	"Troy"	2	396	587	1026	413	553	1001	390	506	956
"NH"	2012	"Cheshire"	"Walpole"	2	693	1327	2065	793	1284	2114	789	1175	2046
"NH"	2012	"Cheshire"	"Westmoreland"	2	372	670	1063	411	676	1100	416	605	1056
"NH"	2012	"Cheshire"	"Winchester"	2	557	1133	1761	633	1131	1811	634	1013	1741
"NH"	2012	"Coos"	"At. & Gil Ac. Gt"	2			0			0	0	0	0
"NH"	2012	"Coos"	"Bean's Grant"	2			0			0	0	0	0
"NH"	2012	"Coos"	"Bean's Purchase"	2			0			0	0	0	0
"NH"	2012	"Coos"	"Berlin"	2	1248	2824	4178	1248	2863	4176	1425	2413	4009
"NH"	2012	"Coos"	"Cambridge"	2	2	1	3	1	2	3	3	0	3
