state	year	county	precinct	g2012_USP_adv	g2012_USP_edv	g2012_USP_ldv	g2012_USP_dv	g2012_USP_arv	g2012_USP_erv	g2012_USP_lrv	g2012_USP_rv	g2012_USP_tv	g2012_USP_atv	g2012_USP_etv	g2012_USP_ltv	cd	g2012_USH_adv	g2012_USH_edv	g2012_USH_ldv	g2012_USH_dv	g2012_USH_arv	g2012_USH_erv	g2012_USH_lrv	g2012_USH_rv	g2012_USH_tv	g2012_USH_atv	g2012_USH_etv	g2012_USH_ltv	cd2	g2012_USH_adv2	g2012_USH_edv2	g2012_USH_ldv2	g2012_USH_dv2	g2012_USH_arv2	g2012_USH_erv2	g2012_USH_lrv2	g2012_USH_rv2	g2012_USH_tv2	g2012_USH_atv2	g2012_USH_etv2	g2012_USH_ltv2	sd	g2012_STS_adv	g2012_STS_edv	g2012_STS_ldv	g2012_STS_dv	g2012_STS_arv	g2012_STS_erv	g2012_STS_lrv	g2012_STS_rv	g2012_STS_tv	g2012_STS_atv	g2012_STS_etv	g2012_STS_ltv	sd2	g2012_STS_adv2	g2012_STS_edv2	g2012_STS_ldv2	g2012_STS_dv2	g2012_STS_arv2	g2012_STS_erv2	g2012_STS_lrv2	g2012_STS_rv2	g2012_STS_tv2	g2012_STS_atv2	g2012_STS_etv2	g2012_STS_ltv2	ld	g2012_STH_adv	g2012_STH_edv	g2012_STH_ldv	g2012_STH_dv	g2012_STH_arv	g2012_STH_erv	g2012_STH_lrv	g2012_STH_rv	g2012_STH_tv	g2012_STH_atv	g2012_STH_etv	g2012_STH_ltv	ld2	g2012_STH_adv2	g2012_STH_edv2	g2012_STH_ldv2	g2012_STH_dv2	g2012_STH_arv2	g2012_STH_erv2	g2012_STH_lrv2	g2012_STH_rv2	g2012_STH_tv2	g2012_STH_atv2	g2012_STH_etv2	g2012_STH_ltv2	ld3	g2012_STH_adv3	g2012_STH_edv3	g2012_STH_ldv3	g2012_STH_dv3	g2012_STH_arv3	g2012_STH_erv3	g2012_STH_lrv3	g2012_STH_rv3	g2012_STH_tv3	g2012_STH_atv3	g2012_STH_etv3	g2012_STH_ltv3	ld4	g2012_STH_adv4	g2012_STH_edv4	g2012_STH_ldv4	g2012_STH_dv4	g2012_STH_arv4	g2012_STH_erv4	g2012_STH_lrv4	g2012_STH_rv4	g2012_STH_tv4	g2012_STH_atv4	g2012_STH_etv4	g2012_STH_ltv4	ld5	g2012_STH_adv5	g2012_STH_edv5	g2012_STH_ldv5	g2012_STH_dv5	g2012_STH_arv5	g2012_STH_erv5	g2012_STH_lrv5	g2012_STH_rv5	g2012_STH_tv5	g2012_STH_atv5	g2012_STH_etv5	g2012_STH_ltv5	ld6	g2012_STH_adv6	g2012_STH_edv6	g2012_STH_ldv6	g2012_STH_dv6	g2012_STH_arv6	g2012_STH_erv6	g2012_STH_lrv6	g2012_STH_rv6	g2012_STH_tv6	g2012_STH_atv6	g2012_STH_etv6	g2012_STH_ltv6	ld7	g2012_STH_adv7	g2012_STH_edv7	g2012_STH_ldv7	g2012_STH_dv7	g2012_STH_arv7	g2012_STH_erv7	g2012_STH_lrv7	g2012_STH_rv7	g2012_STH_tv7	g2012_STH_atv7	g2012_STH_etv7	g2012_STH_ltv7	ld8	g2012_STH_adv8	g2012_STH_edv8	g2012_STH_ldv8	g2012_STH_dv8	g2012_STH_arv8	g2012_STH_erv8	g2012_STH_lrv8	g2012_STH_rv8	g2012_STH_tv8	g2012_STH_atv8	g2012_STH_etv8	g2012_STH_ltv8	ld9	g2012_STH_adv9	g2012_STH_edv9	g2012_STH_ldv9	g2012_STH_dv9	g2012_STH_arv9	g2012_STH_erv9	g2012_STH_lrv9	g2012_STH_rv9	g2012_STH_tv9	g2012_STH_atv9	g2012_STH_etv9	g2012_STH_ltv9
"OK"	2012	"ADAIR"	10001	10	15	119	144	18	20	178	216	360	28	35	297	2	12	17	114	143	16	20	178	214	365	28	37	300														3	13	20	160	193	15	17	137	169	362	28	37	297														86	26	26	239	291	2	11	64	77	368	28	37	303																																																																																																								
"OK"	2012	"ADAIR"	10002	4	7	79	90	3	42	172	217	307	7	49	251	2	4	6	76	86	3	42	166	211	303	7	49	247														3	5	14	116	135	2	35	129	166	301	7	49	245														86	6	29	171	206	1	20	78	99	305	7	49	249																																																																																																								
"OK"	2012	"ADAIR"	10003	2	0	45	47	10	2	92	104	151	12	2	137	2	0	0	37	37	12	2	94	108	151	12	2	137														3	4	0	67	71	8	2	71	81	152	12	2	138														86	5	0	81	86	7	2	58	67	153	12	2	139																																																																																																								
"OK"	2012	"ADAIR"	10004	15	9	70	94	6	23	157	186	280	21	32	227	2	13	15	75	103	7	17	144	168	280	21	32	227														3	14	21	120	155	7	11	104	122	277	21	32	224														86	17	25	177	219	4	7	51	62	281	21	32	228																																																																																																								
"OK"	2012	"ADAIR"	10005	5	4	38	47	1	5	153	159	206	6	9	191	2	2	4	42	48	3	6	144	153	206	6	10	190														3	4	7	73	84	1	3	112	116	200	5	10	185														86	4	8	149	161	1	2	46	49	210	5	10	195																																																																																																								
"OK"	2012	"ADAIR"	10006	6	14	114	134	6	23	286	315	449	12	37	400	2	5	14	100	119	10	22	289	321	451	15	36	400														3	10	23	199	232	5	13	194	212	444	15	36	393														86	13	33	305	351	2	4	96	102	453	15	37	401																																																																																																								
"OK"	2012	"ADAIR"	10007	17	27	136	180	14	21	284	319	499	31	48	420	2	18	23	149	190	12	22	264	298	502	31	48	423														3	20	28	221	269	10	21	199	230	499	30	49	420														86	24	42	341	407	5	7	83	95	502	29	49	424																																																																																																								
"OK"	2012	"ADAIR"	10008	10	14	116	140	12	22	204	238	378	22	36	320	2	8	13	99	120	14	22	216	252	382	22	36	324														3	17	23	183	223	5	13	142	160	383	22	36	325														86	21	34	272	327	3	2	54	59	386	24	36	326																																																																																																								
"OK"	2012	"ADAIR"	10010	13	1	35	49	12	5	73	90	139	25	6	108	2	11	2	40	53	16	4	68	88	145	27	6	112														3	24	4	70	98	5	2	43	50	148	29	6	113														86	23	5	92	120	5	1	21	27	147	28	6	113																																																																																																								
"OK"	2012	"ADAIR"	10011	12	4	67	83	4	8	112	124	207	16	12	179	2	13	4	65	82	3	7	101	111	201	16	12	173														3	13	4	73	90	3	8	97	108	198	16	12	170														86	16	6	121	143	2	6	51	59	202	18	12	172																																																																																																								
"OK"	2012	"ADAIR"	10012	3	5	103	111	10	17	260	287	398	13	22	363	2	2	5	114	121	11	16	242	269	400	13	22	365														3	6	11	171	188	6	11	196	213	401	12	22	367														86	11	16	269	296	2	6	96	104	400	13	22	365																																																																																																								
"OK"	2012	"ADAIR"	10013	7	13	99	119	4	21	178	203	322	11	34	277	2	5	19	88	112	6	14	181	201	321	11	34	276														3	8	20	167	195	3	14	106	123	318	11	34	273														86	9	31	235	275	3	3	42	48	323	12	34	277																																																																																																								
"OK"	2012	"ADAIR"	10014	12	14	192	218	14	35	251	300	518	26	49	443	2	11	18	162	191	14	29	261	304	515	26	48	441														3	14	23	258	295	11	25	182	218	513	25	48	440														86	21	41	364	426	4	7	76	87	513	25	48	440																																																																																																								
"OK"	2012	"ADAIR"	10016	0	0	69	69	14	6	240	260	329	14	6	309	2	0	0	58	58	14	6	236	256	325	14	6	305														3	0	0	99	99	14	6	206	226	325	14	6	305														86	1	2	112	115	13	4	187	204	319	14	6	299																																																																																																								
