state	year	precinct	precinct_code	g2012_USP_dv	g2012_USP_ldv	g2012_USP_adv	g2012_USP_rv	g2012_USP_lrv	g2012_USP_arv	g2012_USS_dv	g2012_USS_ldv	g2012_USS_adv	g2012_USS_rv	g2012_USS_lrv	g2012_USS_arv	g2012_USP_tv	g2012_USP_atv	g2012_USP_ltv	g2012_USS_tv	g2012_USS_atv	g2012_USS_ltv	cd	g2012_USH_dv	g2012_USH_ldv	g2012_USH_adv	g2012_USH_rv	g2012_USH_lrv	g2012_USH_arv	g2012_USH_tv	g2012_USH_atv	g2012_USH_ltv	ld	g2012_STH_dv	g2012_STH_ldv	g2012_STH_adv	g2012_STH_rv	g2012_STH_lrv	g2012_STH_arv	g2012_STH_tv	g2012_STH_atv	g2012_STH_ltv	sd	g2012_STS_dv	g2012_STS_ldv	g2012_STS_adv	g2012_STS_rv	g2012_STS_lrv	g2012_STS_arv	g2012_STS_tv	g2012_STS_atv	g2012_STS_ltv
"RI"	2012	"Barrington 0101"	101	936	888	48	632	583	49	959	910	49	584	534	50	1603	104	1499	1545	100	1445	1	701	658	43	769	720	49	1593	103	1490	66	890	836	54	560	522	38	1548	98	1450	32				1127	1047	80	1158	82	1076
"RI"	2012	"Barrington 0102"	102	1263	1180	83	748	697	51	1255	1168	87	690	645	45	2042	134	1908	1945	132	1813	1	948	881	67	913	856	57	2005	134	1871	66	1222	1138	84	634	594	40	1954	127	1827	32				1296	1214	82	1346	84	1262
"RI"	2012	"Barrington 0103"	103	952	853	99	757	694	63	938	847	91	700	634	66	1721	163	1558	1641	157	1484	1	718	642	76	911	833	78	1703	159	1544	66	980	889	91	630	571	59	1659	156	1503	32				1198	1082	116	1228	123	1105
"RI"	2012	"Barrington 0104"	104	1240	1154	86	782	731	51	1242	1152	90	751	698	53	2073	144	1929	1998	143	1855	1	898	826	72	1029	966	63	2058	144	1914	67	982	914	68	1008	932	76	1994	145	1849	32				1442	1335	107	1480	108	1372
"RI"	2012	"Barrington 0105"	105	1067	983	84	871	784	87	1087	1005	82	809	726	83	1968	175	1793	1900	166	1734	1	816	756	60	1013	913	100	1952	170	1782	67	827	770	57	1058	954	104	1886	161	1725	32				1375	1256	119	1412	123	1289
"RI"	2012	"Barrington Limited"	106	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	1	0	1																				
"RI"	2012	"Barrington President"	107	98	84	14	46	32	14							148	30	118	0	0	0																														
"RI"	2012	"Bristol 0201"	201	553	516	37	395	366	29	572	537	35	351	324	27	969	66	903	924	62	862	1	417	392	25	486	449	37	954	65	889	68	575	537	38	351	326	25	927	63	864	10	780	727	53				797	53	744
"RI"	2012	"Bristol 0202"	202	342	332	10	176	162	14	342	329	13	165	154	11	531	24	507	508	24	484	1	277	267	10	220	208	12	528	24	504	68	354	338	16	154	147	7	509	23	486	11				305	289	16	313	16	297
"RI"	2012	"Bristol 0203"	203	1147	1070	77	876	798	78	1157	1072	85	792	721	71	2060	157	1903	1952	156	1796	1	870	805	65	1040	961	79	2030	156	1874	68	1155	1081	74	798	717	81	1958	155	1803	32				1354	1237	117	1385	121	1264
"RI"	2012	"Bristol 0204"	204	877	789	88	439	409	30	856	767	89	393	369	24	1340	119	1221	1252	113	1139	1	666	590	76	563	526	37	1317	116	1201	68	916	825	91	348	326	22	1264	113	1151	32				767	706	61	786	62	724
"RI"	2012	"Bristol 0205"	205	926	884	42	600	580	20	960	919	41	515	497	18	1554	64	1490	1477	59	1418	1	666	633	33	764	738	26	1521	61	1460	69	1223	1176	47				1243	48	1195	10	1214	1171	43				1232	46	1186
"RI"	2012	"Bristol 0206"	206	840	795	45	378	357	21	813	771	42	346	327	19	1238	66	1172	1160	61	1099	1	655	617	38	495	472	23	1218	64	1154	69	1015	964	51				1025	53	972	10	994	945	49				996	49	947
"RI"	2012	"Bristol 0207"	207	572	536	36	397	376	21	551	514	37	371	352	19	982	58	924	922	56	866	1	443	416	27	447	422	25	943	54	889	69	686	645	41				695	41	654	11				631	599	32	639	32	607
"RI"	2012	"Bristol 0208"	208	704	665	39	288	257	31	689	643	46	262	240	22	1013	70	943	953	68	885	1	566	532	34	370	334	36	993	70	923	69	776	727	49				787	49	738	11				592	558	34	609	35	574
"RI"	2012	"Bristol 0209"	209	163	158	5	66	65	1	165	159	6	60	60	0	238	6	232	226	6	220	1	134	129	5	80	79	1	233	6	227	69	178	173	5				184	5	179	32				132	131	1	136	1	135
"RI"	2012	"Bristol Limited"	210	6	6	0	0	0	0	4	4	0	1	1	0	6	0	6	5	0	5	1	5	5	0	1	1	0	6	0	6																				
"RI"	2012	"Bristol President"	211	229	223	6	92	80	12							336	18	318	0	0	0																														
"RI"	2012	"Burrillville 0301"	301	609	546	63	459	419	40	646	579	67	426	394	32	1102	104	998	1074	99	975	2	624	556	68	361	335	26	1076	99	977	47	650	584	66	432	399	33	1083	99	984	23	706	635	71	370	341	29	1076	100	976
"RI"	2012	"Burrillville 0302"	302	636	577	59	512	483	29	671	603	68	460	440	20	1171	88	1083	1132	88	1044	2	669	604	65	378	364	14	1148	85	1063	47	614	553	61	533	511	22	1148	83	1065	23	715	645	70	428	412	16	1143	86	1057
"RI"	2012	"Burrillville 0303"	303	753	709	44	685	657	28	788	742	46	627	602	25	1468	74	1394	1419	72	1347	2	762	716	46	568	549	19	1445	73	1372	47	697	647	50	743	719	24	1441	74	1367	23	827	782	45	614	586	28	1442	73	1369
"RI"	2012	"Burrillville 0304"	304	537	506	31	360	334	26	554	519	35	321	297	24	921	62	859	878	60	818	2	525	488	37	289	267	22	892	62	830	47	505	470	35	390	364	26	896	61	835	23	590	547	43	308	289	19	898	62	836
"RI"	2012	"Burrillville 0305"	305	534	510	24	421	400	21	570	543	27	380	363	17	988	47	941	951	44	907	2	561	535	26	332	315	17	983	46	937	47	541	512	29	440	423	17	981	46	935	23	631	602	29	353	336	17	984	46	938
"RI"	2012	"Burrillville 0306"	306	543	523	20	570	557	13	576	556	20	527	513	14	1145	34	1111	1106	34	1072	2	533	517	16	500	485	15	1119	31	1088	48	352	342	10	600	584	16	1104	29	1075	23	590	574	16	516	501	15	1107	31	1076
"RI"	2012	"Burrillville Limited"	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0																				
"RI"	2012	"Burrillville President"	308	54	54	0	37	37	0							94	0	94	0	0	0																														
"RI"	2012	"Central Falls 0401"	401	509	494	15	68	62	6	483	465	18	71	67	4	589	23	566	557	22	535	1	447	432	15	103	96	7	570	23	547	56	490	471	19				500	19	481	16	465	446	19				542	22	520
"RI"	2012	"Central Falls 0402"	402	291	286	5	57	56	1	278	273	5	51	50	1	353	6	347	330	6	324	1	269	264	5	55	54	1	341	6	335	56	299	293	6				307	6	301	16	291	285	6				326	6	320
"RI"	2012	"Central Falls 0403"	403	619	563	56	66	54	12	596	535	61	75	65	10	696	69	627	672	71	601	1	545	495	50	109	91	18	686	71	615	56	605	540	65				615	65	550	16	608	547	61				675	71	604
"RI"	2012	"Central Falls 0404"	404	528	486	42	66	56	10	514	473	41	67	56	11	602	53	549	587	53	534	1	468	436	32	94	78	16	594	50	544	56	528	479	49				551	49	502	16	540	493	47				582	51	531
"RI"	2012	"Central Falls 0405"	405	223	215	8	33	32	1	222	214	8	28	27	1	257	9	248	251	9	242	1	204	196	8	42	41	1	254	9	245	56	227	219	8				230	8	222	16	215	208	7				240	9	231
"RI"	2012	"Central Falls 0406"	406	343	316	27	97	93	4	335	308	27	89	85	4	446	32	414	425	32	393	1	281	256	25	133	127	6	439	32	407	57	364	339	25				370	26	344	16	343	318	25				417	30	387
"RI"	2012	"Central Falls 0407"	407	144	141	3	24	22	2	130	128	2	21	19	2	168	5	163	152	4	148	1	118	116	2	31	29	2	152	4	148	57	136	133	3				137	3	134	16	140	136	4				155	4	151
"RI"	2012	"Central Falls 0408"	408	480	462	18	84	82	2	470	450	20	82	81	1	569	20	549	552	21	531	1	431	416	15	108	104	4	558	21	537	57	489	470	19				495	19	476	16	472	455	17				550	21	529
"RI"	2012	"Central Falls Limited"	409	18	18	0	0	0	0	18	18	0	0	0	0	19	0	19	18	0	18	1	17	17	0	1	1	0	18	0	18																				
"RI"	2012	"Central Falls President"	410	255	251	4	17	17	0							272	4	268	0	0	0																														
"RI"	2012	"Charlestown 0501"	501	693	660	33	395	369	26	686	649	37	389	367	22	1119	60	1059	1077	59	1018	2	563	526	37	336	319	17	1092	60	1032	36	710	672	38	233	221	12	1067	55	1012	34	663	631	32	376	351	25	1040	57	983
"RI"	2012	"Charlestown 0502"	502	674	642	32	419	395	24	646	613	33	447	418	29	1144	63	1081	1094	62	1032	2	549	517	32	367	347	20	1121	62	1059	36	707	671	36	279	258	21	1102	61	1041	34	644	612	32	421	396	25	1066	57	1009
"RI"	2012	"Charlestown 0503"	503	559	526	33	457	427	30	546	517	29	446	413	33	1034	65	969	995	63	932	2	471	441	30	397	366	31	1013	63	950	36	608	574	34	296	275	21	995	60	935	38				710	666	44	730	47	683
"RI"	2012	"Charlestown 0504"	504	461	427	34	331	306	25	436	401	35	328	308	20	805	59	746	766	55	711	2	385	358	27	294	270	24	788	57	731	36	522	489	33	202	184	18	781	54	727	38				525	491	34	533	34	499
"RI"	2012	"Charlestown Limited"	505	6	6	0	1	1	0	6	6	0	1	1	0	8	0	8	7	0	7	2	2	2	0	2	2	0	7	0	7																				
"RI"	2012	"Charlestown President"	506	52	47	5	13	13	0							67	6	61	0	0	0																														
"RI"	2012	"Coventry 0601"	601	499	481	18	404	392	12	531	511	20	368	357	11	937	31	906	904	31	873	2	462	446	16	347	334	13	922	31	891	25	688	663	25				704	26	678	33	567	547	20	338	328	10	910	30	880
"RI"	2012	"Coventry 0602"	602	161	152	9	92	88	4	163	154	9	95	91	4	262	13	249	258	13	245	2	151	143	8	83	78	5	254	13	241	25	200	189	11				204	11	193	33	161	152	9	88	84	4	249	13	236
"RI"	2012	"Coventry 0603"	603	797	742	55	595	566	29	793	742	51	570	543	27	1426	84	1342	1368	79	1289	2	744	694	50	531	505	26	1404	80	1324	26	595	561	34	781	741	40	1381	75	1306	33	807	762	45	568	541	27	1378	73	1305
"RI"	2012	"Coventry 0604"	604	546	518	28	365	355	10	554	528	26	345	333	12	935	38	897	903	38	865	2	520	497	23	335	322	13	921	37	884	27	600	574	26	304	294	10	904	36	868	33	564	536	28	340	333	7	906	35	871
"RI"	2012	"Coventry 0605"	605	534	520	14	457	440	17	507	491	16	454	440	14	1011	31	980	961	30	931	2	490	475	15	428	413	15	995	31	964	28	536	521	15	430	415	15	966	30	936	21	444	429	15	527	512	15	972	30	942
"RI"	2012	"Coventry 0606"	606	286	275	11	257	250	7	296	285	11	253	246	7	562	19	543	550	18	532	2	276	265	11	240	234	6	555	20	535	28	304	294	10	239	230	9	543	19	524	21	260	249	11	281	273	8	541	19	522
"RI"	2012	"Coventry 0607"	607	729	695	34	556	536	20	738	706	32	513	494	19	1316	55	1261	1253	51	1202	2	726	694	32	469	448	21	1298	56	1242	28	777	745	32	489	467	22	1267	54	1213	21	687	659	28	589	563	26	1276	54	1222
"RI"	2012	"Coventry 0608"	608	766	741	25	508	483	25	776	743	33	482	465	17	1305	50	1255	1259	50	1209	2	727	699	28	456	436	20	1285	50	1235	28	796	767	29	471	450	21	1267	50	1217	21	705	678	27	563	540	23	1268	50	1218
"RI"	2012	"Coventry 0609"	609	559	537	22	445	413	32	541	519	22	449	419	30	1033	54	979	992	52	940	2	530	509	21	416	386	30	1020	53	967	28	576	558	18	407	377	30	987	49	938	33	639	615	24	361	337	24	1003	49	954
