state	year	county	precinct	cd	g2012_REG_tv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	cd2	g2012_USH_dv2	g2012_USH_rv2	g2012_USH_tv2	g2012_USP_rv	g2012_USP_dv	g2012_USP_tv	ld	g2012_STH_dv	g2012_STH_rv	g2012_STH_tv	ld2	g2012_STH_dv2	g2012_STH_rv2	g2012_STH_tv2	ld3	g2012_STH_dv3	g2012_STH_rv3	g2012_STH_tv3	ld4	g2012_STH_dv4	g2012_STH_rv4	g2012_STH_tv4	ld5	g2012_STH_dv5	g2012_STH_rv5	g2012_STH_tv5	ld6	g2012_STH_dv6	g2012_STH_rv6	g2012_STH_tv6	ld7	g2012_STH_dv7	g2012_STH_rv7	g2012_STH_tv7	ld8	g2012_STH_dv8	g2012_STH_rv8	g2012_STH_tv8	ld9	g2012_STH_dv9	g2012_STH_rv9	g2012_STH_tv9	ld10	g2012_STH_dv10	g2012_STH_rv10	g2012_STH_tv10	ld11	g2012_STH_dv11	g2012_STH_rv11	g2012_STH_tv11	ld12	g2012_STH_dv12	g2012_STH_rv12	g2012_STH_tv12	ld13	g2012_STH_dv13	g2012_STH_rv13	g2012_STH_tv13	sd	g2012_STS_dv	g2012_STS_rv	g2012_STS_tv	sd2	g2012_STS_dv2	g2012_STS_rv2	g2012_STS_tv2	sd3	g2012_STS_dv3	g2012_STS_rv3	g2012_STS_tv3	sd4	g2012_STS_dv4	g2012_STS_rv4	g2012_STS_tv4	sd5	g2012_STS_dv5	g2012_STS_rv5	g2012_STS_tv5	sd6	g2012_STS_dv6	g2012_STS_rv6	g2012_STS_tv6	sd7	g2012_STS_dv7	g2012_STS_rv7	g2012_STS_tv7	sd8	g2012_STS_dv8	g2012_STS_rv8	g2012_STS_tv8
"SC"	2012	"Abbeville"	"Abbeville No. 1"	3	2120	306	721	1027					715	321	1047	11	230	719	1047																																																	10	387	650	1037																												
"SC"	2012	"Abbeville"	"Abbeville No. 2"	3	1955	459	351	812					351	499	862	11	342	339	836																																																	10	494	330	824																												
"SC"	2012	"Abbeville"	"Abbeville No. 3"	3	1365	291	284	575					291	299	604	11	209	276	596																																																	10	308	273	581																												
"SC"	2012	"Abbeville"	"Abbeville No. 4"	3	828	186	252	438					273	171	450	11	117	256	447																																																	10	193	244	437																												
"SC"	2012	"Abbeville"	"Absentee"	3	0	1233	902	2138					902	1286	2218	11	982	807	2173	7		8	17																																													10	1324	768	2095	4		41	42																								
"SC"	2012	"Abbeville"	"Antreville"	3	995	155	404	560					417	146	570	11	159	355	568																																																	10	163	401	564																												
"SC"	2012	"Abbeville"	"Broadmouth"	3	460	85	159	244					172	76	249	11	43	124	203	7		16	16																																													4		203	204																												
"SC"	2012	"Abbeville"	"Calhoun Falls"	3	2	571	351	924					376	612	995	11	522	277	981																																																	10	575	382	957																												
"SC"	2012	"Abbeville"	"Cold Springs"	3	742	130	339	470					362	111	480	11	92	329	480																																																	10	135	337	472																												
"SC"	2012	"Abbeville"	"Donalds"	3	467	62	210	272					223	55	286	11	58	168	279																																																	4		241	242																												
"SC"	2012	"Abbeville"	"Due West"	3	1320	324	448	773					465	319	795	11	308	381	788																																																	10	374	396	770																												
"SC"	2012	"Abbeville"	"Emergency"	3	0	29	43	72					43	29	72	11	22	37	66	7		1	1																																													10	18	24	42	4		24	24																								
"SC"	2012	"Abbeville"	"Failsafe"	3	0	33	26	59					25	37	62	11	24	24	61	7		0	0																																													10	31	27	58	4		2	2																								
