state	year	county	precinct	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	g2012_USH_rv	g2012_USH_dv	g2012_USH_tv
"SD"	2012	"Aurora"	"#1 (Stickney Community Building)"	104	201	310	197	117	314
"SD"	2012	"Aurora"	"#2 (Stickney Community Building)"	44	97	147	91	54	145
"SD"	2012	"Aurora"	"#3 (White Lake City Hall)"	162	169	343	171	175	346
"SD"	2012	"Aurora"	"#4 (White Lake City Hall)"	21	53	76	54	24	78
"SD"	2012	"Aurora"	"#5 (Aurora County Ag Building)"	82	123	208	122	84	206
"SD"	2012	"Aurora"	"#7 (Plankinton Fire Hall)"	143	161	316	158	152	310
"SD"	2012	"Beadle"	"12 (Wolsey Legion Hall)"	307	532	858	508	359	867
"SD"	2012	"Beadle"	"15 (Byron Bible Camp)"	45	315	361	306	54	360
"SD"	2012	"Beadle"	"17 (Cavour Fire Hall)"	110	188	308	189	121	310
"SD"	2012	"Beadle"	"W1 (Huron Arena)"	477	699	1204	666	529	1195
"SD"	2012	"Beadle"	"W2 (Huron Arena)"	363	329	720	322	389	711
"SD"	2012	"Beadle"	"W3 (Huron Arena)"	299	373	686	357	329	686
"SD"	2012	"Beadle"	"W7-1 (Huron Arena)"	372	450	838	427	409	836
"SD"	2012	"Beadle"	"W7-2 (Huron Arena)"	309	507	829	475	350	825
"SD"	2012	"Beadle"	"W8-1 (Huron Arena)"	292	423	728	405	322	727
"SD"	2012	"Beadle"	"W8-2 (Huron Arena)"	307	414	731	414	315	729
"SD"	2012	"Bennett"	"Allen (American Horse School)"	215	55	271	90	178	268
"SD"	2012	"Bennett"	"Martin City (Martin Community Room)"	165	211	388	221	168	389
"SD"	2012	"Bennett"	"Martin Rural #26 (Bennett County Courthouse)"	56	89	146	92	56	148
"SD"	2012	"Bennett"	"Martin Rural #27 (Lacreek Electric Building)"	101	135	243	143	101	244
"SD"	2012	"Bennett"	"Tuthill (Tuthill Fire Hall)"	6	92	103	91	12	103
"SD"	2012	"Bennett"	"Vetal (Vetal Fire Hall)"	5	44	52	45	11	56
"SD"	2012	"Bon Homme"	"1 (Scotland Fire Hall)"	192	423	632	408	223	631
"SD"	2012	"Bon Homme"	"2 (Avon Fire Hall)"	180	317	507	310	194	504
"SD"	2012	"Bon Homme"	"3 (Tyndall Community Center)"	332	397	752	349	412	761
"SD"	2012	"Bon Homme"	"4 (Tabor Senior Citizens Center)"	273	254	540	201	344	545
"SD"	2012	"Bon Homme"	"5 (Springfield Community Center)"	190	439	643	419	224	643
"SD"	2012	"Brookings"	"1-Tompkins Alumni Center (Precinct 1-Tompkins Alumni Center)"	299	284	619	298	314	612
"SD"	2012	"Brookings"	"10-Bruce Area (Precinct 10-Bruce City Hall)"	202	350	573	356	223	579
"SD"	2012	"Brookings"	"11-Aurora Area (Precinct 11-Aurora Little Hall)"	295	331	648	327	324	651
"SD"	2012	"Brookings"	"12-Sinai Area (Precinct 12-Sinai American Legion)"	70	154	228	146	85	231
"SD"	2012	"Brookings"	"13-Brookings Township (Precinct 13-Brookings American Legion)"	90	132	228	125	101	226
"SD"	2012	"Brookings"	"14-Volga Area (Precinct 14-Volga Community Center)"	473	588	1094	585	513	1098
"SD"	2012	"Brookings"	"15-Laketon & Winsor Twps. (Precinct 15-Trinity Lutheran Church)"	69	107	177	100	76	176
"SD"	2012	"Brookings"	"16-Elkton Area (Precinct 16-Elkton Community Center)"	156	278	455	291	170	461
"SD"	2012	"Brookings"	"2-First Lutheran Church (Precinct 2-First Lutheran Church)"	473	343	860	356	497	853
"SD"	2012	"Brookings"	"3-Brookings Activity Center (Precinct 3-Brookings Activity Center)"	492	338	863	372	482	854
"SD"	2012	"Brookings"	"4-Ascension Lutheran Church (Precinct 4-Ascension Lutheran Church)"	767	667	1470	664	800	1464
"SD"	2012	"Brookings"	"5-Bethel Baptist Church (Precinct 5-Bethel Baptist Church)"	1080	1038	2157	973	1168	2141
"SD"	2012	"Brookings"	"6-United Church of Christ (Precinct 6-United Church of Christ)"	808	826	1665	786	868	1654
"SD"	2012	"Brookings"	"8-Medary Township (Precinct 8-Faith Reformed Church)"	287	362	662	350	313	663
"SD"	2012	"Brookings"	"9-White Area (Precinct 9-McKnight Hall)"	266	422	701	431	263	694
"SD"	2012	"Brown"	"Alexander Mitchell Library (Alexander Mitchell Library)"	251	243	517	222	291	513
"SD"	2012	"Brown"	"Claremont Fire Station (Claremont Fire Station)"	99	86	190	85	106	191
"SD"	2012	"Brown"	"Columbia American Legion (Columbia American Legion )"	166	212	391	184	205	389
"SD"	2012	"Brown"	"Courthouse Community Rm #4 (Courthouse Community Room )"	283	277	590	261	325	586
"SD"	2012	"Brown"	"Courthouse Community Rm #8 (Courthouse Community Room )"	487	368	886	372	509	881
"SD"	2012	"Brown"	"Frederick Community Center (Frederick Community Center)"	135	132	280	116	162	278
"SD"	2012	"Brown"	"Groton Community Center (Groton Community Center)"	436	521	983	486	496	982
"SD"	2012	"Brown"	"Hecla Community Center (Hecla Community Center)"	132	141	279	112	175	287
"SD"	2012	"Brown"	"Hub Area Vocational Ctr (Hub Area Vocational School )"	389	526	941	494	453	947
"SD"	2012	"Brown"	"Northern Electric Coop (Northern Electric Cooperative )"	233	379	630	349	274	623
"SD"	2012	"Brown"	"Primrose Gym #15 (Primrose Gym )"	341	540	900	481	417	898
"SD"	2012	"Brown"	"Primrose Gym #3 (Primrose Gym )"	651	713	1405	672	719	1391
"SD"	2012	"Brown"	"School/Blind & Visually Imp #10 (School for Blind & Visually Impaired)"	227	233	483	212	270	482
"SD"	2012	"Brown"	"School/Blind & Visually Imp #16 (School for Blind & Visually Impaired)"	143	232	383	209	177	386
"SD"	2012	"Brown"	"Senior Citizens Ctr (Senior Citizens Center)"	705	915	1666	867	807	1674
"SD"	2012	"Brown"	"Stratford Community Center (Stratford Communty Center)"	125	119	252	116	134	250
"SD"	2012	"Brown"	"Super City Plaza #11 (Super City Plaza )"	327	303	647	283	355	638
"SD"	2012	"Brown"	"Super City Plaza #7 (Super City Plaza )"	662	919	1627	836	776	1612
"SD"	2012	"Brown"	"Warner Community Center (Warner Community Center)"	329	257	608	242	368	610
"SD"	2012	"Brown"	"Washington St. Gym #1 (Washington St. Gym )"	624	694	1357	633	713	1346
"SD"	2012	"Brown"	"Washington St. Gym #2 (Washington St. Gym )"	373	370	772	315	446	761
"SD"	2012	"Brown"	"Westport Town Hall (Westport Community Center)"	132	141	281	126	157	283
"SD"	2012	"Brule"	"#1 Chamberlain (Brule County Courthouse)"	490	751	1269	727	548	1275
"SD"	2012	"Brule"	"#2 Kimball (Kimball Legion Hall)"	177	351	541	340	206	546
"SD"	2012	"Brule"	"#3 Pukwana (Brule County Ag Building)"	119	247	378	231	146	377
"SD"	2012	"Brule"	"#4 Academy (Academy Fire Hall)"	14	57	72	55	15	70
"SD"	2012	"Brule"	"#5 Ola (Ola Church)"	24	93	119	87	33	120
"SD"	2012	"Buffalo"	"Elvira (Elm Creek Election Bldg.)"	32	91	123	80	41	121
"SD"	2012	"Buffalo"	"Pershing (Crow Creek Housing Dist Recr. Bldg.)"	54	43	98	45	56	101
"SD"	2012	"Buffalo"	"Victory (St. Joseph Catholic Hall)"	386	32	420	56	359	415
"SD"	2012	"Butte"	"Castle Rock Precinct 06 (Castle Rock - Moreau River Hall)"	4	30	34	32	2	34
"SD"	2012	"Butte"	"Fruitdale Precinct 17 (Belle Fourche Community Hall)"	69	265	342	261	82	343
"SD"	2012	"Butte"	"Minnesela Precinct 16 (Belle Fourche Community Hall)"	110	501	629	506	125	631
"SD"	2012	"Butte"	"Newell City Precinct 20 (Newell Community Hall)"	88	159	254	169	89	258
"SD"	2012	"Butte"	"Nisland Precinct 18 (American Legion Hall)"	42	73	125	79	43	122
"SD"	2012	"Butte"	"Orman Precinct 12 (American Legion Hall)"	17	63	82	65	17	82
"SD"	2012	"Butte"	"Romans Precinct 11 (Belle Fourche Community Hall)"	8	69	77	69	8	77
"SD"	2012	"Butte"	"Union Precinct 08 (Including: Horsecreek Precinct 13, Newell Independent Precinct 14) (Newell Community Hall)"	84	398	497	389	101	490
"SD"	2012	"Butte"	"Ward 1 Precinct 21 (Belle Fourche Community Hall)"	81	144	238	156	80	236
"SD"	2012	"Butte"	"Ward 1 Precinct 22 (Belle Fourche Community Hall)"	66	123	198	133	65	198
