state	year	county	precinct	g2012_USP_rv	g2012_USP_dv	g2012_USP_tv	cd	g2012_USH_rv	g2012_USH_tv	g2012_USH_dv	cd2	g2012_USH_rv2	g2012_USH_tv2	g2012_USH_dv2	ld	ld2	ld3	ld4	ld5	ld6	ld7	ld8	ld9	ld10	g2012_STH_dv	g2012_STH_dv10	g2012_STH_dv2	g2012_STH_dv3	g2012_STH_dv4	g2012_STH_dv5	g2012_STH_dv6	g2012_STH_dv7	g2012_STH_dv8	g2012_STH_dv9	g2012_STH_rv	g2012_STH_rv10	g2012_STH_rv2	g2012_STH_rv3	g2012_STH_rv4	g2012_STH_rv5	g2012_STH_rv6	g2012_STH_rv7	g2012_STH_rv8	g2012_STH_rv9	g2012_STH_tv	g2012_STH_tv10	g2012_STH_tv2	g2012_STH_tv3	g2012_STH_tv4	g2012_STH_tv5	g2012_STH_tv6	g2012_STH_tv7	g2012_STH_tv8	g2012_STH_tv9	sd	g2012_STS_rv	g2012_STS_dv	g2012_STS_tv	sd2	g2012_STS_rv2	g2012_STS_dv2	g2012_STS_tv2	g2012_USS_rv	g2012_USS_dv	g2012_USS_tv
"TN"	2012	"ANDERSON County"	"Andersonville"	1110	267	1387	3	996	1326	282					36																				998										1244																		1067	216	1335
"TN"	2012	"ANDERSON County"	"Briceville"	227	94	324	3	193	288	88					33										168										137										305																		219	69	295
"TN"	2012	"ANDERSON County"	"Bull Run"	1395	491	1924	3	1312	1819	452					33										766										1100										1866																		1407	333	1845
"TN"	2012	"ANDERSON County"	"Claxton"	1201	414	1649	3	1087	1537	403					33										685										909										1594																		1185	301	1564
"TN"	2012	"ANDERSON County"	"Clinton"	1359	575	1960	3	1295	1844	504					33										872										1045										1917																		1400	373	1855
"TN"	2012	"ANDERSON County"	"Clinton High"	778	336	1125	3	741	1063	295					33										531										572										1103																		779	232	1080
"TN"	2012	"ANDERSON County"	"Clinton Middle"	404	131	544	3	348	498	130					33										220										310										530																		383	97	506
"TN"	2012	"ANDERSON County"	"Dutch Valley"	256	84	345	3	213	322	95					33										175										170										345																		243	63	322
"TN"	2012	"ANDERSON County"	"Emory Valley"	1177	877	2093	3	1148	1999	797					33										1003										1036										2039																		1364	502	1980
"TN"	2012	"ANDERSON County"	"Fairview"	481	151	646	3	430	604	154					36																				422										564																		478	106	613
"TN"	2012	"ANDERSON County"	"Glen Alpine"	1094	384	1504	3	996	1399	356					33	36									426										545		306								971		416																1089	262	1426
"TN"	2012	"ANDERSON County"	"Glenwood"	825	677	1545	3	787	1440	602					33										785										684										1469																		871	433	1442
"TN"	2012	"ANDERSON County"	"Hendrix Creek"	967	708	1704	3	948	1626	645					33										798										840										1638																		1122	391	1611
"TN"	2012	"ANDERSON County"	"Highland View"	323	342	688	3	308	648	311					33										384										279										663																		370	222	646
"TN"	2012	"ANDERSON County"	"Lake City CC"	233	152	395	3	208	340	116					33	36									184										152		22								336		30																233	90	346
"TN"	2012	"ANDERSON County"	"Lake City MS"	1104	321	1449	3	984	1345	322					33	36									437										556		320								993		365																1083	240	1380
"TN"	2012	"ANDERSON County"	"Marlow"	436	150	601	3	386	551	148					33										263										320										583																		439	99	566
"TN"	2012	"ANDERSON County"	"Norris"	446	359	827	3	429	787	326					36																				440										679																		479	227	779
