state	year	county	county_code	precinct_name	precinct_code	cd	g2012_USH_dv	g2012_USH_rv	g2012_USP_dv	g2012_USP_rv	g2012_USS_dv	g2012_USS_rv	g2012_USH_tv	g2012_USP_tv	g2012_USS_tv
"VA"	2012	"ACCOMACK COUNTY"	1	"##Central Absentee"		2	487	577	526	577	531	549	1064.0	1120.0	1080.0
"VA"	2012	"ACCOMACK COUNTY"	1	"#Provisional"		2	1	1	1	1	1	1	2.0	2.0	2.0
"VA"	2012	"ACCOMACK COUNTY"	1	"101 - CHINCOTEAGUE"	"0101"	2	414	1187	507	1138	546	1075	1601.0	1663.0	1621.0
"VA"	2012	"ACCOMACK COUNTY"	1	"201 - ATLANTIC"	"0201"	2	218	531	250	517	253	507	749.0	774.0	760.0
"VA"	2012	"ACCOMACK COUNTY"	1	"202 - GREENBACKVILLE"	"0202"	2	272	615	307	614	297	608	887.0	936.0	905.0
"VA"	2012	"ACCOMACK COUNTY"	1	"301 - OAK HALL"	"0301"	2	904	579	988	544	948	553	1483.0	1545.0	1501.0
"VA"	2012	"ACCOMACK COUNTY"	1	"401 - BLOXOM"	"0401"	2	158	345	191	331	191	328	503.0	533.0	519.0
"VA"	2012	"ACCOMACK COUNTY"	1	"402 - PARKSLEY"	"0402"	2	273	496	300	461	313	463	769.0	772.0	776.0
"VA"	2012	"ACCOMACK COUNTY"	1	"403 - SAXIS"	"403"	2	56	146	71	135	68	135	202.0	208.0	203.0
"VA"	2012	"ACCOMACK COUNTY"	1	"501 - MAPPSVILLE"	"0501"	2	376	259	441	218	410	218	635.0	664.0	628.0
"VA"	2012	"ACCOMACK COUNTY"	1	"502 - RUE"	"0502"	2	440	147	503	119	468	133	587.0	627.0	601.0
"VA"	2012	"ACCOMACK COUNTY"	1	"601 - ACCOMAC"	"0601"	2	543	634	594	618	577	611	1177.0	1223.0	1188.0
"VA"	2012	"ACCOMACK COUNTY"	1	"602 - TANGIER"	"0602"	2	19	216	41	197	33	202	235.0	241.0	235.0
"VA"	2012	"ACCOMACK COUNTY"	1	"701 - ONANCOCK"	"0701"	2	524	746	557	721	579	699	1270.0	1286.0	1278.0
"VA"	2012	"ACCOMACK COUNTY"	1	"702 - ONLEY"	"0702"	2	259	327	297	318	292	305	586.0	624.0	597.0
"VA"	2012	"ACCOMACK COUNTY"	1	"801 - BOBTOWN"	"0801"	2	203	385	220	377	235	355	588.0	602.0	590.0
"VA"	2012	"ACCOMACK COUNTY"	1	"802 - MELFA"	"0802"	2	417	399	498	377	459	362	816.0	882.0	821.0
"VA"	2012	"ACCOMACK COUNTY"	1	"803 - WACHAPREAGUE"	"0803"	2	159	330	174	332	179	315	489.0	510.0	494.0
"VA"	2012	"ACCOMACK COUNTY"	1	"901 - PAINTER"	"0901"	2	1071	668	1189	618	1141	622	1739.0	1815.0	1763.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"##Central Absentee"		5	3378	2524	3518	2431	3676	2333	5902.0	6014.0	6009.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"#Provisional"		5	46	33	45	34	49	32	79.0	81.0	81.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"101 - WOODBROOK"	"0101"	5	1033	932	1114	876	1168	835	1965.0	2023.0	2003.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"103 - BRANCHLANDS"	"0103"	5	459	296	519	268	518	262	755.0	798.0	780.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"104 - AGNOR-HURT"	"0104"	5	1030	601	1117	546	1150	527	1631.0	1695.0	1677.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"105 - DUNLORA"	"0105"	5	925	713	981	674	1050	629	1638.0	1685.0	1679.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"106 - NORTHSIDE"	"0106"	5	933	1085	1032	1053	1050	1022	2018.0	2107.0	2072.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"201 - JACK JOUETT"	"0201"	5	773	672	834	650	884	600	1445.0	1503.0	1484.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"202 - UNIVERSITY HALL"	"0202"	5	1495	855	1629	873	1685	793	2350.0	2557.0	2478.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"203 - GEORGETOWN"	"0203"	5	1228	502	1307	459	1327	445	1730.0	1791.0	1772.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"204 - BELFIELD"	"0204"	5	333	448	360	436	407	391	781.0	802.0	798.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"301 - IVY"	"0301"	5	1419	1230	1513	1174	1610	1107	2649.0	2726.0	2717.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"302 - RED HILL"	"0302"	5	1045	860	1110	823	1152	804	1905.0	1967.0	1956.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"304 - EAST IVY"	"0304"	5	327	346	355	330	368	316	673.0	690.0	684.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"305 - COUNTRY GREEN"	"0305"	5	774	689	838	660	879	628	1463.0	1519.0	1507.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"306 - PORTERS"	"0306"	5	604	387	650	371	649	372	991.0	1033.0	1021.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"307 - YELLOW MOUNTAIN"	"0307"	5	223	244	250	227	261	219	467.0	484.0	480.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"401 - SCOTTSVILLE"	"0401"	5	438	587	479	555	489	563	1025.0	1055.0	1052.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"402 - MONTICELLO"	"0402"	5	464	540	506	514	526	509	1004.0	1044.0	1035.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"405 - CALE"	"0405"	5	1914	1074	2059	1022	2091	983	2988.0	3120.0	3074.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"406 - STONE ROBINSON"	"0406"	5	706	1231	790	1192	845	1139	1937.0	2003.0	1984.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"501 - KESWICK"	"0501"	5	485	463	523	454	538	438	948.0	986.0	976.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"502 - STONY POINT"	"0502"	5	452	592	501	570	518	561	1044.0	1085.0	1079.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"503 - HOLLYMEAD"	"0503"	5	791	890	880	829	928	806	1681.0	1742.0	1734.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"504 - FREE BRIDGE"	"0504"	5	1224	1089	1342	1030	1399	981	2313.0	2410.0	2380.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"506 - BAKER-BUTLER"	"0506"	5	921	1153	1005	1111	1083	1052	2074.0	2143.0	2135.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"601 - CROZET"	"0601"	5	1372	1308	1518	1228	1554	1197	2680.0	2786.0	2751.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"602 - FREE UNION"	"0602"	5	426	499	460	485	478	471	925.0	953.0	949.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"603 - EARLYSVILLE"	"0603"	5	903	1221	994	1181	1046	1142	2124.0	2206.0	2188.0
"VA"	2012	"ALBEMARLE COUNTY"	3	"604 - BROWNSVILLE"	"0604"	5	1360	1344	1528	1241	1595	1185	2704.0	2805.0	2780.0
"VA"	2012	"ALEXANDRIA CITY"	510	"##Central Absentee"		8	10631	4296	11449	4527	11444	4295	15240.0	16104.0	15739.0
"VA"	2012	"ALEXANDRIA CITY"	510	"#Provisional"		8	66	38	75	44	78	38	106.0	121.0	116.0
"VA"	2012	"ALEXANDRIA CITY"	510	"101 - LADREY SENIOR BUILDING"	"0101"	8	764	463	850	498	847	475	1267.0	1357.0	1322.0
"VA"	2012	"ALEXANDRIA CITY"	510	"102 - CITY HALL"	"0102"	8	753	601	854	609	901	556	1404.0	1476.0	1457.0
"VA"	2012	"ALEXANDRIA CITY"	510	"103 - LYLES CROUCH SCHOOL"	"0103"	8	1365	851	1551	867	1560	834	2305.0	2450.0	2394.0
"VA"	2012	"ALEXANDRIA CITY"	510	"104 - DURANT CENTER"	"0104"	8	1475	669	1635	680	1661	648	2216.0	2342.0	2309.0
