state	year	county	town	precinct	g2012_ATG_dv	g2012_ATG_rv	g2012_ATG_tv	g2012_AUD_dv	g2012_AUD_rv	g2012_AUD_tv	g2012_GOV_dv	g2012_GOV_rv	g2012_GOV_tv	g2012_LTG_dv	g2012_LTG_rv	g2012_LTG_tv	g2012_SOS_dv	g2012_SOS_tv	g2012_TRE_dv	g2012_TRE_rv	g2012_TRE_tv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	g2012_USS_rv	g2012_USS_iv	g2012_USS_tv
"VT"	2012	"Addison"	"Addison"	"Addison (Addison 3)"	356	331	703	265	422	700	322	393	737	169	544	724	567	651	244	436	717	451	261	733	386	336	743	283	440	739
"VT"	2012	"Orleans-Caledonia"	"Albany"	"Albany (Orleans-Caledonia )"	210	175	437	170	252	433	177	241	452	137	291	441	354	415	207	193	436	0	125	152	290	149	454	112	323	452
"VT"	2012	"Grand Isle-Chittenden"	"Alburgh"	"Alburgh (Grand Isle-Chittenden)"	497	336	881	402	422	857	431	440	912	303	556	888	696	823	396	404	878	619	232	899	591	314	915	236	629	911
"VT"	2012	"Windsor"	"Andover"	"Andover (Windsor 3-1)"	142	135	297	138	137	288	181	116	313	131	159	301	232	277	145	150	305	194	103	310	187	118	315	111	191	311
"VT"	2012	"Bennington"	"Arlington"	"Arlington (Bennington 4 )"	626	424	1182	581	482	1132	741	423	1228	567	591	1194	916	1099	580	534	1189	794	350	1216	749	468	1247	360	815	1231
"VT"	2012	"Windham"	"Athens"	"Athens (Windham 3)"	65	54	138	65	57	134	76	54	144	52	63	139	85	129	58	64	138	84	40	142	84	55	145	40	80	139
"VT"	2012	"Franklin"	"Bakersfield"	"Bakersfield (Franklin 6)"	309	215	568	275	258	547	280	290	587	189	363	561	464	528	260	247	561	411	128	580	386	190	585	143	418	582
"VT"	2012	"Windsor"	"Baltimore"	"Baltimore (Windsor 3-1)"	53	53	115	44	61	114	52	55	115	45	67	115	83	107	42	63	113	67	38	116	63	46	115	43	63	116
"VT"	2012	"Windsor"	"Barnard"	"Barnard (Windsor 4-1)"	297	174	510	263	221	494	332	197	540	228	277	521	422	468	278	208	514	378	144	535	355	184	546	167	346	543
"VT"	2012	"Caledonia-1"	"Barnet"	"Barnet (Caledonia-1)"	484	369	916	403	465	890	492	430	948	339	566	922	746	835	445	419	908	628	260	935	582	363	969	294	630	957
"VT"	2012	"Washington"	"Barre City"	"Barre City (Washington 3)"	1380	1009	2998	1209	1675	2962	1657	1287	3062	680	2307	3042	2412	2830	1741	1144	3002	2167	711	3025	1946	1048	3081	765	2140	3051
"VT"	2012	"Washington"	"Barre Town"	"Barre Town (Washington 2)"	1709	1656	3842	1314	2371	3766	1697	2094	3903	511	3346	3895	3198	3577	1865	1860	3850	2454	1262	3871	2127	1734	3924	1377	2397	3895
"VT"	2012	"Orleans-Caledonia"	"Barton"	"Barton (Orleans-Caledonia )"	564	420	1042	379	630	1035	496	522	1070	296	720	1045	834	967	470	499	1044	739	272	1063	671	390	1075	294	752	1071
"VT"	2012	"Lamoille"	"Belvidere"	"Belvidere (Lamoille 2)"	68	58	133	51	73	128	65	72	140	39	98	137	98	120	58	69	133	92	40	136	82	57	142	47	89	140
"VT"	2012	"Bennington"	"Bennington"	"Bennington (Bennington 2-1 )"	1862	728	3168	1689	1113	3003	2327	733	3330	1882	1160	3152	2407	2867	1892	988	3128	2469	599	3242	2446	904	3426	643	2401	3292
"VT"	2012	"Bennington"	"Bennington"	"Bennington (Bennington 2-2)"	1571	697	2796	1419	1082	2690	2012	690	2925	1519	1145	2767	2073	2537	1649	921	2764	2091	592	2853	2057	849	2989	623	2070	2906
"VT"	2012	"Addison-Rutland"	"Benson"	"Benson (Addison-Rutland)"	241	179	453	210	208	440	224	214	470	176	266	457	329	414	183	254	460	310	118	466	301	159	478	123	318	470
"VT"	2012	"Franklin"	"Berkshire"	"Berkshire (Franklin 5)"	307	220	556	224	303	542	254	295	566	170	362	548	457	512	252	255	546	374	150	559	342	219	570	166	373	567
"VT"	2012	"Washington"	"Berlin"	"Berlin (Washington 1)"	644	412	1211	522	615	1170	675	520	1247	218	1012	1245	989	1112	637	513	1204	889	299	1231	795	426	1265	334	872	1248
"VT"	2012	"Windsor-Rutland"	"Bethel"	"Bethel (Windsor-Rutland )"	545	329	942	455	418	905	565	371	967	354	579	951	733	872	484	429	945	696	227	956	646	306	975	243	680	964
"VT"	2012	"Essex-Caledonia-Orle"	"Bloomfield"	"Bloomfield (Essex-Caledonia-Orle"	48	37	92	33	55	94	58	39	101	33	54	87	61	80	48	41	93	66	27	98	58	40	99	31	60	96
"VT"	2012	"Washington-Chittenden"	"Bolton"	"Bolton (Washington-Chittenden )"	342	180	581	313	232	561	377	201	607	237	343	591	473	536	313	206	573	452	112	599	433	161	609	120	464	606
"VT"	2012	"Orange"	"Bradford"	"Bradford (Orange 2)"	587	451	1138	564	496	1105	657	463	1185	443	665	1152	885	1062	580	482	1136	804	315	1174	754	416	1201	291	839	1184
"VT"	2012	"Orange-Washington-A"	"Braintree"	"Braintree (Orange-Washington-A"	296	212	537	258	244	515	304	239	552	161	376	545	407	482	264	245	534	373	147	541	358	185	556	153	381	552
"VT"	2012	"Rutland"	"Brandon"	"Brandon (Rutland 6)"	996	642	1736	846	789	1680	949	773	1795	586	1090	1717	1344	1577	744	951	1749	1253	424	1760	1204	568	1807	454	1275	1778
"VT"	2012	"Windham"	"Brattleboro"	"Brattleboro (Windham 2-1)"	1330	419	1905	1068	594	1863	1456	440	2014	1187	631	1902	1370	1759	1146	511	1903	1576	320	1972	1580	432	2045	314	1593	2016
"VT"	2012	"Windham"	"Brattleboro"	"Brattleboro (Windham 2-2)"	1224	273	1679	1011	371	1636	1365	278	1782	1169	387	1684	1205	1591	1111	302	1689	1468	187	1748	1512	242	1818	189	1459	1777
"VT"	2012	"Windham"	"Brattleboro"	"Brattleboro (Windham 2-3)"	1255	233	1707	1027	414	1658	1418	247	1792	1213	378	1691	1220	1576	1137	285	1678	1489	181	1767	1529	241	1836	189	1504	1801
"VT"	2012	"Rutland-Windsor"	"Bridgewater"	"Bridgewater (Rutland-Windsor 1)"	262	166	457	221	201	441	279	174	485	213	241	461	339	419	213	219	460	339	128	480	317	158	489	148	313	484
"VT"	2012	"Addison"	"Bridport"	"Bridport (Addison 5)"	309	284	623	254	334	603	276	341	634	155	446	610	465	544	252	323	608	407	203	636	340	277	639	219	390	633
"VT"	2012	"Essex-Caledonia-Orlea"	"Brighton"	"Brighton (Essex-Caledonia-Orlea"	237	242	521	201	292	513	212	279	533	162	345	521	364	476	201	276	512	338	147	520	299	223	536	151	344	527
"VT"	2012	"Addison"	"Bristol"	"Bristol (Addison 4)"	1050	561	1733	887	752	1682	1052	661	1781	702	1012	1741	1402	1605	904	709	1720	1307	379	1756	1238	507	1797	416	1318	1780
"VT"	2012	"Orange-Washington-A"	"Brookfield"	"Brookfield (Orange-Washington-A"	362	225	671	303	314	644	391	269	687	201	463	672	511	602	342	267	658	475	171	679	456	216	691	184	479	688
"VT"	2012	"Windham"	"Brookline"	"Brookline (Windham 3)"	160	67	241	135	73	233	172	71	260	137	84	239	172	215	134	77	248	174	59	252	179	76	258	63	175	259
"VT"	2012	"Orleans"	"Brownington"	"Brownington (Orleans 1)"	181	149	362	124	226	364	157	204	377	104	250	364	279	335	151	186	362	250	105	372	229	150	385	107	257	378
"VT"	2012	"Essex-Caledonia"	"Brunswick"	"Brunswick (Essex-Caledonia)"	30	16	50	11	40	53	36	16	57	19	30	49	41	47	26	18	48	44	7	56	38	22	60	11	42	55
"VT"	2012	"Caledonia-4"	"Burke"	"Burke (Caledonia-4)"	372	305	727	300	401	714	368	353	755	244	467	723	575	671	354	336	724	494	208	744	455	287	763	221	498	753
"VT"	2012	"Chittenden"	"Burlington"	"Burlington (Chittenden 6-1)"	2734	1009	4032	2339	1492	3912	2794	1213	4144	1808	2124	4004	3401	3718	2271	1327	3956	3196	727	4076	3065	1045	4216	787	3233	4147
"VT"	2012	"Chittenden"	"Burlington"	"Burlington (Chittenden 6-2)"	1364	303	1942	1318	517	1868	1534	381	2021	1157	756	1951	1632	1791	1230	424	1910	1684	219	1986	1651	329	2060	261	1696	2027
"VT"	2012	"Chittenden"	"Burlington"	"Burlington (Chittenden 6-3)"	2038	332	2977	2201	538	2846	2553	324	3190	2232	683	3017	2351	2741	1928	407	2949	2669	193	3087	2839	264	3318	193	2820	3210
"VT"	2012	"Chittenden"	"Burlington"	"Burlington (Chittenden 6-4)"	1593	256	2167	1597	396	2047	1892	255	2362	1627	518	2194	1800	1986	1458	320	2120	1988	153	2272	2147	242	2496	172	2052	2379
"VT"	2012	"Chittenden"	"Burlington"	"Burlington (Chittenden 6-5)"	3050	611	4126	2932	941	3953	3404	724	4344	2602	1444	4118	3518	3826	2749	809	4047	3672	424	4259	3692	596	4428	516	3660	4313
"VT"	2012	"Chittenden"	"Burlington"	"Burlington (Chittenden 6-6)"	655	129	900	677	166	865	714	136	960	673	206	904	763	830	619	131	893	769	94	928	875	112	1028	104	284	468
"VT"	2012	"Chittenden"	"Burlington"	"Burlington (Chittenden 6-7)"	36	8	64	54	6	61	57	6	66	48	14	64	52	60	35	8	60	63	2	67	57	4	70	3	61	69
"VT"	2012	"Caledonia-Washington"	"Cabot"	"Cabot (Caledonia-Washington )"	363	217	703	352	304	676	418	260	727	241	451	712	574	639	356	221	687	511	171	712	487	221	734	189	502	727
"VT"	2012	"Washington"	"Calais"	"Calais (Washington 6)"	549	211	971	562	363	948	661	287	986	414	554	981	822	899	655	246	966	765	166	980	753	208	1003	185	778	997
"VT"	2012	"Lamoille"	"Cambridge"	"Cambridge (Lamoille 3)"	1106	552	1818	918	805	1762	1120	661	1874	688	1095	1821	1488	1705	973	668	1787	1401	369	1850	1332	512	1892	377	1427	1879
"VT"	2012	"Essex-Caledonia-Orlean"	"Canaan"	"Canaan (Essex-Caledonia-Orlean"	192	165	384	138	232	383	204	170	402	141	225	381	275	336	161	183	370	267	95	387	249	151	413	105	262	392
"VT"	2012	"Rutland"	"Castleton"	"Castleton (Rutland 3)"	778	733	1624	659	849	1569	755	862	1695	541	1052	1634	1213	1442	605	986	1656	1066	531	1681	987	696	1721	566	1056	1688
"VT"	2012	"Windsor"	"Cavendish"	"Cavendish (Windsor 2)"	311	273	636	276	292	604	348	276	664	255	347	636	443	566	263	348	645	417	208	655	392	261	673	219	414	665
"VT"	2012	"Orleans"	"Charleston"	"Charleston (Orleans 1)"	190	189	424	142	269	423	189	212	430	145	266	422	322	385	173	210	417	263	133	413	256	169	431	120	273	425
"VT"	2012	"Chittenden"	"Charlotte"	"Charlotte (Chittenden 4-1)"	1434	683	2269	1235	876	2149	1517	780	2369	1016	1223	2268	1917	2065	1259	841	2246	1682	515	2339	1677	657	2402	600	1691	2359
"VT"	2012	"Orange"	"Chelsea"	"Chelsea (Orange 1)"	259	283	604	218	348	583	292	315	622	149	454	612	468	542	252	330	601	362	209	615	331	279	623	220	353	618
"VT"	2012	"Windsor"	"Chester"	"Chester (Windsor 3-1)"	842	456	1412	733	553	1353	929	462	1463	665	664	1404	1025	1285	717	590	1405	1012	349	1459	971	489	1492	349	1050	1477
"VT"	2012	"Rutland-Windsor"	"Chittenden"	"Chittenden (Rutland-Windsor 1)"	348	299	683	291	349	664	350	337	714	235	446	692	540	620	297	391	703	471	216	710	412	288	716	239	443	717
