state	year	county	precinct	g2012_USP_rv	g2012_USP_dv	g2012_USS_rv	g2012_USS_dv	g2012_USH_rv	g2012_USH_dv	g2012_USP_tv	g2012_USS_tv	g2012_USH_tv
"WY"	2012	"Albany"	"Laramie High School, Cafeteria 13-1"	845	865	1012	731	893	707	1825	1801	1764
"WY"	2012	"Albany"	"Laramie High School, Cafeteria 13-2"	160	231	211	202	177	190	434	424	415
"WY"	2012	"Albany"	"Spring Creek Elementary School 13-3"	576	923	733	803	607	797	1622	1575	1560
"WY"	2012	"Albany"	"UW Indoor Tennis Complex 14-1"	1606	1399	1890	1154	1707	1123	3195	3108	3074
"WY"	2012	"Albany"	"North Albany County Community Hall 14-11"	390	164	406	158	391	146	583	575	568
"WY"	2012	"Albany"	"Linford Elementary School 45-1"	933	693	1051	606	952	574	1731	1708	1688
"WY"	2012	"Albany"	"Lincoln Community Center 45-2"	629	1142	794	1023	682	953	1905	1868	1822
"WY"	2012	"Albany"	"Laramie Recreation Center 46-1"	527	589	627	501	564	498	1175	1145	1136
"WY"	2012	"Albany"	"Laramie Recreation Center 46-2"	596	665	692	589	625	563	1346	1310	1297
"WY"	2012	"Albany"	"Albany County Fairgrounds 46-11"	1074	557	1124	492	1049	493	1694	1668	1646
"WY"	2012	"Albany"	"Harmony School 46-12"	272	115	288	94	271	92	400	396	392
"WY"	2012	"Albany"	"Centennial School 46-13"	159	89	165	90	164	78	261	262	258
"WY"	2012	"Albany"	"Rock River Town Hall 47-11"	99	26	103	26	96	21	129	131	131
"WY"	2012	"Big Horn"	"Basin-Fair Grounds 1-1"	580	143	640	83	580	101	763	751	747
"WY"	2012	"Big Horn"	"Burlington-Fire Hall 2-1"	252	22	260	13	240	16	277	277	268
"WY"	2012	"Big Horn"	"Otto-Burlington Fire Hall 3-1"	111	4	109	1	103	3	117	115	111
"WY"	2012	"Big Horn"	"Emblem-Irrigation District Office 5-1"	48	6	55	2	53	2	57	58	57
"WY"	2012	"Big Horn"	"Hayattville-Community Center 6-1"	71	13	76	8	75	5	87	87	87
"WY"	2012	"Big Horn"	"Manderson-Town Hall 8-1"	144	23	146	18	132	21	170	168	165
"WY"	2012	"Big Horn"	"Greybull-Elks Lodge 11-01"	780	265	873	160	792	194	1081	1061	1047
"WY"	2012	"Big Horn"	"Shell-Community Hall 16-1"	209	44	218	38	194	41	264	264	261
"WY"	2012	"Big Horn"	"Lovell-Community Center 20-1"	1265	207	1319	143	1247	148	1521	1513	1485
"WY"	2012	"Big Horn"	"Cowley-BHCSD #1 Administration Office 22-1"	405	46	422	21	397	24	456	449	441
"WY"	2012	"Big Horn"	"Byron-Town Complex 23-1"	261	62	275	47	251	56	333	331	327
"WY"	2012	"Big Horn"	"Deaver-Community Hall 25-1"	78	20	86	10	83	13	102	100	100
"WY"	2012	"Big Horn"	"Frannie-School Building 26-1"	81	13	81	10	75	10	96	94	94
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-1"	340	68	348	50	318	51	421	410	402
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-3"	301	90	327	69	298	66	412	411	402
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-5"	582	137	604	101	551	99	743	733	711
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-7"	641	100	636	89	600	91	757	753	737
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-9"	590	119	625	89	572	105	742	734	718
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-11"	256	38	259	33	240	28	300	300	289
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-12"	628	100	629	72	573	95	755	738	726
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-14"	271	65	265	54	252	48	341	332	324
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-15"	819	176	846	122	792	117	1019	998	972
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-16"	661	97	649	87	613	90	779	757	746
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-17"	515	82	525	62	476	68	624	612	603
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-18"	363	63	376	40	337	45	438	430	410
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-19"	614	108	636	68	593	77	735	715	699
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-20"	197	30	195	26	182	26	232	228	223
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-21"	272	50	261	42	248	43	330	322	317
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-22"	252	27	252	17	238	15	282	279	276
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-23"	587	85	578	67	520	68	686	662	646
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-24"	332	59	338	47	319	47	399	397	386
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-25"	445	71	462	48	430	55	526	521	510
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 1-26"	254	38	259	26	235	31	298	295	289
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 2-1"	327	35	319	34	286	35	376	370	355
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 3-1"	767	63	755	48	702	44	849	836	813
"WY"	2012	"Campbell"	"Rozet School 4-1"	678	68	666	52	628	56	765	755	746
"WY"	2012	"Campbell"	"Antelope Valley Church 5-1"	725	80	724	65	687	67	829	814	804
"WY"	2012	"Campbell"	"Rawhide School 6-1"	204	19	202	20	194	21	236	232	231
"WY"	2012	"Campbell"	"Recluse Community Hall 7-1"	156	16	158	12	149	14	175	173	172
"WY"	2012	"Campbell"	"Little Powder School 8-1"	107	7	107	7	99	10	117	115	112
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 9-1"	97	6	97	6	84	7	106	105	103
"WY"	2012	"Campbell"	"4-J School 13-1"	211	7	209	5	199	5	221	219	214
